time,voltage,current,power
15:46:01,4.59,0.96,4.4064
15:46:02,4.59,0.97,4.4523
15:46:03,4.61,0.98,4.5178003
15:46:04,4.6,0.93,4.278
15:46:05,4.58,0.92,4.2136
15:46:06,4.56,0.93,4.2408
15:46:07,4.6,0.92,4.232
15:46:09,4.6,0.98,4.508
15:46:09,4.57,0.96,4.3872
15:46:11,4.58,0.93,4.2594
15:46:12,4.59,0.92,4.2228003
15:46:12,4.57,0.92,4.2044
15:46:14,4.6,0.9,4.14
15:46:14,4.63,0.94,4.3522
15:46:16,4.62,0.96,4.4351997
15:46:17,4.58,0.93,4.2594
15:46:18,4.61,0.91,4.1951003
15:46:19,4.61,0.93,4.2873
15:46:19,4.6,0.96,4.416
15:46:21,4.61,0.93,4.2873
15:46:21,4.59,0.91,4.1769004
15:46:23,4.62,0.93,4.2966
15:46:24,4.61,0.9,4.149
15:46:25,4.6,0.97,4.462
15:46:26,4.64,0.95,4.408
15:46:27,4.62,0.95,4.389
15:46:28,4.62,0.92,4.2504
15:46:29,4.6,0.94,4.324
15:46:30,4.59,0.9,4.131
15:46:31,4.6,0.93,4.278
15:46:32,4.6,0.94,4.324
15:46:33,4.58,0.91,4.1678
15:46:34,4.6,0.93,4.278
15:46:35,4.58,0.95,4.351
15:46:36,4.6,0.95,4.37
15:46:37,4.61,0.95,4.3795
15:46:38,4.59,0.93,4.2687
15:46:39,4.61,0.93,4.2873
15:46:40,4.58,0.99,4.5342
15:46:41,4.62,0.9,4.158
15:46:42,4.62,0.97,4.4814
15:46:43,4.62,0.94,4.3427997
15:46:44,4.62,0.98,4.5276
15:46:45,4.6,0.91,4.186
15:46:46,4.57,0.97,4.4329004
15:46:47,4.58,0.96,4.3968
15:46:48,4.59,0.93,4.2687
15:46:49,4.59,0.96,4.4064
15:46:50,4.58,0.96,4.3968
15:46:51,4.59,0.97,4.4523
15:46:52,4.61,0.95,4.3795
15:46:53,4.62,0.93,4.2966
15:46:54,4.6,0.95,4.37
15:46:55,4.6,0.91,4.186
15:46:56,4.6,0.95,4.37
15:46:57,4.58,0.99,4.5342
15:46:58,4.61,0.94,4.3334002
15:46:59,4.59,0.96,4.4064
15:47:00,4.63,0.94,4.3522
15:47:01,4.6,0.99,4.554
15:47:02,4.62,0.9,4.158
15:47:03,4.62,0.93,4.2966
15:47:04,4.61,0.95,4.3795
15:47:05,4.6,0.95,4.37
15:47:06,4.62,0.93,4.2966
15:47:07,4.62,0.94,4.3427997
15:47:08,4.61,0.94,4.3334002
15:47:09,4.63,0.95,4.3985
15:47:10,4.6,0.93,4.278
15:47:11,4.58,0.91,4.1678
15:47:12,4.62,0.97,4.4814
15:47:13,4.63,0.94,4.3522
