voltage,current,power
4.75,1.73,8.2175
4.7,1.68,7.8959994
4.79,1.7,8.143001
4.74,1.64,7.7735996
4.76,1.69,8.0444
4.76,1.68,7.9968
4.69,1.67,7.8322997
4.68,1.69,7.9092
4.73,1.66,7.8518
4.72,1.62,7.6463995
4.71,1.7,8.007
4.72,1.67,7.8823996
4.7,1.68,7.8959994
4.69,1.65,7.7385
4.77,1.65,7.8705
4.72,1.68,7.9295993
4.76,1.64,7.8064003
4.73,1.69,7.9937005
4.71,1.66,7.8185997
4.71,1.69,7.9599004
4.74,1.68,7.963199
4.75,1.63,7.7425
4.74,1.65,7.8209996
4.73,1.69,7.9937005
4.7,1.67,7.8489995
4.71,1.65,7.7715
4.69,1.7,7.9730005
4.7,1.62,7.614
4.74,1.64,7.7735996
4.66,1.73,8.0618
