voltage,current,power
4.78,1.68,8.0304
4.79,1.66,7.9514
4.74,1.71,8.1054
4.72,1.65,7.7879996
4.75,1.69,8.0275
4.74,1.69,8.0106
4.75,1.7,8.075
4.74,1.66,7.8683996
4.75,1.68,7.9799995
4.76,1.72,8.187201
4.74,1.68,7.963199
4.78,1.68,8.0304
4.77,1.68,8.013599
4.74,1.65,7.8209996
4.7,1.68,7.8959994
4.77,1.67,7.9659
4.7,1.67,7.8489995
4.74,1.67,7.9157996
4.74,1.64,7.7735996
4.74,1.66,7.8683996
4.71,1.63,7.6773
4.77,1.65,7.8705
4.74,1.69,8.0106
4.78,1.66,7.9348
4.75,1.66,7.8849998
4.69,1.7,7.9730005
4.74,1.65,7.8209996
4.79,1.66,7.9514
4.77,1.65,7.8705
4.72,1.73,8.1656
4.75,1.71,8.1225
