voltage,current,power
4.62,1.08,4.9896
4.62,1.12,5.1744
4.59,1.11,5.0949
4.61,1.12,5.1632004
4.62,1.15,5.3129997
4.58,1.15,5.2669997
4.6,1.13,5.198
4.65,1.15,5.3475
4.63,1.2,5.556
4.64,1.2,5.568
4.62,1.16,5.3591995
4.64,1.17,5.4287996
4.62,1.16,5.3591995
4.61,1.25,5.7625003
4.62,1.16,5.3591995
4.6,1.17,5.3819995
4.59,1.25,5.7375
4.6,1.22,5.612
4.66,1.23,5.7318
4.63,1.24,5.7412
4.63,1.24,5.7412
4.61,1.18,5.4398
4.64,1.16,5.3823996
4.62,1.14,5.2668
4.59,1.18,5.4162
4.62,1.2,5.544
4.61,1.16,5.3476
4.62,1.21,5.5902
4.65,1.2,5.5800004
4.67,1.24,5.7908
4.65,1.19,5.5335
