time,voltage,current,power
18:35:00,4.54,1.2,5.448
18:35:01,4.61,1.27,5.8547
18:35:02,4.6,1.26,5.796
18:35:03,4.64,1.23,5.7072
18:35:04,4.61,1.22,5.6242003
18:35:05,4.62,1.26,5.8212
18:35:06,4.61,1.25,5.7625003
18:35:07,4.6,1.22,5.612
18:35:08,4.58,1.24,5.6792
18:35:09,4.6,1.21,5.566
18:35:10,4.61,1.21,5.5781
18:35:11,4.62,1.22,5.6364
18:35:12,4.61,1.24,5.7164
18:35:13,4.58,1.21,5.5418
18:35:14,4.62,1.27,5.8673997
18:35:15,4.6,1.22,5.612
18:35:16,4.62,1.18,5.4515996
18:35:17,4.57,1.2,5.484
18:35:18,4.57,1.23,5.6211004
18:35:19,4.62,1.24,5.7288
18:35:20,4.56,1.19,5.4264
18:35:21,4.62,1.2,5.544
18:35:22,4.59,1.24,5.6916003
18:35:23,4.58,1.22,5.5876
18:35:24,4.63,1.22,5.6486
18:35:25,4.61,1.22,5.6242003
18:35:26,4.57,1.21,5.5297003
18:35:27,4.57,1.18,5.3926
18:35:28,4.59,1.22,5.5998
18:35:29,4.59,1.26,5.7834
18:35:30,4.6,1.17,5.3819995
18:35:31,4.62,1.18,5.4515996
18:35:32,4.59,1.19,5.4621005
18:35:33,4.57,1.21,5.5297003
18:35:34,4.58,1.23,5.6334
18:35:35,4.59,1.22,5.5998
18:35:36,4.58,1.21,5.5418
18:35:37,4.57,1.17,5.3469
18:35:38,4.59,1.21,5.5539002
18:35:39,4.57,1.23,5.6211004
18:35:40,4.59,1.2,5.5080004
18:35:41,4.59,1.23,5.6457005
18:35:42,4.59,1.25,5.7375
18:35:43,4.59,1.18,5.4162
18:35:44,4.62,1.18,5.4515996
18:35:45,4.61,1.19,5.4859004
18:35:46,4.62,1.21,5.5902
18:35:47,4.6,1.22,5.612
18:35:48,4.59,1.23,5.6457005
18:35:49,4.57,1.29,5.8953
18:35:50,4.62,1.2,5.544
18:35:51,4.64,1.2,5.568
18:35:52,4.62,1.2,5.544
18:35:53,4.62,1.2,5.544
18:35:54,4.57,1.25,5.7125
18:35:55,4.62,1.24,5.7288
18:35:56,4.62,1.25,5.7749996
18:35:57,4.62,1.26,5.8212
18:35:58,4.63,1.2,5.556
18:35:59,4.58,1.25,5.725
18:36:00,4.59,1.26,5.7834
18:36:01,4.61,1.24,5.7164
18:36:02,4.57,1.24,5.6668
18:36:03,4.56,1.3,5.9279995
18:36:04,4.59,1.34,6.1506004
18:36:05,4.58,1.29,5.9082
18:36:06,4.6,1.25,5.75
18:36:07,4.57,1.32,6.0324006
18:36:08,4.57,1.28,5.8496003
18:36:09,4.57,1.27,5.8039002
18:36:10,4.56,1.29,5.8823996
18:36:11,4.59,1.31,6.0129
18:36:12,4.6,1.27,5.842
18:36:13,4.57,1.26,5.7582
18:36:14,4.6,1.22,5.612
18:36:15,4.63,1.25,5.7875004
18:36:17,4.62,1.25,5.7749996
18:36:17,4.61,1.24,5.7164
18:36:19,4.63,1.27,5.8801003
18:36:20,4.63,1.21,5.6023
18:36:21,4.62,1.26,5.8212
18:36:22,4.61,1.28,5.9008
18:36:23,4.57,1.27,5.8039002
18:36:24,4.57,1.26,5.7582
18:36:25,4.59,1.27,5.8293
18:36:26,4.62,1.25,5.7749996
18:36:27,4.61,1.29,5.9469
18:36:28,4.62,1.28,5.9135995
18:36:29,4.64,1.28,5.9392
18:36:30,4.6,1.25,5.75
18:36:31,4.58,1.28,5.8623996
18:36:32,4.62,1.25,5.7749996
18:36:33,4.6,1.29,5.9339995
18:36:34,4.62,1.31,6.0521994
18:36:35,4.59,1.24,5.6916003
18:36:36,4.57,1.2,5.484
18:36:37,4.62,1.27,5.8673997
18:36:38,4.62,1.23,5.6826
18:36:39,4.57,1.3,5.941
18:36:40,4.56,1.22,5.5632
18:36:41,4.62,1.22,5.6364
18:36:42,4.61,1.19,5.4859004
18:36:43,4.62,1.22,5.6364
18:36:44,4.58,1.22,5.5876
18:36:45,4.62,1.23,5.6826
18:36:46,4.59,1.22,5.5998
18:36:47,4.58,1.22,5.5876
18:36:48,4.64,1.21,5.6144
18:36:49,4.57,1.27,5.8039002
18:36:50,4.6,1.22,5.612
18:36:51,4.61,1.22,5.6242003
18:36:52,4.62,1.25,5.7749996
18:36:53,4.61,1.2,5.5320005
18:36:54,4.61,1.18,5.4398
18:36:55,4.61,1.2,5.5320005
18:36:56,4.58,1.2,5.4960003
18:36:57,4.62,1.19,5.4978004
18:36:58,4.6,1.19,5.474
18:36:59,4.61,1.17,5.3937
18:37:00,4.58,1.14,5.2212
