time,voltage,current,power
19:48:00,4.68,0.14,0.6552
19:48:01,4.54,0.11,0.4994
19:48:02,4.66,0.08,0.3728
19:48:03,4.67,0.05,0.2335
19:48:04,4.7,0.09,0.423
19:48:05,4.71,0.11,0.5181
19:48:06,4.74,0.08,0.37919998
19:48:07,4.74,0.1,0.47399998
19:48:08,4.71,0.08,0.3768
19:48:09,4.79,0.07,0.3353
19:48:10,4.78,0.13,0.6214
19:48:11,4.74,0.12,0.5688
19:48:12,4.77,0.15,0.7155
19:48:13,4.78,0.11,0.52580005
19:48:14,4.8,0.04,0.192
19:48:31,4.45,1.24,5.5179996
19:48:32,4.49,1.23,5.5227
19:48:33,4.47,1.21,5.4087
19:48:34,4.47,1.16,5.1851997
19:48:35,4.5,1.14,5.13
19:48:36,4.46,1.1,4.906
19:48:37,4.5,1.04,4.68
19:48:38,4.61,0.84,3.8724
19:48:39,4.6,0.84,3.8639998
19:48:40,4.62,0.82,3.7884
19:48:41,4.62,0.88,4.0656
19:48:42,4.6,0.83,3.8179998
19:48:43,4.57,0.81,3.7017002
19:48:44,4.59,0.86,3.9474
19:48:45,4.59,0.9,4.131
19:48:46,4.58,0.88,4.0304
19:48:47,4.56,0.82,3.7391999
19:48:48,4.55,0.85,3.8675003
19:49:03,4.73,1.64,7.7572
19:49:04,4.79,1.65,7.9034996
19:51:18,4.58,0.02,0.09159999
19:51:19,4.71,0.02,0.0942
19:51:20,4.7,0.02,0.094
19:51:21,4.74,0.04,0.18959999
19:51:22,4.75,0.0,0.0
19:51:23,4.41,0.06,0.26459998
19:51:24,4.48,1.1,4.928
19:51:25,4.59,0.62,2.8458002
19:51:26,4.61,0.62,2.8582
19:51:27,4.59,0.61,2.7999
19:51:28,4.59,0.61,2.7999
19:51:29,4.52,0.58,2.6216
19:51:30,4.52,0.6,2.7120001
19:51:31,4.53,0.58,2.6274002
19:51:32,4.5,0.61,2.7450001
19:51:33,4.53,0.65,2.9445
19:51:34,4.5,0.61,2.7450001
19:51:35,4.48,0.61,2.7328
19:51:36,4.44,0.6,2.664
19:51:37,4.44,0.59,2.6195998
19:51:38,4.47,0.55,2.4585
19:51:39,4.43,0.52,2.3035998
19:51:40,4.45,0.54,2.4029999
19:51:41,4.45,0.49,2.1805
19:51:42,4.45,0.43,1.9135
19:51:43,4.44,0.36,1.5984001
19:51:44,4.44,0.38,1.6872
19:51:45,4.44,0.34,1.5096
19:51:46,4.46,0.32,1.4272
19:51:47,4.45,0.29,1.2904999
19:51:48,4.45,0.29,1.2904999
19:51:49,4.41,0.26,1.1465999
19:51:50,4.44,0.23,1.0212001
19:51:51,4.43,0.27,1.1961
19:51:52,4.43,0.28,1.2404
19:51:53,4.44,0.25,1.11
19:51:54,4.42,0.25,1.105
19:51:55,4.43,0.28,1.2404
19:51:56,4.42,0.25,1.105
19:51:57,4.52,0.24,1.0848
19:51:58,4.53,0.19,0.8607
19:51:59,4.51,0.16,0.7216
19:52:00,4.5,0.23,1.035
19:52:01,4.48,0.22,0.9856
19:52:02,4.5,0.25,1.125
19:52:03,4.5,0.19,0.855
19:52:04,4.48,0.17,0.7616
