voltage,current,power
4.73,0.96,4.5408
4.7,0.96,4.5119996
4.7,0.94,4.4179997
4.71,0.97,4.5687003
4.74,0.94,4.4556
4.74,0.99,4.6926
4.7,1.01,4.7469997
4.71,0.94,4.4274
4.73,0.96,4.5408
4.71,0.94,4.4274
4.7,0.91,4.277
4.74,0.96,4.5504
4.74,0.44,2.0856
4.71,0.94,4.4274
4.73,1,4.73
4.7,0.92,4.324
4.7,0.99,4.653
4.7,0.96,4.5119996
4.71,1,4.71
4.74,0.96,4.5504
4.74,0.95,4.503
4.74,0.99,4.6926
4.7,0.95,4.4649997
4.7,1,4.7
4.7,0.95,4.4649997
4.72,0.99,4.6728
4.72,0.94,4.4368
4.72,0.95,4.4839997
4.73,0.96,4.5408
4.7,0.93,4.371
4.74,0.98,4.6452
