time,voltage,current,power
16:57:45,4.57,1.11,5.0727
16:57:46,4.58,1.14,5.2212
16:57:47,4.6,1.14,5.244
16:57:48,4.57,1.14,5.2098002
16:57:49,4.59,1.11,5.0949
16:57:50,4.6,1.16,5.336
16:57:51,4.57,1.15,5.2555003
16:57:52,4.58,1.16,5.3128
16:57:53,4.6,1.18,5.4279995
16:57:54,4.59,1.13,5.1867003
16:57:55,4.59,1.14,5.2326
16:57:56,4.57,1.16,5.3012
16:57:57,4.61,1.13,5.2093
16:57:58,4.54,1.1,4.994
16:57:59,4.57,1.14,5.2098002
16:58:00,4.54,1.14,5.1756
16:58:01,4.55,1.12,5.096
16:58:02,4.57,1.16,5.3012
16:58:03,4.54,1.11,5.0394
16:58:04,4.54,1.13,5.1302
16:58:05,4.57,1.12,5.1184
16:58:06,4.57,1.14,5.2098002
16:58:07,4.57,1.14,5.2098002
16:58:08,4.56,1.13,5.1528
16:58:09,4.56,1.14,5.1984
16:58:10,4.54,1.14,5.1756
16:58:11,4.53,1.12,5.0736003
16:58:12,4.54,1.12,5.0848
16:58:13,4.57,1.1,5.0270004
16:58:14,4.52,1.15,5.198
16:58:15,4.56,1.15,5.244
16:58:16,4.53,1.17,5.3001
16:58:17,4.55,1.12,5.096
16:58:18,4.57,1.11,5.0727
16:58:19,4.6,1.09,5.014
16:58:20,4.55,1.15,5.2325
16:58:21,4.57,1.09,4.9813004
16:58:22,4.58,1.16,5.3128
16:58:23,4.57,1.12,5.1184
16:58:24,4.54,1.16,5.2664
16:58:25,4.56,1.13,5.1528
16:58:26,4.57,1.11,5.0727
16:58:27,4.55,1.14,5.1870003
16:58:28,4.57,1.12,5.1184
16:58:29,4.55,1.1,5.005
16:58:30,4.56,1.15,5.244
16:58:31,4.57,1.09,4.9813004
16:58:32,4.56,1.15,5.244
16:58:33,4.55,1.17,5.3235
16:58:34,4.54,1.15,5.2209997
16:58:35,4.56,1.09,4.9704
16:58:36,4.58,1.12,5.1296
16:58:37,4.55,1.12,5.096
16:58:38,4.54,1.14,5.1756
16:58:39,4.54,1.1,4.994
16:58:40,4.56,1.14,5.1984
16:58:41,4.57,1.16,5.3012
16:58:42,4.54,1.13,5.1302
16:58:43,4.57,1.13,5.1641
16:58:44,4.57,1.18,5.3926
16:58:45,4.54,1.16,5.2664
16:58:46,4.55,1.18,5.369
16:58:47,4.55,1.11,5.0505004
16:58:48,4.57,1.08,4.9356003
16:58:49,4.54,1.13,5.1302
16:58:50,4.53,1.12,5.0736003
16:58:51,4.53,1.14,5.1642003
16:58:52,4.53,1.12,5.0736003
16:58:53,4.56,1.12,5.1072
16:58:54,4.55,1.12,5.096
16:58:55,4.55,1.13,5.1415
16:58:56,4.53,1.12,5.0736003
16:58:57,4.47,0.88,3.9335997
16:58:58,4.46,1.0,4.46
16:58:59,4.65,1.1,5.1150002
16:59:00,4.63,1.1,5.0930004
16:59:01,4.64,1.12,5.1967998
16:59:02,4.6,1.14,5.244
16:59:03,4.59,1.18,5.4162
16:59:04,4.62,1.1,5.082
16:59:05,4.64,1.11,5.1503997
16:59:06,4.64,1.13,5.2432
16:59:07,4.63,1.12,5.1856003
16:59:08,4.64,1.12,5.1967998
16:59:09,4.63,1.14,5.2782
16:59:10,4.63,1.13,5.2319
16:59:11,4.66,1.13,5.2658
16:59:12,4.63,1.17,5.4171
16:59:13,4.66,1.12,5.2191997
16:59:14,4.62,1.14,5.2668
