voltage,current,power
4.91,0.96,4.7135997
4.95,0.99,4.9005
4.98,0.5,2.49
4.97,1,4.97
4.93,0.97,4.7821
4.94,0.91,4.4954
4.9,0.93,4.557
4.91,0.96,4.7135997
4.91,0.93,4.5663
4.91,0.94,4.6154
4.96,1.01,5.0096
4.94,0.96,4.7424
4.92,0.93,4.5756
4.93,0.95,4.6835
4.91,0.91,4.4681
4.95,0.97,4.8015
4.94,0.97,4.7918
4.93,0.96,4.7327995
4.92,0.94,4.6248
4.93,0.96,4.7327995
4.93,0.94,4.6341996
4.93,0.93,4.5849
4.91,0.93,4.5663
4.94,0.95,4.693
4.94,0.95,4.693
4.95,0.98,4.851
4.91,0.93,4.5663
4.93,0.96,4.7327995
4.91,0.9,4.4189997
4.92,0.97,4.7724004
4.94,0.93,4.5942
