time,voltage,current,power
02:32:00,4.62,1.25,5.7749996
02:32:01,4.61,1.26,5.8086
02:32:02,4.6,1.22,5.612
02:32:03,4.59,1.27,5.8293
02:32:04,4.56,1.22,5.5632
02:32:05,4.62,1.21,5.5902
02:32:06,4.64,1.23,5.7072
02:32:07,4.58,1.23,5.6334
02:32:08,4.6,1.2,5.52
02:32:09,4.53,1.23,5.5719004
02:32:10,4.54,1.23,5.5842
02:32:11,4.57,1.2,5.484
02:32:12,4.6,1.24,5.704
02:32:13,4.55,1.25,5.6875
02:32:14,4.57,1.22,5.5754004
02:32:15,4.57,1.23,5.6211004
02:32:16,4.57,1.21,5.5297003
02:32:17,4.57,1.24,5.6668
02:32:18,4.53,1.2,5.4360003
02:32:19,4.54,1.17,5.3117995
02:32:20,4.53,1.2,5.4360003
02:32:21,4.54,1.19,5.4026003
02:32:22,4.54,1.24,5.6296
02:32:23,4.57,1.22,5.5754004
02:32:24,4.54,1.24,5.6296
02:32:25,4.57,1.25,5.7125
02:32:26,4.5,1.17,5.265
02:32:27,4.49,1.08,4.8492
02:32:28,4.47,0.96,4.2911997
02:32:29,4.52,1.19,5.3788004
02:32:30,4.54,1.25,5.675
02:32:31,4.62,1.2,5.544
02:32:32,4.66,1.21,5.6386
02:32:33,4.57,1.28,5.8496003
02:32:34,4.55,1.21,5.5055003
02:32:35,4.58,1.19,5.4502
02:32:36,4.58,1.24,5.6792
02:32:37,4.61,1.23,5.6703005
02:32:38,4.57,1.19,5.4383006
02:32:39,4.57,1.18,5.3926
02:32:40,4.57,1.22,5.5754004
02:32:41,4.57,1.19,5.4383006
02:32:42,4.57,1.22,5.5754004
02:32:43,4.61,1.22,5.6242003
02:32:44,4.55,1.21,5.5055003
02:32:45,4.53,1.19,5.3907003
02:32:46,4.55,1.19,5.4145007
02:32:47,4.6,1.2,5.52
02:32:48,4.55,1.23,5.5965004
02:32:49,4.54,1.24,5.6296
02:32:50,4.55,1.21,5.5055003
02:32:51,4.57,1.22,5.5754004
02:32:52,4.58,1.22,5.5876
02:32:53,4.56,1.21,5.5176
02:32:54,4.57,1.18,5.3926
02:32:55,4.54,1.22,5.5388002
02:32:56,4.53,1.23,5.5719004
02:32:57,4.6,1.23,5.658
02:32:59,4.57,1.27,5.8039002
02:32:59,4.54,1.21,5.4934
02:33:00,4.55,1.21,5.5055003
02:33:01,4.55,1.18,5.369
02:33:02,4.55,1.18,5.369
02:33:03,4.51,1.22,5.5022006
02:33:04,4.53,1.23,5.5719004
02:33:05,4.54,1.26,5.7204
02:33:06,4.55,1.2,5.4600005
02:33:07,4.51,1.25,5.6375003
02:33:08,4.51,1.23,5.5473003
02:33:09,4.51,1.26,5.6826
02:33:10,4.5,1.23,5.535
02:33:11,4.53,1.22,5.5266004
02:33:12,4.51,1.2,5.4120007
02:33:13,4.53,1.21,5.4813004
02:33:14,4.56,1.19,5.4264
02:33:15,4.55,1.19,5.4145007
02:33:16,4.58,1.21,5.5418
02:33:17,4.52,1.22,5.5144
02:33:18,4.56,1.27,5.7911997
02:33:19,4.56,1.2,5.472
02:33:20,4.55,1.21,5.5055003
02:33:21,4.52,1.24,5.6048
02:33:22,4.54,1.27,5.7658
02:33:23,4.54,1.25,5.675
02:33:25,4.52,1.2,5.4240003
02:33:26,4.54,1.2,5.448
02:33:26,4.54,1.2,5.448
02:33:28,4.52,1.17,5.2883997
02:33:29,4.51,1.23,5.5473003
02:33:29,4.48,1.19,5.3312
02:33:31,4.51,1.22,5.5022006
02:33:32,4.49,1.19,5.3431
02:33:33,4.53,1.18,5.3454
02:33:34,4.52,1.23,5.5596
02:33:35,4.53,1.18,5.3454
02:33:36,4.53,1.18,5.3454
02:33:37,4.49,1.2,5.388
02:33:38,4.63,0.9,4.167
02:33:39,4.63,1.0,4.63
02:33:40,4.62,1.01,4.6661997
02:33:41,4.62,1.01,4.6661997
02:33:42,4.57,0.96,4.3872
02:33:43,4.6,0.99,4.554
02:33:44,4.64,0.96,4.4543996
02:33:45,4.56,0.97,4.4232
02:33:46,4.59,1.03,4.7277
02:33:47,4.62,1.0,4.62
02:33:48,4.62,1.02,4.7124
02:33:49,4.61,0.96,4.4256
02:33:50,4.6,0.97,4.462
02:33:51,4.61,1.01,4.6561003
02:33:52,4.62,0.97,4.4814
02:33:53,4.62,0.97,4.4814
02:33:54,4.6,0.98,4.508
02:33:55,4.61,0.99,4.5639
02:33:56,4.62,1.02,4.7124
02:33:57,4.61,1.05,4.8405
02:33:58,4.6,0.99,4.554
02:33:59,4.6,0.98,4.508
02:34:00,4.58,0.99,4.5342
02:34:01,4.57,1.04,4.7528
02:34:02,4.57,0.94,4.2958
02:34:03,4.6,0.99,4.554
02:34:04,4.62,0.98,4.5276
02:34:05,4.57,1.06,4.8442
02:34:06,4.61,0.99,4.5639
02:34:07,4.62,0.98,4.5276
02:34:08,4.59,0.97,4.4523
02:34:09,4.62,0.94,4.3427997
02:34:10,4.64,0.97,4.5008
02:34:11,4.62,1.02,4.7124
02:34:12,4.59,0.97,4.4523
02:34:13,4.63,1.06,4.9077997
02:34:14,4.59,0.98,4.4982004
02:34:15,4.61,0.96,4.4256
02:34:16,4.6,1.05,4.8299994
02:34:17,4.57,0.96,4.3872
02:34:18,4.58,0.99,4.5342
02:34:19,4.57,1.01,4.6157002
02:34:20,4.56,0.99,4.5144
02:34:21,4.54,0.99,4.4946
02:34:22,4.59,0.97,4.4523
02:34:23,4.56,0.97,4.4232
02:34:24,4.53,1.02,4.6206
02:34:25,4.6,0.97,4.462
02:34:26,4.54,0.95,4.3129997
02:34:27,4.51,0.98,4.4198003
02:34:28,4.49,0.91,4.0859
02:34:29,4.63,0.97,4.4911003
02:34:30,4.74,0.78,3.6971996
02:34:31,4.72,0.83,3.9175997
02:34:32,4.71,0.8,3.7680001
02:34:33,4.73,0.78,3.6894
02:34:34,4.75,0.88,4.18
02:34:35,4.72,0.83,3.9175997
02:34:36,4.75,0.82,3.895
