voltage,current,power
4.65,1.49,6.9285
4.65,1.46,6.7890005
4.68,1.54,7.2071996
4.66,1.46,6.8036
4.63,1.46,6.7598004
4.64,1.39,6.4495997
4.67,1.39,6.4913
4.66,1.47,6.8501997
4.66,1.4,6.5239997
4.67,1.42,6.6314
4.63,1.48,6.8524003
4.65,1.56,7.2539997
4.62,1.52,7.0224
4.69,1.53,7.1757
4.65,1.44,6.6960006
4.64,1.45,6.728
4.63,1.48,6.8524003
4.63,1.49,6.8987
4.68,1.42,6.6455994
4.69,1.42,6.6598
4.65,1.38,6.4170003
4.65,1.4,6.51
4.68,1.48,6.9263997
4.68,1.4,6.5519996
4.66,1.45,6.757
4.65,1.37,6.3705
4.66,1.42,6.6171994
4.65,1.4,6.51
4.66,1.38,6.4308
4.62,1.44,6.6528
4.63,1.43,6.6209
