time,voltage,current,power
21:20:00,4.66,1.65,7.6889997
21:20:01,4.69,1.65,7.7385
21:20:02,4.68,1.64,7.6751995
21:20:03,4.65,1.66,7.719
21:20:04,4.71,1.66,7.8185997
21:20:05,4.72,1.64,7.7407994
21:20:06,4.68,1.64,7.6751995
21:20:07,4.7,1.68,7.8959994
21:20:08,4.71,1.69,7.9599004
21:20:09,4.66,1.66,7.7355995
21:20:10,4.69,1.71,8.0199
21:20:11,4.66,1.63,7.5958
21:20:12,4.69,1.66,7.7854
21:20:13,4.71,1.69,7.9599004
21:20:14,4.66,1.68,7.8287997
21:20:15,4.68,1.65,7.7219996
21:20:16,4.66,1.64,7.6424
21:20:17,4.72,1.65,7.7879996
21:20:18,4.65,1.64,7.626
21:20:19,4.7,1.67,7.8489995
21:20:20,4.7,1.64,7.7079997
21:20:21,4.66,1.69,7.8754
21:20:22,4.66,1.72,8.0152
21:20:23,4.7,1.64,7.7079997
21:20:24,4.7,1.71,8.037
21:20:25,4.7,1.66,7.8019996
21:20:27,4.67,1.66,7.7522
21:20:27,4.71,1.66,7.8185997
21:20:29,4.73,1.67,7.8991
21:20:29,4.66,1.67,7.7821994
21:20:30,4.67,1.64,7.6588
21:20:32,4.74,1.64,7.7735996
21:20:32,4.66,1.67,7.7821994
21:20:34,4.68,1.68,7.8623996
21:20:34,4.69,1.62,7.5978003
21:20:36,4.7,1.68,7.8959994
21:20:36,4.67,1.68,7.8455997
21:20:37,4.71,1.66,7.8185997
21:20:39,4.7,1.66,7.8019996
21:20:40,4.69,1.65,7.7385
21:20:40,4.64,1.64,7.6095996
21:20:42,4.72,1.69,7.9768
21:20:43,4.68,1.69,7.9092
21:20:44,4.66,1.7,7.922
21:20:45,4.74,1.7,8.058
21:20:46,4.65,1.67,7.7655
21:20:47,4.67,1.64,7.6588
21:20:48,4.65,1.65,7.6725
21:20:49,4.67,1.65,7.7055
21:20:50,4.7,1.72,8.084
21:20:51,4.7,1.66,7.8019996
21:20:52,4.7,1.64,7.7079997
21:20:53,4.65,1.65,7.6725
21:20:54,4.67,1.64,7.6588
21:20:55,4.65,1.66,7.719
21:20:56,4.7,1.69,7.943
21:20:57,4.72,1.65,7.7879996
21:20:58,4.69,1.66,7.7854
21:20:59,4.67,1.68,7.8455997
21:21:00,4.62,1.72,7.9464
21:21:01,4.68,1.68,7.8623996
21:21:02,4.68,1.64,7.6751995
21:21:03,4.65,1.65,7.6725
21:21:04,4.71,1.62,7.6302
21:21:05,4.69,1.66,7.7854
21:21:06,4.63,1.68,7.7784
21:21:07,4.69,1.71,8.0199
21:21:08,4.71,1.65,7.7715
21:21:09,4.69,1.65,7.7385
21:21:10,4.67,1.66,7.7522
21:21:11,4.74,1.71,8.1054
21:21:12,4.69,1.7,7.9730005
21:21:13,4.65,1.68,7.812
21:21:14,4.63,1.68,7.7784
21:21:15,4.7,1.67,7.8489995
21:21:16,4.71,1.66,7.8185997
21:21:17,4.66,1.62,7.5491996
21:21:18,4.67,1.61,7.5187
21:21:19,4.62,1.66,7.6691995
21:21:20,4.68,1.63,7.6284
21:21:21,4.66,1.64,7.6424
21:21:22,4.64,1.69,7.8416
21:21:23,4.7,1.64,7.7079997
21:21:24,4.7,1.63,7.661
21:21:25,4.67,1.66,7.7522
21:21:26,4.67,1.62,7.5654
21:21:27,4.66,1.63,7.5958
21:21:28,4.63,1.63,7.5469003
21:21:29,4.7,1.66,7.8019996
21:21:30,4.68,1.66,7.7688
21:21:31,4.71,1.67,7.8657
21:21:32,4.68,1.66,7.7688
21:21:33,4.67,1.67,7.7989
21:21:34,4.66,1.68,7.8287997
21:21:35,4.7,1.68,7.8959994
21:21:36,4.64,1.71,7.9344
21:21:37,4.66,1.62,7.5491996
21:21:38,4.66,1.67,7.7821994
21:21:39,4.7,1.69,7.943
21:21:40,4.66,1.65,7.6889997
21:21:41,4.73,1.71,8.0883
21:21:42,4.64,1.65,7.6559997
21:21:43,4.68,1.66,7.7688
21:21:44,4.72,1.65,7.7879996
21:21:45,4.71,1.64,7.7244
21:21:46,4.65,1.68,7.812
21:21:47,4.65,1.64,7.626
21:21:48,4.73,1.67,7.8991
21:21:49,4.67,1.66,7.7522
21:21:50,4.71,1.66,7.8185997
21:21:51,4.66,1.64,7.6424
21:21:52,4.67,1.67,7.7989
21:21:53,4.67,1.68,7.8455997
21:21:54,4.71,1.67,7.8657
21:21:55,4.64,1.63,7.5632
21:21:56,4.66,1.65,7.6889997
21:21:57,4.71,1.66,7.8185997
21:21:58,4.66,1.66,7.7355995
21:21:59,4.67,1.72,8.0324
21:22:00,4.61,1.64,7.5604
21:22:01,4.68,1.66,7.7688
21:22:02,4.66,1.64,7.6424
21:22:03,4.68,1.67,7.8155994
21:22:04,4.7,1.65,7.7549996
21:22:05,4.67,1.68,7.8455997
21:22:06,4.72,1.68,7.9295993
21:22:07,4.66,1.64,7.6424
21:22:08,4.7,1.69,7.943
21:22:09,4.71,1.66,7.8185997
21:22:10,4.64,1.66,7.7023997
21:22:11,4.62,1.66,7.6691995
21:22:12,4.73,1.68,7.9463997
21:22:13,4.66,1.68,7.8287997
21:22:14,4.61,1.62,7.4682
21:22:15,4.66,1.66,7.7355995
21:22:16,4.7,1.62,7.614
21:22:17,4.7,1.68,7.8959994
21:22:18,4.7,1.64,7.7079997
21:22:19,4.66,1.66,7.7355995
21:22:20,4.65,1.71,7.9515004
21:22:21,4.69,1.65,7.7385
21:22:22,4.7,1.64,7.7079997
21:22:23,4.65,1.69,7.8585005
21:22:24,4.68,1.67,7.8155994
21:22:25,4.69,1.64,7.6916
21:22:26,4.62,1.68,7.7615995
21:22:27,4.63,1.7,7.8710003
21:22:28,4.7,1.65,7.7549996
21:22:29,4.69,1.71,8.0199
21:22:30,4.65,1.7,7.905
21:22:31,4.68,1.66,7.7688
21:22:32,4.67,1.64,7.6588
21:22:33,4.7,1.62,7.614
21:22:34,4.7,1.66,7.8019996
21:22:35,4.73,1.64,7.7572
21:22:36,4.67,1.63,7.6121
21:22:37,4.67,1.64,7.6588
21:22:38,4.68,1.64,7.6751995
21:22:39,4.64,1.66,7.7023997
21:22:40,4.68,1.68,7.8623996
21:22:41,4.69,1.67,7.8322997
21:22:42,4.66,1.67,7.7821994
21:22:43,4.68,1.66,7.7688
21:22:44,4.66,1.64,7.6424
21:22:45,4.69,1.66,7.7854
21:22:46,4.7,1.66,7.8019996
21:22:47,4.7,1.64,7.7079997
21:22:48,4.66,1.65,7.6889997
21:22:49,4.63,1.65,7.6395
21:22:50,4.64,1.66,7.7023997
21:22:51,4.66,1.66,7.7355995
21:22:52,4.67,1.64,7.6588
21:22:53,4.64,1.66,7.7023997
21:22:54,4.62,1.68,7.7615995
21:22:55,4.66,1.66,7.7355995
21:22:56,4.6,1.65,7.5899997
21:22:57,4.65,1.67,7.7655
21:22:58,4.71,1.64,7.7244
21:22:59,4.69,1.66,7.7854
21:23:00,4.64,1.67,7.7488
21:23:01,4.66,1.71,7.9686
21:23:02,4.68,1.64,7.6751995
21:23:03,4.62,1.66,7.6691995
21:23:04,4.64,1.66,7.7023997
21:23:05,4.62,1.68,7.7615995
21:23:06,4.64,1.67,7.7488
21:23:07,4.63,1.72,7.9636
21:23:08,4.66,1.64,7.6424
21:23:09,4.66,1.65,7.6889997
21:23:10,4.67,1.65,7.7055
21:23:11,4.7,1.64,7.7079997
21:23:12,4.66,1.64,7.6424
21:23:13,4.65,1.68,7.812
21:23:14,4.68,1.63,7.6284
21:23:15,4.7,1.68,7.8959994
21:23:16,4.66,1.67,7.7821994
21:23:17,4.63,1.65,7.6395
21:23:18,4.7,1.72,8.084
21:23:19,4.61,1.67,7.6987
21:23:20,4.64,1.64,7.6095996
21:23:21,4.65,1.66,7.719
21:23:22,4.74,1.66,7.8683996
21:23:23,4.68,1.67,7.8155994
21:23:24,4.66,1.66,7.7355995
21:23:25,4.66,1.68,7.8287997
21:23:26,4.65,1.65,7.6725
21:23:27,4.65,1.62,7.533
21:23:28,4.66,1.68,7.8287997
21:23:29,4.7,1.66,7.8019996
21:23:30,4.66,1.63,7.5958
21:23:31,4.67,1.64,7.6588
21:23:32,4.68,1.64,7.6751995
21:23:33,4.65,1.66,7.719
21:23:34,4.7,1.63,7.661
21:23:35,4.67,1.64,7.6588
21:23:36,4.68,1.64,7.6751995
21:23:37,4.66,1.64,7.6424
21:23:38,4.67,1.64,7.6588
21:23:39,4.68,1.66,7.7688
21:23:40,4.66,1.65,7.6889997
21:23:41,4.69,1.64,7.6916
21:23:42,4.66,1.67,7.7821994
21:23:43,4.66,1.64,7.6424
21:23:44,4.67,1.67,7.7989
21:23:45,4.64,1.69,7.8416
21:23:46,4.64,1.65,7.6559997
21:23:47,4.67,1.64,7.6588
21:23:48,4.76,1.68,7.9968
21:23:49,4.69,1.65,7.7385
21:23:50,4.65,1.68,7.812
21:23:51,4.69,1.69,7.9261003
21:23:52,4.67,1.7,7.939
21:23:53,4.6,1.67,7.6819997
21:23:54,4.69,1.68,7.8792
21:23:55,4.67,1.68,7.8455997
21:23:56,4.66,1.65,7.6889997
21:23:57,4.67,1.68,7.8455997
21:23:58,4.63,1.68,7.7784
21:23:59,4.69,1.64,7.6916
21:24:00,4.66,1.65,7.6889997
21:24:01,4.66,1.66,7.7355995
21:24:02,4.66,1.64,7.6424
21:24:03,4.69,1.64,7.6916
21:24:04,4.69,1.62,7.5978003
21:24:05,4.66,1.68,7.8287997
21:24:06,4.66,1.65,7.6889997
21:24:07,4.65,1.63,7.5795
21:24:08,4.65,1.67,7.7655
21:24:09,4.71,1.65,7.7715
21:24:10,4.69,1.65,7.7385
21:24:11,4.69,1.68,7.8792
21:24:12,4.68,1.66,7.7688
21:24:13,4.64,1.63,7.5632
21:24:14,4.66,1.66,7.7355995
21:24:15,4.66,1.62,7.5491996
21:24:16,4.66,1.71,7.9686
21:24:17,4.66,1.66,7.7355995
21:24:18,4.67,1.65,7.7055
21:24:19,4.71,1.72,8.1012
21:24:20,4.67,1.64,7.6588
21:24:21,4.64,1.63,7.5632
21:24:22,4.66,1.67,7.7821994
21:24:23,4.64,1.67,7.7488
21:24:24,4.67,1.74,8.1258
21:24:25,4.65,1.66,7.719
21:24:26,4.68,1.7,7.956
21:24:27,4.66,1.68,7.8287997
21:24:28,4.72,1.67,7.8823996
21:24:29,4.63,1.66,7.6858
21:24:30,4.62,1.71,7.9002
21:24:31,4.66,1.7,7.922
21:24:32,4.65,1.63,7.5795
21:24:33,4.67,1.67,7.7989
21:24:34,4.68,1.72,8.0496
21:24:35,4.63,1.66,7.6858
21:24:36,4.71,1.67,7.8657
21:24:37,4.64,1.64,7.6095996
21:24:38,4.69,1.68,7.8792
21:24:39,4.7,1.65,7.7549996
21:24:40,4.7,1.68,7.8959994
21:24:41,4.71,1.68,7.9128
21:24:42,4.69,1.65,7.7385
21:24:43,4.7,1.67,7.8489995
21:24:44,4.65,1.64,7.626
21:24:45,4.7,1.66,7.8019996
21:24:46,4.71,1.68,7.9128
21:24:47,4.66,1.64,7.6424
21:24:48,4.66,1.7,7.922
21:24:49,4.66,1.66,7.7355995
21:24:50,4.68,1.64,7.6751995
21:24:51,4.67,1.66,7.7522
21:24:52,4.7,1.66,7.8019996
21:24:53,4.66,1.64,7.6424
21:24:54,4.65,1.69,7.8585005
21:24:55,4.64,1.67,7.7488
21:24:56,4.68,1.64,7.6751995
21:24:57,4.65,1.71,7.9515004
21:24:58,4.7,1.68,7.8959994
21:24:59,4.66,1.64,7.6424
21:25:00,4.72,1.72,8.1184
21:25:01,4.7,1.64,7.7079997
21:25:03,4.66,1.64,7.6424
21:25:03,4.66,1.66,7.7355995
21:25:05,4.71,1.64,7.7244
21:25:05,4.66,1.64,7.6424
21:25:06,4.66,1.66,7.7355995
21:25:07,4.69,1.68,7.8792
21:25:08,4.67,1.68,7.8455997
21:25:10,4.63,1.67,7.7321
21:25:10,4.6,1.64,7.5439997
21:25:12,4.66,1.64,7.6424
21:25:12,4.68,1.65,7.7219996
21:25:14,4.68,1.64,7.6751995
21:25:15,4.64,1.64,7.6095996
21:25:16,4.63,1.69,7.8247004
21:25:17,4.74,1.68,7.963199
21:25:18,4.69,1.65,7.7385
21:25:19,4.66,1.67,7.7821994
21:25:20,4.67,1.64,7.6588
21:25:21,4.66,1.68,7.8287997
21:25:22,4.7,1.67,7.8489995
21:25:23,4.7,1.7,7.99
21:25:24,4.66,1.66,7.7355995
21:25:25,4.69,1.64,7.6916
21:25:26,4.66,1.71,7.9686
21:25:27,4.66,1.66,7.7355995
21:25:28,4.64,1.65,7.6559997
21:25:29,4.7,1.66,7.8019996
21:25:30,4.66,1.67,7.7821994
21:25:31,4.68,1.66,7.7688
21:25:32,4.64,1.65,7.6559997
21:25:33,4.62,1.64,7.5768
21:25:34,4.66,1.67,7.7821994
21:25:35,4.71,1.7,8.007
21:25:36,4.67,1.66,7.7522
21:25:37,4.68,1.65,7.7219996
21:25:38,4.67,1.67,7.7989
21:25:39,4.69,1.68,7.8792
21:25:40,4.7,1.69,7.943
21:25:41,4.66,1.67,7.7821994
21:25:42,4.63,1.66,7.6858
21:25:43,4.68,1.65,7.7219996
21:25:44,4.64,1.67,7.7488
21:25:45,4.62,1.68,7.7615995
21:25:46,4.65,1.68,7.812
21:25:47,4.62,1.65,7.6229997
21:25:48,4.61,1.66,7.6526003
21:25:49,4.59,1.67,7.6653
21:25:50,4.66,1.71,7.9686
21:25:51,4.68,1.69,7.9092
21:25:52,4.69,1.64,7.6916
21:25:53,4.65,1.65,7.6725
21:25:54,4.67,1.65,7.7055
21:25:55,4.7,1.64,7.7079997
21:25:56,4.66,1.64,7.6424
21:25:57,4.7,1.67,7.8489995
21:25:58,4.67,1.68,7.8455997
21:25:59,4.68,1.66,7.7688
21:26:00,4.63,1.66,7.6858
21:26:01,4.73,1.61,7.6153
21:26:02,4.66,1.67,7.7821994
21:26:03,4.61,1.65,7.6065
21:26:04,4.66,1.67,7.7821994
21:26:05,4.7,1.67,7.8489995
21:26:06,4.62,1.69,7.8078003
21:26:07,4.66,1.67,7.7821994
21:26:08,4.72,1.65,7.7879996
21:26:09,4.64,1.64,7.6095996
21:26:10,4.73,1.64,7.7572
21:26:11,4.65,1.68,7.812
21:26:12,4.64,1.72,7.9807997
21:26:13,4.7,1.65,7.7549996
21:26:14,4.7,1.67,7.8489995
21:26:15,4.67,1.68,7.8455997
21:26:16,4.68,1.69,7.9092
21:26:17,4.73,1.65,7.8045
21:26:18,4.66,1.68,7.8287997
21:26:19,4.63,1.68,7.7784
21:26:20,4.67,1.66,7.7522
21:26:21,4.62,1.69,7.8078003
21:26:22,4.64,1.66,7.7023997
21:26:23,4.66,1.66,7.7355995
21:26:24,4.67,1.67,7.7989
21:26:25,4.69,1.66,7.7854
21:26:26,4.67,1.65,7.7055
21:26:27,4.62,1.69,7.8078003
21:26:28,4.68,1.63,7.6284
21:26:29,4.65,1.68,7.812
21:26:30,4.66,1.72,8.0152
21:26:31,4.67,1.64,7.6588
21:26:32,4.6,1.65,7.5899997
21:26:33,4.68,1.65,7.7219996
21:26:34,4.69,1.62,7.5978003
21:26:35,4.63,1.65,7.6395
21:26:36,4.68,1.7,7.956
21:26:37,4.66,1.66,7.7355995
21:26:38,4.64,1.62,7.5168
21:26:39,4.66,1.64,7.6424
21:26:40,4.69,1.69,7.9261003
21:26:41,4.66,1.65,7.6889997
21:26:42,4.7,1.68,7.8959994
21:26:43,4.7,1.61,7.567
21:26:44,4.66,1.61,7.5025997
21:26:45,4.66,1.64,7.6424
21:26:46,4.62,1.65,7.6229997
21:26:47,4.68,1.65,7.7219996
21:26:48,4.67,1.64,7.6588
21:26:49,4.62,1.64,7.5768
21:26:50,4.65,1.65,7.6725
21:26:51,4.62,1.63,7.5305996
21:26:52,4.65,1.66,7.719
21:26:53,4.59,1.66,7.6194
21:26:54,4.66,1.65,7.6889997
21:26:55,4.68,1.62,7.5815997
21:26:56,4.62,1.69,7.8078003
21:26:57,4.62,1.66,7.6691995
21:26:58,4.62,1.68,7.7615995
21:26:59,4.66,1.64,7.6424
21:27:00,4.72,1.68,7.9295993
21:27:01,4.66,1.67,7.7821994
21:27:02,4.63,1.65,7.6395
21:27:03,4.68,1.65,7.7219996
21:27:04,4.7,1.66,7.8019996
21:27:05,4.62,1.66,7.6691995
21:27:06,4.6,1.68,7.7279997
21:27:07,4.69,1.68,7.8792
21:27:08,4.66,1.64,7.6424
21:27:09,4.66,1.68,7.8287997
21:27:10,4.63,1.66,7.6858
21:27:11,4.66,1.68,7.8287997
21:27:12,4.66,1.66,7.7355995
21:27:13,4.73,1.68,7.9463997
21:27:14,4.62,1.66,7.6691995
21:27:15,4.69,1.65,7.7385
21:27:16,4.62,1.65,7.6229997
21:27:17,4.62,1.66,7.6691995
21:27:18,4.7,1.66,7.8019996
21:27:19,4.65,1.65,7.6725
21:27:20,4.69,1.64,7.6916
21:27:21,4.63,1.68,7.7784
21:27:22,4.62,1.66,7.6691995
21:27:23,4.73,1.64,7.7572
21:27:24,4.62,1.66,7.6691995
21:27:25,4.65,1.67,7.7655
21:27:26,4.65,1.65,7.6725
21:27:27,4.66,1.67,7.7821994
21:27:28,4.64,1.66,7.7023997
21:27:29,4.6,1.72,7.912
21:27:30,4.62,1.64,7.5768
21:27:31,4.62,1.64,7.5768
21:27:32,4.64,1.66,7.7023997
21:27:33,4.69,1.68,7.8792
21:27:34,4.61,1.67,7.6987
21:27:35,4.68,1.66,7.7688
21:27:36,4.77,1.62,7.7274
21:27:37,4.68,1.68,7.8623996
21:27:38,4.66,1.64,7.6424
21:27:39,4.68,1.67,7.8155994
21:27:40,4.66,1.64,7.6424
21:27:41,4.66,1.68,7.8287997
21:27:42,4.59,1.65,7.5735
21:27:43,4.66,1.7,7.922
21:27:44,4.65,1.64,7.626
21:27:45,4.66,1.66,7.7355995
21:27:46,4.64,1.69,7.8416
21:27:47,4.65,1.64,7.626
21:27:48,4.67,1.68,7.8455997
21:27:49,4.62,1.68,7.7615995
21:27:50,4.62,1.66,7.6691995
21:27:51,4.68,1.7,7.956
21:27:52,4.63,1.72,7.9636
21:27:53,4.63,1.66,7.6858
21:27:54,4.7,1.68,7.8959994
21:27:55,4.66,1.67,7.7821994
21:27:56,4.65,1.72,7.998
21:27:57,4.66,1.69,7.8754
21:27:58,4.7,1.68,7.8959994
21:27:59,4.64,1.67,7.7488
21:28:00,4.63,1.63,7.5469003
21:28:01,4.64,1.69,7.8416
21:28:02,4.62,1.68,7.7615995
21:28:03,4.67,1.67,7.7989
21:28:04,4.64,1.7,7.888
21:28:05,4.64,1.65,7.6559997
21:28:06,4.62,1.61,7.4382
21:28:07,4.64,1.7,7.888
21:28:08,4.62,1.65,7.6229997
21:28:09,4.63,1.68,7.7784
21:28:10,4.68,1.69,7.9092
21:28:11,4.66,1.67,7.7821994
21:28:12,4.69,1.69,7.9261003
21:28:13,4.62,1.72,7.9464
21:28:14,4.66,1.63,7.5958
21:28:15,4.64,1.67,7.7488
21:28:16,4.62,1.67,7.7153997
21:28:17,4.72,1.63,7.6935997
21:28:18,4.67,1.67,7.7989
21:28:19,4.62,1.67,7.7153997
