voltage,current,power
5.12,1.66,8.4992
5.07,1.65,8.3655
5.08,1.65,8.382
5.16,1.6,8.256
5.1,1.66,8.466
5.06,1.69,8.5514
5.05,1.68,8.484
5.1,1.7,8.67
5.07,1.61,8.162701
5.09,1.65,8.3985
5.05,1.67,8.4335
5.11,1.72,8.789201
5.06,1.68,8.500799
5.07,1.68,8.5176
5.08,1.69,8.5852
5.07,1.6,8.112
5.04,1.66,8.3664
5.08,1.64,8.3312
5.06,1.7,8.602
5.08,1.69,8.5852
5.12,1.68,8.6016
5.08,1.67,8.4836
5.07,1.68,8.5176
5.11,1.66,8.4826
5.06,1.65,8.349
5.04,1.65,8.316
5.12,1.68,8.6016
5.07,1.68,8.5176
5.13,1.71,8.772301
5.07,1.63,8.2641
