voltage,current,power
5.04,1.09,5.4936
5.09,1.07,5.4463005
5.05,1.16,5.8580003
5.08,1.14,5.7911997
5.03,1.14,5.7342
5.07,1.07,5.4249005
5.06,1.14,5.7683997
5.08,1.09,5.5372
5.06,1.18,5.9707994
5.08,1.06,5.3847995
5.08,1.17,5.9435997
5.12,1.11,5.6832
5.05,1.05,5.3025
5.1,1.07,5.4570003
5.1,1.09,5.559
5.07,1.12,5.6784
5.08,1.13,5.7404
5.1,1.05,5.3549995
5.05,1.16,5.8580003
5.08,1.07,5.4356003
5.12,1.06,5.4271994
5.07,1.06,5.3742
5.08,1.14,5.7911997
5.1,1.09,5.559
5.08,1.11,5.6388
5.08,1.07,5.4356003
5.02,1.14,5.7228
5.08,1.12,5.6896
5.06,1.16,5.8696
5.11,1.12,5.7232003
5.1,1.14,5.8139997

