time,current,voltage,power,temp_C
21:58:37,1.234,3.897,4.808898,35.3
21:58:38,1.013,3.897,3.947661,35.3
21:58:39,1.178,3.897,4.590666,35.3
21:58:40,1.178,3.897,4.590666,35.3
21:58:41,1.183,3.897,4.610151,35.3
21:58:42,1.174,3.897,4.575078,35.3
21:58:43,1.19,3.897,4.63743,35.3
21:58:44,1.177,3.894,4.583238,35.4
21:58:45,1.168,3.894,4.548192,35.4
21:58:46,1.179,3.894,4.591026,35.4
21:58:47,1.111,3.894,4.326234,35.4
21:58:48,1.169,3.894,4.552086,35.4
21:58:49,1.122,3.894,4.369068,35.4
21:58:50,1.158,3.894,4.509252,35.4
21:58:51,1.174,3.894,4.571556,35.4
21:58:52,1.134,3.894,4.415796,35.4
21:58:53,1.17,3.894,4.55598,35.4
21:58:54,1.149,3.894,4.474206,35.4
21:58:55,1.165,3.894,4.53651,35.4
21:58:56,1.166,3.894,4.540404,35.4
21:58:57,1.142,3.894,4.446948,35.4
21:58:58,1.154,3.894,4.493676,35.4
21:58:59,1.178,3.894,4.587132,35.4
21:59:00,1.145,3.894,4.45863,35.4
21:59:01,1.175,3.894,4.57545,35.4
21:59:02,1.093,3.894,4.256142,35.4
21:59:03,0.882,3.894,3.434508,35.4
21:59:05,1.197,3.894,4.661118,35.4
21:59:06,1.199,3.894,4.668906,35.4
21:59:07,1.205,3.894,4.69227,35.4
21:59:08,1.173,3.894,4.567662,35.4
21:59:09,1.229,3.894,4.785726,35.4
21:59:10,1.208,3.894,4.703952,35.4
21:59:11,1.209,3.894,4.707846,35.4
21:59:12,1.227,3.894,4.777938,35.4
21:59:13,0.749,3.894,2.916606,35.4
21:59:14,1.225,3.894,4.77015,35.4
21:59:15,1.211,3.894,4.715634,35.4
21:59:16,1.228,3.894,4.781832,35.4
21:59:17,1.213,3.894,4.723422,35.4
21:59:18,1.196,3.894,4.657224,35.4
21:59:19,1.231,3.894,4.793514,35.4
21:59:20,1.202,3.894,4.680588,35.4
21:59:21,1.213,3.894,4.723422,35.4
21:59:22,1.217,3.894,4.738998,35.4
21:59:23,1.227,3.894,4.777938,35.4
21:59:24,1.212,3.894,4.719528,35.4
21:59:25,1.169,3.894,4.552086,35.4
21:59:26,1.205,3.894,4.69227,35.4
21:59:27,1.182,3.894,4.602708,35.4
21:59:28,1.2,3.894,4.6728,35.4
21:59:29,1.235,3.894,4.80909,35.4
21:59:30,1.238,3.894,4.820772,35.4
21:59:31,1.237,3.894,4.816878,35.4
21:59:32,1.22,3.894,4.75068,35.4
21:59:33,1.241,3.899,4.838659,35.5
21:59:34,1.223,3.899,4.768477,35.5
21:59:35,1.231,3.899,4.799669,35.5
21:59:36,1.234,3.899,4.811366,35.5
21:59:37,1.24,3.899,4.83476,35.5
21:59:38,1.235,3.899,4.815265,35.5
21:59:39,1.188,3.899,4.632012,35.5
21:59:40,1.234,3.899,4.811366,35.5
21:59:41,1.224,3.899,4.772376,35.5
21:59:42,1.237,3.899,4.823063,35.5
21:59:43,1.232,3.899,4.803568,35.5
21:59:44,1.228,3.9,4.7892,35.5
21:59:45,1.216,3.9,4.7424,35.5
21:59:46,1.24,3.9,4.836,35.5
21:59:47,1.237,3.9,4.8243,35.5
21:59:48,1.225,3.9,4.7775,35.5
21:59:49,1.237,3.9,4.8243,35.5
21:59:50,1.224,3.9,4.7736,35.5
21:59:51,1.234,3.9,4.8126,35.5
21:59:52,1.232,3.9,4.8048,35.5
21:59:53,1.237,3.9,4.8243,35.5
21:59:54,1.242,3.9,4.8438,35.5
21:59:55,1.237,3.9,4.8243,35.5
21:59:56,1.241,3.9,4.8399,35.5
21:59:57,1.223,3.9,4.7697,35.5
21:59:58,1.234,3.9,4.8126,35.5
21:59:59,1.225,3.9,4.7775,35.5
22:00:00,1.23,3.9,4.797,35.5
22:00:01,1.065,3.9,4.1535,35.5
22:00:02,0.995,3.9,3.8805,35.5
22:00:03,1.054,3.9,4.1106,35.5
22:00:04,1.108,3.9,4.3212,35.5
22:00:05,1.184,3.9,4.6176,35.5
22:00:06,1.175,3.9,4.5825,35.5
22:00:07,1.175,3.9,4.5825,35.5
22:00:08,1.206,3.9,4.7034,35.5
22:00:09,1.228,3.9,4.7892,35.5
22:00:10,1.238,3.9,4.8282,35.5
22:00:11,1.15,3.9,4.485,35.5
22:00:12,0.94,3.9,3.666,35.5
22:00:13,0.688,3.9,2.6832,35.5
22:00:14,0.969,3.9,3.7791,35.5
22:00:15,1.217,3.9,4.7463,35.5
22:00:16,1.242,3.9,4.8438,35.5
22:00:17,1.25,3.9,4.875,35.5
22:00:18,1.233,3.9,4.8087,35.5
22:00:19,1.224,3.9,4.7736,35.5
22:00:20,1.232,3.9,4.8048,35.5
22:00:21,1.219,3.9,4.7541,35.5
22:00:22,1.229,3.9,4.7931,35.5
22:00:23,1.227,3.9,4.7853,35.5
22:00:24,1.234,3.9,4.8126,35.5
22:00:26,1.223,3.9,4.7697,35.5
22:00:27,1.189,3.9,4.6371,35.5
22:00:28,0.99,3.9,3.861,35.5
22:00:29,1.026,3.9,4.0014,35.5
22:00:30,1.011,3.9,3.9429,35.5
22:00:31,0.998,3.9,3.8922,35.5
22:00:32,0.966,3.9,3.7674,35.5
22:00:33,0.982,3.9,3.8298,35.5
22:00:34,0.988,3.9,3.8532,35.5
22:00:35,0.966,3.9,3.7674,35.5
22:00:36,0.984,3.9,3.8376,35.5
22:00:37,0.967,3.9,3.7713,35.5
22:00:38,0.974,3.9,3.7986,35.5
22:00:39,0.991,3.9,3.8649,35.5
22:00:40,0.987,3.9,3.8493,35.5
22:00:41,0.966,3.9,3.7674,35.5
22:00:42,0.983,3.9,3.8337,35.5
22:00:43,0.984,3.9,3.8376,35.5
22:00:44,0.985,3.888,3.82968,35.6
22:00:45,0.938,3.888,3.646944,35.6
22:00:46,0.966,3.888,3.755808,35.6
22:00:47,0.954,3.888,3.709152,35.6
22:00:48,0.992,3.888,3.856896,35.6
22:00:49,0.973,3.888,3.783024,35.6
22:00:50,0.98,3.888,3.81024,35.6
22:00:51,0.966,3.888,3.755808,35.6
22:00:52,0.989,3.888,3.845232,35.6
22:00:53,0.982,3.888,3.818016,35.6
22:00:54,0.971,3.888,3.775248,35.6
22:00:55,0.994,3.888,3.864672,35.6
22:00:56,0.981,3.888,3.814128,35.6
22:00:57,0.977,3.888,3.798576,35.6
22:00:58,0.984,3.888,3.825792,35.6
22:00:59,0.994,3.888,3.864672,35.6
22:01:00,0.986,3.888,3.833568,35.6
22:01:01,0.964,3.888,3.748032,35.6
22:01:02,0.982,3.888,3.818016,35.6
22:01:03,0.991,3.888,3.853008,35.6
22:01:04,0.997,3.888,3.876336,35.6
22:01:05,0.992,3.888,3.856896,35.6
22:01:06,0.999,3.888,3.884112,35.6
22:01:07,0.98,3.888,3.81024,35.6
22:01:08,0.97,3.888,3.77136,35.6
22:01:09,1.009,3.888,3.922992,35.6
22:01:10,0.985,3.888,3.82968,35.6
22:01:11,0.989,3.888,3.845232,35.6
22:01:12,0.991,3.888,3.853008,35.6
22:01:13,0.994,3.888,3.864672,35.6
22:01:14,0.985,3.888,3.82968,35.6
22:01:15,0.972,3.888,3.779136,35.6
22:01:16,0.984,3.888,3.825792,35.6
22:01:17,0.971,3.888,3.775248,35.6
22:01:18,0.994,3.888,3.864672,35.6
22:01:19,0.988,3.888,3.841344,35.6
22:01:20,0.97,3.888,3.77136,35.6
22:01:21,0.965,3.888,3.75192,35.6
22:01:22,0.96,3.888,3.73248,35.6
22:01:23,0.962,3.888,3.740256,35.6
22:01:24,0.944,3.888,3.670272,35.6
22:01:25,0.973,3.888,3.783024,35.6
