timestamp,current,voltage,power,temp_C
25:25.3,1.43,4.31,6.17,40.31
25:25.8,1.44,4.32,6.22,40.21
25:26.3,1.43,4.32,6.2,40.35
25:26.8,1.44,4.32,6.21,40.27
25:27.3,1.44,4.31,6.2,40.27
25:27.8,1.44,4.32,6.21,40.31
25:28.3,1.43,4.31,6.18,40.37
25:28.8,1.45,4.32,6.24,40.39
25:29.3,1.44,4.32,6.24,40.37
25:29.8,1.43,4.32,6.19,40.35
25:30.3,1.44,4.32,6.21,40.35
25:30.8,1.44,4.32,6.23,40.45
25:31.4,1.44,4.31,6.2,40.39
25:31.9,1.43,4.32,6.17,40.39
25:32.4,1.43,4.32,6.18,40.45
25:32.9,1.44,4.32,6.22,40.43
25:33.4,1.44,4.33,6.24,40.51
25:33.9,1.44,4.31,6.2,40.51
25:34.4,1.44,4.32,6.22,40.43
25:34.9,1.44,4.32,6.23,40.55
25:35.4,1.43,4.31,6.16,40.55
25:35.9,1.43,4.32,6.19,40.55
25:36.4,1.45,4.32,6.25,40.55
25:36.9,1.43,4.32,6.18,40.57
25:37.4,1.44,4.32,6.22,40.61
25:37.9,1.44,4.31,6.22,40.63
25:38.4,1.44,4.32,6.21,40.65
25:38.9,1.43,4.32,6.18,40.63
25:39.4,1.44,4.3,6.2,40.63
25:39.9,1.44,4.32,6.21,40.65
25:40.4,1.44,4.32,6.2,40.67
25:40.9,1.45,4.32,6.25,40.73
25:41.4,1.43,4.31,6.18,40.71
25:41.9,1.43,4.31,6.17,40.73
25:42.4,1.44,4.32,6.19,40.75
25:42.9,1.44,4.31,6.22,40.73
25:43.4,1.44,4.31,6.2,40.81
25:43.9,1.43,4.32,6.2,40.75
25:44.4,1.44,4.31,6.19,40.81
25:44.9,1.44,4.31,6.19,40.81
25:45.4,1.44,4.31,6.19,40.83
25:45.9,1.44,4.31,6.2,40.85
25:46.4,1.43,4.32,6.18,40.85
25:46.9,1.43,4.32,6.17,40.93
25:47.4,1.44,4.32,6.21,40.93
25:47.9,1.43,4.32,6.2,40.91
25:48.4,1.43,4.32,6.19,40.91
25:48.9,1.44,4.32,6.19,40.93
25:49.4,1.44,4.32,6.24,40.93
25:49.9,1.44,4.32,6.21,40.99
25:50.4,1.44,4.32,6.21,40.97
25:50.9,1.43,4.32,6.17,41.03
25:51.4,1.44,4.32,6.23,41.01
25:51.9,1.44,4.32,6.22,41.01
25:52.4,1.45,4.32,6.24,41.09
25:52.9,1.44,4.32,6.2,41.11
25:53.4,1.44,4.32,6.22,41.11
25:53.9,1.44,4.32,6.22,41.15
25:54.4,1.44,4.32,6.23,41.09
25:54.9,1.44,4.32,6.25,41.17
25:55.4,1.44,4.32,6.22,41.19
25:55.9,1.44,4.32,6.22,41.19
25:56.5,1.44,4.31,6.2,41.21
25:57.0,1.44,4.32,6.21,41.19
25:57.5,1.44,4.32,6.22,41.25
25:58.0,1.43,4.32,6.17,41.27
25:58.5,1.43,4.32,6.18,41.27
25:59.0,1.44,4.32,6.25,41.25
25:59.5,1.45,4.33,6.28,41.27
26:00.0,1.42,4.31,6.14,41.29
26:00.5,1.44,4.32,6.2,41.35
26:01.0,1.44,4.32,6.2,41.35
26:01.5,1.44,4.32,6.21,41.31
26:02.0,1.44,4.32,6.22,41.39
26:02.5,1.44,4.32,6.22,41.39
26:03.0,1.44,4.32,6.24,41.39
26:03.5,1.44,4.32,6.24,41.43
26:04.0,1.43,4.33,6.19,41.47
26:04.5,1.44,4.32,6.21,41.45
26:05.0,1.43,4.31,6.18,41.49
26:05.5,1.44,4.32,6.22,41.55
26:06.0,1.43,4.32,6.2,41.53
26:06.5,1.44,4.32,6.22,41.55
26:07.0,1.44,4.32,6.21,41.49
26:07.5,1.44,4.32,6.2,41.53
26:08.0,1.44,4.32,6.24,41.59
26:08.5,1.44,4.32,6.22,41.57
26:09.0,1.44,4.3,6.19,41.59
26:09.5,1.44,4.33,6.25,41.57
26:10.0,1.44,4.32,6.22,41.59
26:10.5,1.43,4.32,6.18,41.65
26:11.0,1.44,4.31,6.2,41.65
26:11.5,1.44,4.32,6.21,41.65
26:12.0,1.43,4.32,6.2,41.73
26:12.5,1.44,4.32,6.23,41.65
26:13.0,1.44,4.31,6.21,41.77
26:13.5,1.43,4.31,6.17,41.73
26:14.0,1.44,4.31,6.22,41.75
26:14.5,1.44,4.32,6.22,41.77
26:15.0,1.44,4.31,6.21,41.77
26:15.5,1.43,4.32,6.19,41.85
26:16.0,1.44,4.31,6.2,41.87
26:16.5,1.44,4.32,6.23,41.87
26:17.0,1.44,4.32,6.2,41.83
26:17.5,1.44,4.32,6.22,41.83
26:18.0,1.44,4.32,6.24,41.93
26:18.5,1.45,4.32,6.27,41.85
26:19.0,1.45,4.32,6.25,41.93
26:19.5,1.44,4.32,6.24,41.97
26:20.0,1.43,4.32,6.2,41.91
26:20.5,1.44,4.32,6.2,41.97
26:21.0,1.43,4.32,6.19,41.97
26:21.6,1.45,4.32,6.28,42.01
26:22.1,1.44,4.32,6.22,42.01
26:22.6,1.44,4.32,6.2,42.05
26:23.1,1.43,4.32,6.19,42.03
26:23.6,1.44,4.33,6.25,42.05
26:24.1,1.44,4.32,6.23,42.11
26:24.6,1.44,4.31,6.21,42.13
26:25.1,1.44,4.32,6.23,42.11
26:25.6,1.44,4.33,6.24,42.09
26:26.1,1.44,4.31,6.22,42.15
26:26.6,1.43,4.31,6.17,42.23
26:27.1,1.44,4.32,6.24,42.19
26:27.6,1.43,4.32,6.2,42.19
26:28.1,1.44,4.32,6.2,42.23
26:28.6,1.44,4.32,6.21,42.25
26:29.1,1.45,4.32,6.24,42.23
26:29.6,1.44,4.32,6.21,42.31
26:30.1,1.44,4.32,6.23,42.25
26:30.6,1.44,4.32,6.21,42.33
26:31.1,1.44,4.33,6.24,42.31
26:31.6,1.44,4.32,6.22,42.25
26:32.1,1.44,4.32,6.21,42.33
26:32.6,1.43,4.32,6.17,42.35
26:33.1,1.44,4.32,6.24,42.39
26:33.6,1.44,4.32,6.23,42.35
26:34.1,1.44,4.3,6.2,42.39
26:34.6,1.44,4.32,6.24,42.41
26:35.1,1.44,4.32,6.22,42.41
26:35.6,1.45,4.32,6.26,42.43
26:36.1,1.44,4.31,6.21,42.43
26:36.6,1.45,4.31,6.27,42.43
26:37.1,1.45,4.33,6.27,42.45
26:37.6,1.44,4.32,6.23,42.49
26:38.1,1.44,4.32,6.2,42.43
26:38.6,1.43,4.32,6.19,42.49
26:39.1,1.44,4.32,6.24,42.53
26:39.6,1.44,4.32,6.21,42.57
26:40.1,1.44,4.32,6.21,42.53
26:40.6,1.44,4.32,6.22,42.59
26:41.1,1.44,4.32,6.21,42.57
26:41.6,1.43,4.32,6.19,42.59
26:42.1,1.44,4.31,6.22,42.67
26:42.6,1.45,4.33,6.25,42.61
26:43.1,1.43,4.32,6.19,42.63
26:43.6,1.44,4.32,6.23,42.67
26:44.1,1.44,4.32,6.24,42.69
26:44.6,1.45,4.32,6.25,42.69
26:45.1,1.45,4.32,6.25,42.67
26:45.6,1.45,4.32,6.26,42.67
26:46.1,1.45,4.32,6.24,42.81
26:46.7,1.44,4.32,6.23,42.73
26:47.2,1.44,4.32,6.22,42.79
26:47.7,1.43,4.32,6.17,42.81
26:48.2,1.44,4.32,6.21,42.81
26:48.7,1.44,4.31,6.19,42.81
26:49.2,1.44,4.32,6.24,42.93
26:49.7,1.44,4.32,6.21,42.83
26:50.2,1.44,4.31,6.19,42.87
26:50.7,1.43,4.32,6.19,42.87
26:51.2,1.43,4.32,6.2,42.93
26:51.7,1.44,4.32,6.22,42.99
26:52.2,1.44,4.32,6.2,42.89
26:52.7,1.44,4.32,6.24,42.93
26:53.2,1.44,4.32,6.21,42.93
26:53.7,1.44,4.32,6.2,42.93
26:54.2,1.44,4.32,6.21,43.03
26:54.7,1.44,4.32,6.22,43.01
26:55.2,1.44,4.32,6.21,43.01
26:55.7,1.44,4.32,6.21,43.01
26:56.2,1.44,4.32,6.21,43.03
26:56.7,1.44,4.32,6.24,43.07
26:57.2,1.44,4.33,6.24,43.13
26:57.7,1.43,4.32,6.18,43.13
26:58.2,1.44,4.32,6.22,43.13
26:58.7,1.44,4.32,6.2,43.17
26:59.2,1.43,4.32,6.2,43.13
26:59.7,1.44,4.32,6.22,43.21
27:00.2,1.43,4.32,6.19,43.19
27:00.7,1.44,4.32,6.22,43.19
27:01.2,1.43,4.32,6.18,43.19
27:01.7,1.44,4.32,6.21,43.23
27:02.2,1.44,4.32,6.21,43.27
27:02.7,1.44,4.32,6.23,43.27
27:03.2,1.45,4.32,6.24,43.29
27:03.7,1.44,4.32,6.21,43.31
27:04.2,1.45,4.32,6.24,43.31
27:04.7,1.44,4.32,6.2,43.23
27:05.2,1.44,4.33,6.22,43.31
27:05.7,1.44,4.32,6.21,43.33
27:06.2,1.44,4.32,6.21,43.33
27:06.7,1.44,4.32,6.23,43.31
27:07.2,1.44,4.33,6.21,43.33
27:07.7,1.43,4.32,6.19,43.39
27:08.2,1.44,4.32,6.23,43.43
27:08.7,1.44,4.32,6.21,43.43
27:09.2,1.43,4.32,6.2,43.41
27:09.7,1.44,4.33,6.23,43.41
27:10.2,1.43,4.32,6.2,43.51
27:10.7,1.45,4.33,6.27,43.47
27:11.3,1.44,4.33,6.25,43.51
27:11.8,1.45,4.32,6.26,43.51
27:12.3,1.44,4.32,6.24,43.57
27:12.8,1.44,4.32,6.21,43.53
27:13.3,1.43,4.32,6.2,43.53
27:13.8,1.43,4.32,6.2,43.53
27:14.3,1.44,4.32,6.21,43.61
27:14.8,1.44,4.32,6.24,43.59
27:15.3,1.44,4.32,6.2,43.67
27:15.8,1.44,4.32,6.24,43.61
27:16.3,1.45,4.32,6.26,43.61
27:16.8,1.44,4.32,6.21,43.61
27:17.3,1.44,4.32,6.24,43.63
27:17.8,1.43,4.32,6.19,43.67
27:18.3,1.44,4.31,6.2,43.71
27:18.8,1.43,4.32,6.2,43.73
27:19.3,1.44,4.32,6.22,43.71
27:19.8,1.44,4.32,6.21,43.73
27:20.3,1.45,4.32,6.24,43.69
27:20.8,1.43,4.32,6.19,43.79
27:21.3,1.45,4.32,6.27,43.79
27:21.8,1.44,4.32,6.22,43.77
27:22.3,1.44,4.32,6.23,43.83
27:22.8,1.44,4.32,6.22,43.79
27:23.3,1.45,4.32,6.26,43.79
27:23.8,1.44,4.32,6.22,43.87
27:24.3,1.45,4.33,6.27,43.81
27:24.8,1.44,4.32,6.24,43.83
27:25.3,1.44,4.33,6.25,43.89
27:25.8,1.43,4.32,6.18,43.89
27:26.3,1.43,4.32,6.19,43.87
27:26.8,1.43,4.32,6.19,43.91
27:27.3,1.44,4.32,6.22,43.97
27:27.8,1.44,4.32,6.23,43.97
27:28.3,1.44,4.32,6.21,43.93
27:28.8,1.43,4.33,6.19,43.93
27:29.3,1.45,4.32,6.25,43.97
27:29.8,1.44,4.32,6.22,43.93
27:30.3,1.45,4.32,6.25,43.99
27:30.8,1.45,4.32,6.25,44.03
27:31.3,1.44,4.32,6.22,44.07
27:31.8,1.44,4.32,6.21,44.07
27:32.3,1.43,4.32,6.18,44.07
27:32.8,1.44,4.32,6.23,44.03
27:33.3,1.44,4.32,6.22,44.07
27:33.8,1.44,4.31,6.22,44.07
27:34.3,1.44,4.33,6.24,44.19
27:34.8,1.44,4.32,6.24,44.19
27:35.3,1.45,4.32,6.25,44.15
27:35.8,1.44,4.32,6.22,44.19
27:36.4,1.44,4.32,6.22,44.19
27:36.9,1.44,4.32,6.21,44.21
27:37.4,1.44,4.32,6.22,44.19
27:37.9,1.44,4.32,6.24,44.19
27:38.4,1.44,4.33,6.25,44.23
27:38.9,1.43,4.32,6.2,44.25
27:39.4,1.44,4.32,6.21,44.29
27:39.9,1.45,4.32,6.26,44.29
27:40.4,1.44,4.32,6.22,44.25
27:40.9,1.43,4.32,6.19,44.31
27:41.4,1.44,4.32,6.25,44.31
27:41.9,1.46,4.32,6.29,44.33
27:42.4,1.45,4.32,6.25,44.33
27:42.9,1.44,4.33,6.23,44.35
27:43.4,1.44,4.32,6.21,44.29
27:43.9,1.44,4.32,6.23,44.35
27:44.4,1.44,4.32,6.22,44.41
27:44.9,1.44,4.32,6.23,44.35
27:45.4,1.44,4.32,6.22,44.41
27:45.9,1.44,4.33,6.23,44.45
27:46.4,1.43,4.32,6.2,44.45
27:46.9,1.44,4.32,6.22,44.45
27:47.4,1.44,4.33,6.24,44.45
27:47.9,1.44,4.32,6.21,44.45
27:48.4,1.44,4.32,6.21,44.49
27:48.9,1.45,4.32,6.26,44.49
27:49.4,1.44,4.32,6.25,44.49
27:49.9,1.43,4.33,6.21,44.51
27:50.4,1.44,4.32,6.23,44.53
27:50.9,1.44,4.32,6.24,44.51
27:51.4,1.44,4.31,6.19,44.53
27:51.9,1.43,4.32,6.2,44.51
27:52.4,1.45,4.33,6.26,44.53
27:52.9,1.44,4.32,6.22,44.57
27:53.4,1.44,4.32,6.22,44.61
27:53.9,1.44,4.32,6.23,44.63
27:54.4,1.44,4.32,6.23,44.57
27:54.9,1.43,4.31,6.17,44.65
27:55.4,1.44,4.32,6.21,44.65
27:55.9,1.45,4.32,6.26,44.63
27:56.4,1.43,4.32,6.18,44.67
27:56.9,1.45,4.31,6.24,44.67
27:57.4,1.44,4.32,6.21,44.75
27:57.9,1.44,4.32,6.24,44.73
27:58.4,1.44,4.32,6.21,44.75
27:58.9,1.44,4.32,6.22,44.73
27:59.4,1.44,4.32,6.22,44.77
27:59.9,1.44,4.32,6.23,44.83
28:00.4,1.44,4.32,6.21,44.83
28:00.9,1.44,4.31,6.19,44.83
28:01.5,1.44,4.32,6.23,44.81
28:02.0,1.44,4.32,6.22,44.83
28:02.5,1.43,4.32,6.2,44.91
28:03.0,1.44,4.32,6.21,44.87
28:03.5,1.45,4.32,6.25,44.85
28:04.0,1.44,4.33,6.24,44.81
28:04.5,1.44,4.32,6.22,44.95
28:05.0,1.44,4.33,6.25,44.93
28:05.5,1.45,4.32,6.27,44.97
28:06.0,1.44,4.33,6.22,44.93
28:06.5,1.44,4.32,6.23,44.95
28:07.0,1.44,4.32,6.23,44.99
28:07.5,1.44,4.32,6.24,45.03
28:08.0,1.44,4.32,6.21,44.99
28:08.5,1.44,4.32,6.23,45.07
28:09.0,1.44,4.32,6.21,45.07
28:09.5,1.44,4.33,6.22,45.05
28:10.0,1.44,4.32,6.2,45.09
28:10.5,1.44,4.32,6.24,45.09
28:11.0,1.43,4.32,6.19,45.09
28:11.5,1.44,4.32,6.24,45.13
28:12.0,1.44,4.32,6.22,45.13
28:12.5,1.44,4.32,6.21,45.13
28:13.0,1.44,4.33,6.24,45.17
28:13.5,1.44,4.33,6.25,45.19
28:14.0,1.43,4.32,6.18,45.19
28:14.5,1.44,4.32,6.21,45.19
28:15.0,1.43,4.33,6.21,45.29
28:15.5,1.44,4.31,6.21,45.19
28:16.0,1.44,4.33,6.22,45.19
28:16.5,1.43,4.32,6.19,45.23
