timestamp,current,voltage,power,temp_C
1762576306,0.9551,4.652,4.44,41.91
1762576307,0.9475,4.652,4.444,41.93
1762576308,0.951,4.652,4.436,41.91
1762576309,0.9543,4.652,4.388,41.95
1762576310,0.4727,4.844,2.288,41.97
1762576311,0.9492,4.652,4.43,41.91
1762576312,0.9486,4.656,4.44,41.91
1762576313,0.9514,4.648,4.434,42.01
1762576314,0.9401,4.652,4.41,41.97
1762576315,0.9495,4.648,4.41,42.01
1762576316,0.9528,4.652,4.408,42.05
1762576317,0.9534,4.652,4.434,42.03
1762576318,0.9528,4.656,4.404,42.09
1762576319,0.9523,4.652,4.418,42.05
1762576320,0.9512,4.652,4.382,42.05
1762576321,0.9551,4.656,4.44,42.03
1762576322,0.9462,4.652,4.404,42.01
1762576323,0.9514,4.656,4.444,42.03
1762576324,0.9447,4.648,4.418,42.09
1762576325,0.9536,4.652,4.42,42.05
1762576326,0.9479,4.652,4.436,42.09
1762576327,0.9512,4.652,4.42,42.11
1762576328,0.9528,4.644,4.43,42.09
1762576329,0.9514,4.656,4.44,42.11
1762576330,0.9515,4.652,4.424,42.15
1762576331,0.949,4.656,4.378,42.11
1762576332,0.9517,4.652,4.434,42.13
1762576333,0.9482,4.636,4.43,42.15
1762576334,0.9525,4.652,4.43,42.15
1762576335,0.9475,4.656,4.434,42.13
1762576336,0.9512,4.652,4.424,42.21
1762576337,0.9517,4.652,4.41,42.21
1762576338,0.9492,4.656,4.414,42.15
1762576339,0.9495,4.648,4.418,42.21
1762576340,0.9451,4.66,4.404,42.23
1762576341,0.9488,4.648,4.424,42.21
1762576342,0.9469,4.656,4.428,42.15
1762576343,0.9493,4.652,4.418,42.21
1762576344,0.9425,4.648,4.428,42.23
1762576345,0.9484,4.652,4.424,42.31
1762576346,0.9451,4.656,4.41,42.25
1762576347,0.953,4.652,4.44,42.23
1762576348,0.9427,4.648,4.42,42.25
1762576349,0.9517,4.652,4.428,42.31
1762576350,0.9453,4.648,4.414,42.25
1762576351,0.9528,4.648,4.43,42.33
1762576352,0.9451,4.644,4.42,42.29
1762576353,0.9495,4.656,4.434,42.31
1762576354,0.9479,4.64,4.436,42.31
1762576355,0.9532,4.652,4.44,42.29
1762576356,0.9516,4.652,4.414,42.31
1762576357,0.948,4.656,4.418,42.29
1762576358,0.9519,4.648,4.434,42.33
1762576359,0.9521,4.652,4.358,42.31
1762576360,0.9532,4.648,4.436,42.33
1762576361,0.9532,4.648,4.404,42.33
1762576362,0.9497,4.652,4.424,42.33
1762576363,0.9528,4.648,4.398,42.35
1762576364,0.9477,4.652,4.436,42.33
1762576365,0.9506,4.656,4.404,42.39
1762576366,0.9519,4.656,4.43,42.35
1762576367,0.9536,4.656,4.436,42.35
1762576368,0.9536,4.652,4.436,42.35
1762576369,0.9541,4.656,4.434,42.29
1762576370,0.9451,4.656,4.418,42.33
1762576371,0.9499,4.656,4.428,42.39
1762576372,0.9423,4.652,4.388,42.39
1762576373,0.9508,4.652,4.418,42.39
1762576374,0.9497,4.652,4.418,42.43
1762576375,0.9536,4.64,4.41,42.43
1762576376,0.9538,4.652,4.434,42.39
1762576377,0.9425,4.652,4.41,42.45
1762576378,0.9503,4.656,4.42,42.39
1762576379,0.9444,4.644,4.43,42.39
1762576380,0.9516,4.652,4.42,42.35
1762576381,0.9418,4.652,4.42,42.39
1762576382,0.9506,4.648,4.424,42.39
1762576383,0.9528,4.656,4.408,42.43
1762576384,0.9549,4.656,4.436,42.39
1762576385,0.9536,4.652,4.44,42.35
1762576386,0.9473,4.656,4.418,42.45
1762576387,0.9541,4.652,4.434,42.49
1762576388,0.9493,4.656,4.408,42.45
1762576389,0.9486,4.648,4.428,42.49
1762576390,0.9528,4.652,4.428,42.49
1762576391,0.9532,4.656,4.44,42.53
1762576392,0.951,4.652,4.418,42.51
1762576393,0.9528,4.656,4.436,42.53
1762576394,0.9521,4.652,4.404,42.51
1762576395,0.9488,4.656,4.42,42.45
1762576396,0.9547,4.656,4.42,42.49
1762576397,0.9549,4.648,4.436,42.53
1762576398,0.948,4.656,4.39,42.53
1762576400,0.9514,4.656,4.436,42.51
1762576401,0.9517,4.656,4.424,42.53
1762576402,0.9523,4.652,4.434,42.53
1762576403,0.9528,4.66,4.44,42.53
1762576404,0.9516,4.656,4.434,42.57
1762576405,0.953,4.652,4.434,42.57
1762576406,0.9497,4.656,4.4,42.57
1762576407,0.9536,4.648,4.436,42.53
1762576408,0.9547,4.652,4.414,42.59
1762576409,0.9541,4.648,4.428,42.63
1762576410,0.9503,4.656,4.424,42.53
1762576411,0.9506,4.648,4.428,42.61
1762576412,0.9433,4.656,4.42,42.57
1762576413,0.9497,4.652,4.41,42.59
1762576414,0.9462,4.672,4.41,42.59
1762576415,0.9538,4.652,4.436,42.57
1762576416,0.9434,4.648,4.408,42.59
1762576417,0.9515,4.652,4.436,42.59
1762576418,0.9497,4.668,4.446,42.67
1762576419,0.9541,4.652,4.436,42.67
1762576420,0.9466,4.636,4.428,42.63
1762576421,0.9503,4.652,4.42,42.59
1762576422,0.9409,4.652,4.4,42.63
1762576423,0.9508,4.652,4.418,42.71
1762576424,0.9414,4.668,4.388,42.67
1762576425,0.9536,4.656,4.446,42.71
1762576426,0.9425,4.648,4.43,42.67
1762576427,0.9532,4.648,4.43,42.69
1762576428,0.9464,4.66,4.39,42.69
1762576429,0.9517,4.652,4.43,42.71
1762576430,0.9429,4.644,4.428,42.73
1762576431,0.9552,4.652,4.428,42.69
1762576432,0.9475,4.652,4.398,42.71
1762576433,0.9492,4.656,4.44,42.63
1762576434,0.9506,4.652,4.41,42.71
1762576435,0.9488,4.656,4.42,42.77
1762576436,0.9501,4.656,4.424,42.69
1762576437,0.9527,4.656,4.44,42.71
1762576438,0.9499,4.652,4.42,42.73
1762576439,0.9479,4.66,4.414,42.79
1762576440,0.9516,4.652,4.414,42.79
1762576441,0.9525,4.656,4.434,42.77
1762576442,0.9538,4.652,4.414,42.77
1762576443,0.9497,4.652,4.42,42.79
1762576444,0.9438,4.656,4.4,42.83
1762576445,0.9538,4.648,4.446,42.79
1762576446,0.9519,4.656,4.388,42.79
1762576447,0.9488,4.648,4.43,42.79
1762576448,0.9479,4.656,4.428,42.79
1762576449,0.9427,4.648,4.41,42.77
1762576450,0.9528,4.652,4.434,42.83
1762576451,0.948,4.668,4.414,42.79
1762576452,0.951,4.652,4.436,42.79
1762576453,0.9492,4.652,4.364,42.83
1762576454,0.9539,4.656,4.428,42.83
1762576455,0.9517,4.656,4.43,42.91
1762576456,0.9488,4.648,4.42,42.81
1762576457,0.951,4.652,4.43,42.89
1762576458,0.9519,4.656,4.384,42.83
1762576459,0.9541,4.648,4.45,42.83
1762576460,0.9543,4.652,4.446,42.83
1762576461,0.9497,4.636,4.436,42.83
1762576462,0.9551,4.652,4.434,42.81
1762576463,0.9534,4.668,4.4,42.79
1762576464,0.9492,4.652,4.418,42.81
1762576465,0.9543,4.656,4.4,42.87
1762576466,0.9519,4.656,4.444,42.87
1762576467,0.9543,4.656,4.43,42.93
1762576468,0.9482,4.656,4.42,42.91
1762576469,0.9523,4.656,4.444,42.91
1762576470,0.9495,4.66,4.424,42.91
1762576471,0.9495,4.648,4.43,43.01
1762576472,0.9503,4.656,4.41,42.99
1762576473,0.9541,4.652,4.44,42.93
1762576474,0.9528,4.656,4.44,42.99
1762576475,0.9497,4.652,4.424,42.93
1762576476,0.9528,4.652,4.434,42.93
1762576477,0.9473,4.636,4.384,42.93
1762576478,0.9545,4.648,4.428,42.99
1762576479,0.9504,4.656,4.414,42.99
1762576480,0.9547,4.652,4.434,42.93
1762576481,0.9492,4.656,4.418,42.97
1762576482,0.9438,4.636,4.43,42.99
1762576483,0.9545,4.656,4.446,42.97
