time,current,voltage,power,temp_C
19:40:46,1.29,3.831,4.94199,35.8
19:40:47,1.195,3.831,4.578045,35.8
19:40:48,1.039,3.831,3.980409,35.8
19:40:49,0.95,3.831,3.63945,35.8
19:40:50,1.164,3.831,4.459284,35.8
19:40:51,1.237,3.831,4.738947,35.8
19:40:52,1.164,3.831,4.459284,35.8
19:40:53,1.253,3.831,4.800243,35.8
19:40:54,1.253,3.831,4.809014,35.8
19:40:55,0.204,3.838,0.782952,35.9
19:40:56,1.239,3.838,4.820949,35.9
19:40:57,1.24,3.891,4.82484,35.8
19:40:58,1.222,3.891,4.754802,35.8
19:40:59,1.335,3.891,5.194485,35.8
19:41:00,1.349,3.891,5.248959,35.8
19:41:01,1.333,3.891,5.186703,35.8
19:41:02,1.253,3.891,4.875423,35.8
19:41:03,1.268,3.891,4.933788,35.8
19:41:04,1.294,3.891,5.034954,35.8
19:41:05,1.349,3.891,5.248959,35.8
19:41:06,1.35,3.891,5.25285,35.8
19:41:07,1.261,3.891,4.906551,35.8
19:41:08,1.369,3.891,5.326779,35.8
19:41:09,1.365,3.891,5.311215,35.8
19:41:10,1.348,3.891,5.245068,35.8
19:41:11,1.27,3.891,4.94157,35.8
19:41:12,1.264,3.891,4.918224,35.8
19:41:13,1.268,3.891,4.933788,35.8
19:41:14,1.264,3.891,4.918224,35.8
19:41:15,1.273,3.891,4.953243,35.8
19:41:16,1.355,3.891,5.272305,35.8
19:41:17,1.297,3.891,5.046627,35.8
19:41:18,1.273,3.891,4.953243,35.8
19:41:19,1.298,3.891,5.050518,35.8
19:41:20,1.269,3.891,4.937679,35.8
19:41:21,1.324,3.891,5.151684,35.8
19:41:22,1.343,3.891,5.225613,35.8
19:41:23,1.366,3.891,5.330132,35.8
19:41:24,1.366,3.902,5.257734,35.8
19:41:25,0.338,3.849,1.300962,35.8
19:41:26,0.981,3.849,3.826881,35.8
19:41:27,1.355,3.901,5.285855,35.8
19:41:28,1.306,3.901,5.094706,35.8
19:41:29,1.374,3.901,5.359974,35.8
19:41:30,1.358,3.901,5.297558,35.8
19:41:31,1.302,3.901,5.081706,35.8
19:41:32,1.35,3.903,5.26905,35.7
19:41:33,0.127,3.903,0.495681,35.7
19:41:34,1.372,3.903,5.354916,35.7
19:41:35,1.358,3.903,5.300274,35.7
19:41:36,1.366,3.903,5.331498,35.7
19:41:37,1.232,3.903,4.808496,35.7
19:41:38,1.288,3.903,5.027064,35.7
19:41:39,1.26,3.903,4.91778,35.7
19:41:40,1.243,3.903,4.851429,35.7
19:41:41,1.214,3.903,4.738242,35.7
19:41:42,1.245,3.903,4.859235,35.7
19:41:43,1.284,3.903,5.011452,35.7
19:41:44,1.294,3.903,5.050482,35.7
19:41:45,1.36,3.903,5.30808,35.7
19:41:46,1.357,3.903,5.296371,35.7
19:41:47,1.336,3.903,5.214408,35.7
19:41:48,1.356,3.903,5.292468,35.7
19:41:49,1.35,3.903,5.26905,35.7
19:41:50,1.289,3.903,5.030967,35.7
19:41:51,1.264,3.903,4.933392,35.7
19:41:52,1.276,3.903,4.980228,35.7
19:41:53,1.263,3.903,4.929489,35.7
19:41:54,0.25,3.903,0.96175,35.7
19:41:55,1.26,3.847,4.91526,35.6
19:41:57,1.258,3.901,4.907458,35.6
19:41:58,1.265,3.901,4.934765,35.6
19:41:59,1.345,3.901,5.246845,35.6
19:42:00,1.347,3.901,5.254647,35.6
19:42:01,1.335,3.901,5.207835,35.6
19:42:02,1.329,3.901,5.184429,35.6
19:42:03,1.345,3.901,5.246845,35.6
19:42:04,1.347,3.901,5.254647,35.6
19:42:05,1.345,3.901,5.246845,35.6
19:42:06,1.313,3.901,5.122013,35.6
19:42:07,1.304,3.901,5.086904,35.6
19:42:08,1.343,3.901,5.239043,35.6
19:42:09,1.345,3.901,5.246845,35.6
19:42:10,1.355,3.901,5.285855,35.6
19:42:11,1.199,3.901,4.677299,35.6
19:42:12,1.243,3.901,4.848943,35.6
19:42:13,1.257,3.901,4.903557,35.6
19:42:14,1.267,3.901,4.942567,35.6
19:42:15,1.282,3.901,5.001082,35.6
19:42:16,1.336,3.901,5.211736,35.6
19:42:17,1.334,3.901,5.203934,35.6
19:42:18,1.35,3.901,5.26635,35.6
19:42:19,1.35,3.901,5.26635,35.6
19:42:20,1.356,3.901,5.289756,35.6
19:42:21,1.336,3.901,5.211736,35.6
19:42:22,1.336,3.901,5.211736,35.6
19:42:23,1.361,3.901,5.309261,35.6
19:42:24,1.367,3.901,5.343603,35.6
19:42:25,1.36,3.909,5.31624,35.6
19:42:26,1.366,3.909,5.339694,35.6
19:42:27,1.347,3.909,5.265423,35.6
19:42:28,1.353,3.909,5.288877,35.6
19:42:29,1.37,3.909,5.3567,35.6
19:42:30,1.366,3.91,5.34106,35.4
19:42:31,1.275,3.91,4.98525,35.4
19:42:32,1.352,3.91,5.28632,35.4
19:42:33,1.356,3.91,5.30196,35.4
19:42:34,1.081,3.91,4.22671,35.4
19:42:35,1.178,3.91,4.60598,35.4
19:42:36,1.204,3.91,4.70764,35.4
19:42:37,1.104,3.91,4.31664,35.4
19:42:38,1.221,3.91,4.77411,35.4
19:42:39,1.257,3.91,4.91487,35.4
19:42:40,1.067,3.91,4.17197,35.4
19:42:41,1.265,3.91,4.94615,35.4
19:42:42,1.259,3.91,4.92269,35.4
19:42:43,1.27,3.91,4.9657,35.4
19:42:44,1.171,3.91,4.57861,35.4
19:42:45,1.327,3.91,5.18857,35.4
19:42:46,1.336,3.91,5.22376,35.4
19:42:47,1.331,3.91,5.20421,35.4
19:42:48,1.351,3.91,5.28241,35.4
19:42:49,1.351,3.91,5.28241,35.4
19:42:50,1.366,3.91,5.34106,35.4
19:42:51,1.354,3.91,5.29414,35.4
