time,current,voltage,temp_C,power
20:55:24,0.867,3.839,36.3,3.328413
20:55:25,0.612,3.839,36.3,2.349468
20:55:26,0.792,3.839,36.3,3.040488
20:55:27,0.751,3.839,36.3,2.883089
20:55:28,0.757,3.839,36.3,2.906123
20:55:29,0.777,3.839,36.3,2.982903
20:55:30,0.786,3.839,36.3,3.017454
20:55:31,0.773,3.839,36.3,2.967547
20:55:32,0.791,3.839,36.3,3.036649
20:55:33,0.777,3.839,36.3,2.982903
20:55:34,0.783,3.839,36.3,3.005937
20:55:35,0.754,3.839,36.3,2.894606
20:55:36,0.528,3.839,36.3,2.026992
20:55:37,0.761,3.839,36.3,2.921479
20:55:38,0.778,3.839,36.3,2.986742
20:55:39,0.755,3.839,36.3,2.898445
20:55:40,0.765,3.839,36.3,2.936835
20:55:41,0.75,3.839,36.3,2.87925
20:55:42,0.768,3.839,36.3,2.948352
20:55:43,0.738,3.839,36.3,2.833182
20:55:44,0.787,3.839,36.3,3.021293
20:55:45,0.395,3.888,36.3,1.53576
20:55:46,0.775,3.888,36.3,3.0132
20:55:47,0.714,3.888,36.3,2.776032
20:55:48,0.737,3.888,36.3,2.865456
20:55:49,0.737,3.888,36.3,2.865456
20:55:50,0.762,3.888,36.3,2.962656
20:55:51,0.756,3.888,36.3,2.939328
20:55:53,0.811,3.888,36.3,3.153168
20:55:54,0.809,3.888,36.3,3.145392
20:55:55,0.826,3.888,36.3,3.211488
20:55:56,0.813,3.888,36.3,3.160944
20:55:57,0.768,3.888,36.3,2.985984
20:55:58,0.783,3.888,36.3,3.044304
20:55:59,0.82,3.888,36.3,3.18816
20:56:00,0.792,3.888,36.3,3.079296
20:56:01,0.794,3.888,36.3,3.087072
20:56:02,0.834,3.888,36.3,3.242592
20:56:03,0.833,3.888,36.3,3.238704
20:56:04,0.782,3.888,36.3,3.040416
20:56:05,0.827,3.888,36.3,3.215376
20:56:06,0.832,3.888,36.3,3.234816
20:56:07,0.85,3.888,36.3,3.3048
20:56:08,0.818,3.888,36.3,3.180384
20:56:09,0.828,3.888,36.3,3.219264
20:56:10,0.839,3.888,36.3,3.262032
20:56:11,0.818,3.888,36.3,3.180384
20:56:12,0.867,3.888,36.3,3.370896
20:56:13,0.829,3.888,36.3,3.223152
20:56:14,0.858,3.888,36.3,3.335904
20:56:15,0.857,3.897,36.2,3.339729
20:56:16,0.45,3.897,36.2,1.75365
20:56:17,0.783,3.897,36.2,3.051351
20:56:18,0.769,3.897,36.2,2.996793
20:56:19,0.865,3.897,36.2,3.370905
20:56:20,0.847,3.897,36.2,3.300759
20:56:21,0.845,3.897,36.2,3.292965
20:56:22,0.85,3.897,36.2,3.31245
20:56:23,0.864,3.897,36.2,3.367008
20:56:24,0.852,3.897,36.2,3.320244
20:56:25,0.856,3.897,36.2,3.335832
20:56:26,0.87,3.897,36.2,3.39039
20:56:27,0.867,3.897,36.2,3.378699
20:56:28,0.807,3.897,36.2,3.144879
20:56:29,0.868,3.897,36.2,3.382596
20:56:30,0.868,3.897,36.2,3.382596
20:56:31,0.868,3.897,36.2,3.382596
20:56:32,0.87,3.897,36.2,3.39039
20:56:33,0.853,3.897,36.2,3.324141
20:56:34,0.768,3.897,36.2,2.992896
20:56:35,0.815,3.897,36.2,3.176055
20:56:36,0.861,3.897,36.2,3.355317
20:56:37,0.87,3.897,36.2,3.39039
20:56:38,0.863,3.897,36.2,3.363111
20:56:39,0.865,3.897,36.2,3.370905
20:56:40,0.739,3.897,36.2,2.879883
20:56:41,0.862,3.897,36.2,3.359214
20:56:42,0.857,3.897,36.2,3.339729
20:56:43,0.857,3.897,36.2,3.339729
20:56:44,0.847,3.897,36.2,3.300759
20:56:45,0.852,3.901,36,3.323652
20:56:46,0.665,3.901,36,2.594165
20:56:47,0.865,3.901,36,3.374365
20:56:48,0.843,3.901,36,3.288543
20:56:49,0.849,3.901,36,3.311949
20:56:50,0.857,3.901,36,3.343157
20:56:51,0.865,3.901,36,3.374365
20:56:52,0.875,3.901,36,3.413375
20:56:53,0.862,3.901,36,3.362662
20:56:54,0.863,3.901,36,3.366563
20:56:55,0.871,3.901,36,3.397771
20:56:56,0.853,3.9,35.9,3.3267
20:56:57,0.817,3.9,35.9,3.1863
20:56:58,0.693,3.9,35.9,2.7027
20:56:59,0.869,3.9,35.9,3.3891
20:57:00,0.871,3.9,35.9,3.3969
20:57:01,0.802,3.9,35.9,3.1278
20:57:02,0.783,3.9,35.9,3.0537
20:57:03,0.776,3.9,35.9,3.0264
20:57:04,0.797,3.9,35.9,3.1083
20:57:05,0.805,3.9,35.9,3.1395
20:57:06,0.799,3.9,35.9,3.1161
20:57:07,0.818,3.9,35.9,3.1902
20:57:08,0.751,3.9,35.9,2.9289
20:57:09,0.808,3.9,35.9,3.1512
20:57:10,0.75,3.9,35.9,2.925
20:57:11,0.789,3.9,35.9,3.0771
20:57:12,0.863,3.9,35.9,3.3657
20:57:13,0.855,3.9,35.9,3.3345
20:57:15,0.857,3.902,35.9,3.344014
20:57:15,0.741,3.902,35.9,2.891382
20:57:16,0.823,3.902,35.9,3.211346
20:57:18,0.816,3.902,35.9,3.184032
20:57:19,0.849,3.902,35.9,3.312798
20:57:20,0.837,3.902,35.9,3.265974
20:57:21,0.853,3.902,35.9,3.328406
20:57:22,0.8,3.902,35.9,3.1216
20:57:23,0.847,3.902,35.9,3.304994
20:57:24,0.815,3.902,35.9,3.18013
20:57:25,0.843,3.902,35.9,3.289386
20:57:26,0.84,3.902,35.9,3.27768
20:57:27,0.832,3.902,35.9,3.246464
20:57:28,0.839,3.902,35.9,3.273778
20:57:29,0.82,3.902,35.9,3.19964
20:57:30,0.834,3.902,35.9,3.254268
20:57:31,0.807,3.902,35.9,3.148914
20:57:32,0.804,3.902,35.9,3.137208
20:57:33,0.836,3.902,35.9,3.262072
20:57:34,0.802,3.902,35.9,3.129404
20:57:35,0.84,3.902,35.9,3.27768
20:57:36,0.785,3.902,35.9,3.06307
20:57:37,0.835,3.902,35.9,3.25817
20:57:38,0.806,3.902,35.9,3.145012
20:57:39,0.805,3.902,35.9,3.14111
20:57:40,0.824,3.902,35.9,3.215248
20:57:41,0.805,3.902,35.9,3.14111
20:57:42,0.823,3.902,35.9,3.211346
20:57:43,0.45,3.902,35.9,1.7559
20:57:44,0.84,3.902,35.9,3.27768
20:57:45,0.824,3.902,35.9,3.215248
20:57:46,0.78,3.902,35.9,3.04356
20:57:47,0.84,3.902,35.9,3.27768
20:57:48,0.825,3.902,35.9,3.21915
20:57:49,0.819,3.902,35.9,3.195738
20:57:50,0.811,3.902,35.9,3.164522
20:57:51,0.846,3.902,35.9,3.301092
20:57:52,0.854,3.902,35.9,3.332308
20:57:53,0.816,3.902,35.9,3.184032
20:57:54,0.796,3.902,35.9,3.105992
20:57:55,0.837,3.902,35.9,3.265974
20:57:56,0.867,3.902,35.9,3.383034
20:57:57,0.844,3.902,35.9,3.293288
20:57:58,0.862,3.902,35.9,3.363524
20:57:59,0.851,3.902,35.9,3.320602
20:58:00,0.827,3.902,35.9,3.226954
20:58:01,0.858,3.902,35.9,3.347916
20:58:02,0.845,3.902,35.9,3.29719
20:58:03,0.872,3.902,35.9,3.402544
20:58:04,0.868,3.902,35.9,3.386936
20:58:05,0.88,3.902,35.9,3.43376
20:58:06,0.868,3.902,35.9,3.386936
20:58:07,0.84,3.902,35.9,3.27768
20:58:08,0.871,3.902,35.9,3.398642
20:58:09,0.833,3.902,35.9,3.250366
20:58:10,0.862,3.902,35.9,3.363524
20:58:11,0.855,3.902,35.9,3.33621
20:58:12,0.87,3.902,35.9,3.39474
20:58:13,0.868,3.902,35.9,3.386936
20:58:14,0.845,3.902,35.9,3.29719
20:58:15,0.873,3.908,35.8,3.411684
20:58:16,0.838,3.908,35.8,3.274904
20:58:17,0.871,3.908,35.8,3.403868
20:58:18,0.867,3.908,35.8,3.388236
20:58:19,0.872,3.908,35.8,3.407776
20:58:20,0.87,3.908,35.8,3.39996
20:58:21,0.85,3.908,35.8,3.3218
20:58:22,0.863,3.908,35.8,3.372604
20:58:23,0.867,3.908,35.8,3.388236
20:58:24,0.867,3.908,35.8,3.388236
20:58:25,0.874,3.908,35.8,3.415592
20:58:26,0.809,3.908,35.8,3.161572
20:58:27,0.86,3.908,35.8,3.36088
20:58:28,0.856,3.908,35.8,3.345248
20:58:29,0.865,3.908,35.8,3.38042
20:58:30,0.858,3.908,35.8,3.353064
20:58:31,0.853,3.908,35.8,3.333524
20:58:32,0.865,3.908,35.8,3.38042
20:58:33,0.859,3.908,35.8,3.356972
20:58:34,0.863,3.908,35.8,3.372604
20:58:35,0.871,3.908,35.8,3.403868
20:58:36,0.846,3.908,35.8,3.306168
20:58:37,0.865,3.908,35.8,3.38042
20:58:38,0.866,3.908,35.8,3.384328
20:58:39,0.863,3.908,35.8,3.372604
20:58:40,0.872,3.908,35.8,3.407776
20:58:41,0.856,3.908,35.8,3.345248
20:58:42,0.81,3.908,35.8,3.16548
20:58:43,0.844,3.908,35.8,3.298352
20:58:44,0.859,3.908,35.8,3.356972
20:58:45,0.857,3.908,35.8,3.349156
20:58:47,0.819,3.908,35.8,3.200652
20:58:47,0.865,3.908,35.8,3.38042
20:58:48,0.794,3.908,35.8,3.102952
20:58:50,0.861,3.908,35.8,3.364788
20:58:51,0.846,3.908,35.8,3.306168
20:58:52,0.858,3.908,35.8,3.353064
20:58:53,0.847,3.908,35.8,3.310076
20:58:54,0.853,3.908,35.8,3.333524
20:58:55,0.858,3.908,35.8,3.353064
20:58:56,0.855,3.908,35.8,3.34134
20:58:57,0.855,3.908,35.8,3.34134
20:58:58,0.862,3.908,35.8,3.368696
20:58:59,0.858,3.908,35.8,3.353064
20:59:00,0.85,3.908,35.8,3.3218
20:59:01,0.85,3.908,35.8,3.3218
20:59:02,0.854,3.908,35.8,3.337432
20:59:03,0.863,3.908,35.8,3.372604
20:59:04,0.846,3.908,35.8,3.306168
20:59:05,0.801,3.908,35.8,3.130308
20:59:06,0.786,3.908,35.8,3.071688
20:59:07,0.838,3.908,35.8,3.274904
20:59:08,0.833,3.908,35.8,3.255364
20:59:09,0.839,3.908,35.8,3.278812
20:59:10,0.841,3.908,35.8,3.286628
20:59:11,0.819,3.908,35.8,3.200652
20:59:12,0.825,3.908,35.8,3.2241
20:59:13,0.83,3.908,35.8,3.24364
20:59:14,0.812,3.908,35.8,3.173296
20:59:15,0.84,3.908,35.6,3.28272
20:59:16,0.823,3.908,35.6,3.216284
20:59:17,0.826,3.908,35.6,3.228008
20:59:18,0.794,3.908,35.6,3.102952
20:59:19,0.837,3.908,35.6,3.270996
20:59:20,0.807,3.908,35.6,3.153756
20:59:21,0.782,3.908,35.6,3.056056
20:59:22,0.78,3.908,35.6,3.04824
20:59:23,0.79,3.908,35.6,3.08732
20:59:24,0.733,3.908,35.6,2.864564
20:59:25,0.776,3.908,35.6,3.032608
20:59:26,0.758,3.908,35.6,2.962264
20:59:27,0.791,3.91,35.5,3.09281
20:59:28,0.759,3.91,35.5,2.96769
20:59:29,0.8,3.91,35.5,3.128
20:59:30,0.786,3.91,35.5,3.07326
20:59:31,0.787,3.91,35.5,3.07717
20:59:32,0.802,3.91,35.5,3.13582
20:59:33,0.804,3.91,35.5,3.14364
20:59:34,0.643,3.91,35.5,2.51413
20:59:35,0.717,3.91,35.5,2.80347
