time,current,voltage,temp_C,power
20:57:49,1.269,4.086,35.4,5.185134
20:57:50,1.278,4.086,35.4,5.221908
20:57:51,1.117,4.086,35.4,4.564062
20:57:52,1.21,4.086,35.4,4.94406
20:57:53,1.204,4.086,35.4,4.919544
20:57:54,1.244,4.086,35.4,5.082984
20:57:55,1.223,4.086,35.4,4.997178
20:57:56,1.204,4.086,35.4,4.919544
20:57:57,1.229,4.086,35.4,5.021694
20:57:58,1.217,4.086,35.4,4.972662
20:57:59,1.196,4.086,35.4,4.886856
20:58:00,1.221,4.086,35.4,4.989006
20:58:01,0.95,4.058,35.4,3.8551
20:58:03,1.223,4.101,35.4,5.015523
20:58:03,1.232,4.101,35.4,5.052432
20:58:04,1.225,4.101,35.4,5.023725
20:58:06,1.227,4.101,35.4,5.031927
20:58:07,1.197,4.101,35.4,4.908897
20:58:08,1.216,4.101,35.4,4.986816
20:58:09,1.212,4.101,35.4,4.970412
20:58:10,1.224,4.101,35.4,5.019624
20:58:11,1.225,4.101,35.4,5.023725
20:58:12,1.219,4.101,35.4,4.999119
20:58:13,1.2,4.101,35.4,4.9212
20:58:14,1.2,4.101,35.4,4.9212
20:58:15,1.175,4.101,35.4,4.818675
20:58:16,1.205,4.101,35.4,4.941705
20:58:17,1.213,4.101,35.4,4.974513
20:58:18,1.214,4.101,35.4,4.978614
20:58:19,1.203,4.101,35.4,4.933503
20:58:20,1.2,4.101,35.4,4.9212
20:58:21,1.19,4.101,35.4,4.88019
20:58:22,1.18,4.101,35.4,4.83918
20:58:23,1.204,4.101,35.4,4.937604
20:58:24,1.208,4.101,35.4,4.954008
20:58:25,1.218,4.101,35.4,4.995018
20:58:26,1.13,4.101,35.4,4.63413
20:58:27,1.21,4.101,35.4,4.96221
20:58:28,1.246,4.101,35.4,5.109846
20:58:29,1.218,4.101,35.4,4.995018
20:58:30,1.23,4.101,35.4,5.04423
20:58:31,1.03,4.111,35.4,4.23433
20:58:32,1.25,4.111,35.4,5.13875
20:58:33,0.906,4.109,35.4,3.722754
20:58:34,1.248,4.109,35.4,5.128032
20:58:35,1.263,4.109,35.4,5.189667
20:58:36,1.238,4.109,35.4,5.086942
20:58:37,1.227,4.112,35.4,5.045424
20:58:38,0.852,4.111,35.4,3.502572
20:58:39,1.26,4.111,35.4,5.17986
20:58:40,1.259,4.111,35.4,5.175749
20:58:41,1.25,4.111,35.4,5.13875
20:58:42,1.261,4.111,35.4,5.183971
20:58:43,1.273,4.111,35.4,5.233303
20:58:44,1.22,4.111,35.4,5.01542
20:58:45,1.256,4.111,35.4,5.163416
20:58:46,1.243,4.111,35.4,5.109973
20:58:47,1.268,4.111,35.4,5.212748
20:58:48,1.268,4.111,35.4,5.212748
20:58:49,1.272,4.111,35.4,5.229192
20:58:50,1.268,4.111,35.4,5.212748
20:58:51,1.245,4.111,35.4,5.118195
20:58:52,1.272,4.111,35.4,5.229192
20:58:53,1.268,4.111,35.4,5.212748
20:58:54,1.275,4.111,35.4,5.241525
20:58:55,1.242,4.111,35.4,5.105862
20:58:56,1.24,4.111,35.4,5.09764
20:58:57,1.274,4.111,35.4,5.237414
20:58:58,1.278,4.111,35.4,5.253858
20:58:59,1.244,4.111,35.4,5.114084
20:59:00,1.269,4.111,35.4,5.216859
20:59:01,1.255,4.111,35.4,5.159305
20:59:02,1.251,4.111,35.4,5.142861
20:59:03,1.272,4.111,35.4,5.229192
20:59:04,1.253,4.111,35.4,5.151083
20:59:05,1.277,4.111,35.4,5.249747
20:59:06,1.259,4.111,35.4,5.175749
20:59:07,1.252,4.111,35.4,5.146972
20:59:08,1.273,4.111,35.4,5.233303
20:59:09,1.268,4.111,35.4,5.212748
20:59:10,1.273,4.111,35.4,5.233303
20:59:11,1.237,4.111,35.4,5.085307
20:59:12,1.212,4.111,35.4,4.982532
20:59:13,1.278,4.111,35.4,5.253858
20:59:14,1.262,4.111,35.4,5.188082
20:59:15,1.267,4.111,35.4,5.208637
20:59:16,1.241,4.111,35.4,5.101751
20:59:17,1.258,4.111,35.4,5.171638
20:59:18,1.269,4.111,35.4,5.216859
20:59:19,1.243,4.111,35.4,5.109973
20:59:20,1.278,4.111,35.4,5.253858
20:59:21,1.234,4.111,35.4,5.072974
20:59:22,1.278,4.111,35.4,5.253858
20:59:23,1.255,4.111,35.4,5.159305
20:59:24,1.263,4.111,35.4,5.192193
20:59:25,1.279,4.111,35.4,5.257969
20:59:26,1.251,4.111,35.4,5.142861
20:59:28,1.203,4.111,35.4,4.945533
20:59:29,1.27,4.111,35.4,5.22097
20:59:30,1.269,4.111,35.4,5.216859
20:59:31,1.276,4.121,35.4,5.258396
20:59:32,1.214,4.121,35.4,5.002894
20:59:33,1.229,4.121,35.4,5.064709
20:59:34,1.195,4.121,35.4,4.924595
20:59:35,1.251,4.121,35.4,5.155371
20:59:36,1.144,4.121,35.4,4.714424
20:59:37,1.248,4.121,35.4,5.143008
20:59:38,1.24,4.121,35.4,5.11004
20:59:39,1.273,4.121,35.4,5.246033
20:59:40,1.25,4.121,35.4,5.15125
20:59:41,1.23,4.121,35.4,5.06883
20:59:42,1.24,4.119,35.4,5.10756
20:59:43,1.222,4.119,35.4,5.033418
20:59:44,1.254,4.119,35.4,5.165226
20:59:45,1.241,4.119,35.4,5.111679
20:59:46,1.255,4.119,35.4,5.169345
20:59:47,1.232,4.119,35.4,5.074608
20:59:48,1.235,4.119,35.4,5.086965
20:59:49,1.242,4.119,35.4,5.115798
20:59:50,1.24,4.119,35.4,5.10756
20:59:51,1.249,4.119,35.4,5.144631
20:59:52,1.228,4.119,35.4,5.058132
20:59:53,1.246,4.119,35.4,5.132274
20:59:54,1.249,4.119,35.4,5.144631
20:59:55,1.244,4.119,35.4,5.124036
20:59:56,1.229,4.119,35.4,5.062251
20:59:57,1.153,4.119,35.4,4.749207
20:59:58,1.231,4.119,35.4,5.070489
20:59:59,1.262,4.119,35.4,5.198178
21:00:00,1.261,4.119,35.4,5.194059
21:00:01,0.921,4.119,35.4,3.793599
21:00:02,0.94,4.119,35.4,3.87186
21:00:03,1.148,4.119,35.4,4.728612
21:00:04,1.229,4.119,35.4,5.062251
21:00:05,1.263,4.119,35.4,5.202297
21:00:06,1.244,4.119,35.4,5.124036
21:00:07,1.255,4.119,35.4,5.169345
21:00:08,1.253,4.119,35.4,5.161107
21:00:09,1.243,4.119,35.4,5.119917
21:00:10,1.233,4.119,35.4,5.078727
21:00:11,1.242,4.119,35.4,5.115798
21:00:12,1.247,4.119,35.4,5.136393
21:00:13,1.248,4.119,35.4,5.140512
21:00:14,1.263,4.119,35.4,5.202297
21:00:15,1.27,4.119,35.4,5.23113
21:00:16,1.246,4.119,35.4,5.132274
21:00:17,1.248,4.119,35.4,5.140512
21:00:18,1.264,4.119,35.4,5.206416
21:00:19,1.247,4.119,35.4,5.136393
21:00:20,1.26,4.119,35.4,5.18994
21:00:21,1.254,4.119,35.4,5.165226
21:00:22,1.263,4.119,35.4,5.202297
21:00:23,1.268,4.119,35.4,5.222892
21:00:24,1.264,4.119,35.4,5.206416
21:00:25,1.26,4.119,35.4,5.18994
21:00:26,1.246,4.119,35.4,5.132274
21:00:27,1.265,4.119,35.4,5.210535
21:00:28,1.271,4.119,35.4,5.235249
21:00:29,1.262,4.119,35.4,5.198178
21:00:30,1.257,4.128,35.4,5.188896
21:00:31,1.231,4.128,35.4,5.081568
21:00:32,1.273,4.128,35.4,5.254944
21:00:33,1.265,4.128,35.4,5.22192
21:00:34,1.263,4.128,35.4,5.213664
21:00:35,1.259,4.128,35.4,5.197152
21:00:36,1.246,4.128,35.4,5.143488
21:00:37,1.259,4.128,35.4,5.197152
21:00:38,1.274,4.128,35.4,5.259072
21:00:39,1.25,4.128,35.4,5.16
21:00:40,1.253,4.128,35.4,5.172384
21:00:41,1.255,4.128,35.4,5.18064
21:00:42,1.271,4.128,35.4,5.246688
21:00:43,1.262,4.128,35.4,5.209536
21:00:44,1.27,4.128,35.4,5.24256
21:00:45,1.279,4.128,35.4,5.279712
