time,current,voltage,temp_C,power
18:39:20,1.204,3.85,34.7,4.6354
18:39:21,1.223,3.85,34.7,4.70855
18:39:22,1.046,3.85,34.7,4.0271
18:39:23,1.154,3.85,34.7,4.4429
18:39:24,1.095,3.85,34.7,4.21575
18:39:25,1.142,3.85,34.7,4.3967
18:39:26,1.204,3.85,34.7,4.6354
18:39:27,1.164,3.85,34.7,4.4814
18:39:28,1.193,3.85,34.7,4.59305
18:39:29,1.19,3.85,34.7,4.5815
18:39:30,1.183,3.85,34.7,4.55455
18:39:31,1.213,3.85,34.7,4.67005
18:39:32,1.179,3.85,34.7,4.53915
18:39:33,1.296,3.85,34.7,4.9896
18:39:34,1.312,3.85,34.7,5.0512
18:39:35,1.289,3.85,34.7,4.96265
18:39:36,1.311,3.85,34.7,5.04735
18:39:37,1.303,3.85,34.7,5.01655
18:39:38,1.303,3.85,34.7,5.01655
18:39:39,1.295,3.85,34.7,4.98575
18:39:40,1.267,3.85,34.7,4.87795
18:39:42,0.266,3.85,34.7,1.0241
18:39:43,1.349,3.824,34.9,5.158576
18:39:44,1.352,3.824,34.9,5.170048
18:39:45,1.287,3.879,34.9,4.992273
18:39:46,1.303,3.879,34.9,5.054337
18:39:47,1.351,3.879,34.9,5.240529
18:39:48,1.34,3.879,34.9,5.19786
18:39:49,1.292,3.879,34.9,5.011668
18:39:50,1.34,3.879,34.9,5.19786
18:39:51,1.341,3.879,34.9,5.201739
18:39:52,1.347,3.879,34.9,5.225013
18:39:53,1.354,3.879,34.9,5.252166
18:39:54,1.332,3.879,34.9,5.166828
18:39:55,1.339,3.879,34.9,5.193981
18:39:56,1.327,3.879,34.9,5.147433
18:39:57,1.35,3.879,34.9,5.23665
18:39:58,1.354,3.879,34.9,5.252166
18:39:59,1.326,3.879,34.9,5.143554
18:40:00,1.338,3.879,34.9,5.190102
18:40:01,1.339,3.879,34.9,5.193981
18:40:02,1.335,3.879,34.9,5.178465
18:40:03,1.343,3.879,34.9,5.209497
18:40:04,1.349,3.879,34.9,5.232771
18:40:05,1.341,3.879,34.9,5.201739
18:40:06,1.348,3.879,34.9,5.228892
18:40:07,1.348,3.879,34.9,5.228892
18:40:08,1.351,3.879,34.9,5.240529
18:40:09,1.274,3.879,34.9,4.941846
18:40:10,1.327,3.879,34.9,5.147433
18:40:11,1.359,3.879,34.9,5.271561
18:40:12,0.075,3.885,34.9,0.291375
18:40:13,1.323,3.815,34.9,5.047245
18:40:14,1.329,3.885,34.9,5.163165
18:40:15,1.338,3.885,34.9,5.19813
18:40:16,1.33,3.885,34.9,5.16705
18:40:17,1.352,3.885,34.9,5.25252
18:40:18,1.28,3.885,34.9,4.9728
18:40:19,1.194,3.885,34.9,4.63869
18:40:20,1.341,3.885,34.9,5.209785
18:40:21,0.971,3.885,34.9,3.772335
18:40:22,1.307,3.885,34.9,5.077695
18:40:23,1.248,3.885,34.9,4.84848
18:40:24,1.345,3.885,34.9,5.225325
18:40:25,1.288,3.885,34.9,5.00388
18:40:26,1.339,3.885,34.9,5.202015
18:40:27,1.344,3.885,34.9,5.22144
18:40:28,1.304,3.885,34.9,5.06604
18:40:29,1.316,3.885,34.9,5.11266
18:40:30,1.328,3.885,34.9,5.15928
18:40:31,1.342,3.885,34.9,5.21367
18:40:32,1.331,3.885,34.9,5.170935
18:40:33,1.339,3.885,34.9,5.202015
18:40:34,1.323,3.885,34.9,5.139855
18:40:35,1.334,3.885,34.9,5.18259
18:40:36,1.317,3.885,34.9,5.116545
18:40:37,1.337,3.885,34.9,5.194245
18:40:38,1.322,3.885,34.9,5.13597
18:40:39,1.338,3.885,34.9,5.19813
18:40:40,1.333,3.885,34.9,5.178705
18:40:41,1.157,3.885,34.9,4.494945
18:40:42,0.217,3.83,34.9,0.83111
18:40:43,1.314,3.83,34.9,5.03262
18:40:44,1.328,3.886,34.8,5.160608
18:40:45,1.155,3.886,34.8,4.48833
18:40:46,1.243,3.886,34.8,4.830298
18:40:47,1.232,3.886,34.8,4.787552
18:40:48,1.336,3.886,34.8,5.191696
18:40:49,1.306,3.886,34.8,5.075116
18:40:50,1.334,3.886,34.8,5.183924
