time,current,voltage,temp_C,power
11:31:52,0.456,3.794,34.2,1.730064
11:31:53,0.369,3.794,34.2,1.399986
11:31:54,0.166,3.794,34.2,0.629804
11:31:55,0.199,3.794,34.2,0.755006
11:31:56,0.232,3.794,34.2,0.880208
11:31:57,0.245,3.794,34.2,0.92953
11:31:58,0.276,3.794,34.2,1.047144
11:31:59,0.326,3.794,34.2,1.236844
11:32:00,0.346,3.794,34.2,1.312724
11:32:01,0.345,3.794,34.2,1.30893
11:32:02,0.312,3.794,34.2,1.183728
11:32:03,0.338,3.794,34.2,1.282372
11:32:04,0.348,3.794,34.2,1.320312
11:32:05,0.328,3.794,34.2,1.244432
11:32:06,0.192,3.837,34.3,0.736704
11:32:07,0.331,3.837,34.3,1.270047
11:32:08,0.271,3.837,34.3,1.039827
11:32:09,0.371,3.837,34.3,1.423527
11:32:10,0.351,3.837,34.3,1.346787
11:32:11,0.353,3.837,34.3,1.354461
11:32:12,0.356,3.837,34.3,1.365972
11:32:13,0.292,3.837,34.3,1.120404
11:32:14,0.366,3.837,34.3,1.404342
11:32:15,0.341,3.837,34.3,1.308417
11:32:16,0.36,3.837,34.3,1.38132
11:32:17,0.365,3.837,34.3,1.400505
11:32:18,0.34,3.837,34.3,1.30458
11:32:19,0.347,3.837,34.3,1.331439
11:32:20,0.354,3.837,34.3,1.358298
11:32:21,0.352,3.837,34.3,1.350624
11:32:22,0.317,3.837,34.3,1.216329
11:32:23,0.357,3.837,34.3,1.369809
11:32:24,0.341,3.837,34.3,1.308417
11:32:25,0.345,3.837,34.3,1.323765
11:32:26,0.372,3.837,34.3,1.427364
11:32:27,0.335,3.837,34.3,1.285395
11:32:28,0.382,3.837,34.3,1.465734
11:32:29,0.37,3.837,34.3,1.41969
11:32:30,0.388,3.837,34.3,1.488756
11:32:31,0.381,3.837,34.3,1.461897
11:32:32,0.357,3.837,34.3,1.369809
11:32:33,0.38,3.837,34.3,1.45806
11:32:34,0.375,3.837,34.3,1.438875
11:32:35,0.358,3.842,34.3,1.375436
11:32:36,0.197,3.836,34.2,0.755692
11:32:37,0.356,3.836,34.2,1.365616
11:32:38,0.197,3.824,34.2,0.753328
11:32:39,0.353,3.824,34.2,1.349872
11:32:40,0.377,3.824,34.2,1.441648
11:32:41,0.361,3.824,34.2,1.380464
11:32:42,0.319,3.84,34.2,1.22496
11:32:43,0.207,3.84,34.2,0.79488
11:32:44,0.564,3.84,34.2,2.16576
11:32:45,0.585,3.84,34.2,2.2464
11:32:46,0.605,3.84,34.2,2.3232
11:32:47,0.68,3.84,34.2,2.6112
11:32:48,0.647,3.84,34.2,2.48448
11:32:49,0.66,3.84,34.2,2.5344
11:32:50,0.664,3.84,34.2,2.54976
11:32:51,0.646,3.84,34.2,2.48064
11:32:52,0.63,3.84,34.2,2.4192
11:32:53,0.641,3.84,34.2,2.46144
11:32:54,0.636,3.84,34.2,2.44224
11:32:55,0.617,3.84,34.2,2.36928
11:32:56,0.646,3.84,34.2,2.48064
11:32:57,0.617,3.84,34.2,2.36928
11:32:58,0.646,3.84,34.2,2.48064
11:32:59,0.636,3.84,34.2,2.44224
11:33:00,0.608,3.84,34.2,2.33472
11:33:01,0.62,3.84,34.2,2.3808
11:33:03,0.623,3.84,34.2,2.39232
11:33:04,0.632,3.84,34.2,2.42688
11:33:05,0.592,3.84,34.2,2.27328
11:33:06,0.225,3.84,34.2,0.864
11:33:07,0.6,3.844,34.2,2.3064
11:33:08,0.547,3.844,34.2,2.102668
11:33:09,0.554,3.857,34.2,2.136778
11:33:10,0.563,3.857,34.2,2.171491
11:33:11,0.617,3.857,34.2,2.379769
11:33:12,0.588,3.857,34.2,2.267916
11:33:13,0.599,3.857,34.2,2.310343
11:33:14,0.578,3.857,34.2,2.229346
11:33:15,0.605,3.857,34.2,2.333485
11:33:16,0.576,3.857,34.2,2.221632
11:33:17,0.518,3.857,34.2,1.997926
11:33:18,0.59,3.857,34.2,2.27563
11:33:19,0.579,3.857,34.2,2.233203
11:33:20,0.587,3.857,34.2,2.264059
11:33:21,0.207,3.857,34.2,0.798399
11:33:22,0.599,3.857,34.2,2.310343
11:33:23,0.593,3.857,34.2,2.287201
11:33:24,0.523,3.857,34.2,2.017211
11:33:25,0.586,3.857,34.2,2.260202
11:33:26,0.553,3.857,34.2,2.132921
11:33:27,0.604,3.857,34.2,2.329628
11:33:28,0.592,3.857,34.2,2.283344
11:33:29,0.616,3.857,34.2,2.375912
11:33:30,0.58,3.857,34.2,2.23706
11:33:31,0.516,3.857,34.2,1.990212
11:33:32,0.608,3.857,34.2,2.345056
11:33:33,0.567,3.857,34.2,2.186919
11:33:34,0.616,3.857,34.2,2.375912
11:33:35,0.578,3.857,34.2,2.229346
11:33:36,0.601,3.864,34.2,2.322264
11:33:37,0.702,3.864,34.2,2.712528
11:33:38,0.724,3.864,34.2,2.797536
11:33:39,0.648,3.864,34.2,2.503872
11:33:40,0.627,3.864,34.2,2.422728
11:33:41,0.603,3.864,34.2,2.329992
11:33:42,0.604,3.864,34.2,2.333856
11:33:43,0.677,3.864,34.2,2.615928
11:33:44,0.691,3.864,34.2,2.670024
11:33:45,0.649,3.864,34.2,2.507736
11:33:46,0.563,3.864,34.2,2.175432
11:33:47,0.594,3.864,34.2,2.295216
11:33:48,0.594,3.864,34.2,2.295216
11:33:49,0.599,3.864,34.2,2.314536
11:33:50,0.601,3.864,34.2,2.322264
11:33:51,0.501,3.864,34.2,1.935864
11:33:52,0.572,3.864,34.2,2.210208
11:33:53,0.584,3.864,34.2,2.256576
11:33:54,0.531,3.864,34.2,2.051784
11:33:55,0.572,3.864,34.2,2.210208
11:33:56,0.572,3.864,34.2,2.210208
11:33:57,0.565,3.864,34.2,2.18316
11:33:58,0.541,3.864,34.2,2.090424
11:33:59,0.561,3.864,34.2,2.167704
11:34:00,0.535,3.864,34.2,2.06724
11:34:01,0.445,3.864,34.2,1.71948
11:34:02,0.513,3.864,34.2,1.982232
11:34:03,0.503,3.864,34.2,1.943592
11:34:04,0.559,3.864,34.2,2.159976
11:34:05,0.531,3.864,34.2,2.051784
11:34:06,0.551,3.864,34.2,2.129064
11:34:07,0.536,3.864,34.2,2.071104
