time,current,voltage,temp_C,power
18:39:37,1.314,3.816,35.9,5.014224
18:39:38,1.037,3.816,35.9,3.957192
18:39:39,1.198,3.816,35.9,4.571568
18:39:40,1.015,3.816,35.9,3.87324
18:39:41,0.884,3.816,35.9,3.373344
18:39:42,1.173,3.816,35.9,4.476168
18:39:43,1.173,3.816,35.9,4.476168
18:39:44,1.306,3.816,35.9,4.983696
18:39:45,0.984,3.816,35.9,3.754944
18:39:46,1.216,3.816,35.9,4.640256
18:39:47,1.15,3.816,35.9,4.3884
18:39:48,1.22,3.816,35.9,4.65552
18:39:49,1.294,3.816,35.9,4.937904
18:39:50,1.304,3.816,35.9,4.976064
18:39:51,1.279,3.816,35.9,4.880664
18:39:52,1.293,3.816,35.9,4.934088
18:39:53,1.293,3.816,35.9,4.934088
18:39:54,1.323,3.816,35.9,5.048568
18:39:55,1.329,3.816,35.9,5.071464
18:39:56,0.84,3.816,35.9,3.20544
18:39:57,0.951,3.816,35.9,3.629016
18:39:58,1.226,3.816,35.9,4.678416
18:39:59,1.29,3.816,35.9,4.92264
18:40:00,1.31,3.836,35.9,5.02516
18:40:01,1.301,3.836,35.9,4.990636
18:40:02,1.305,3.836,35.9,5.00598
18:40:03,1.324,3.836,35.9,5.078864
18:40:04,1.325,3.836,35.9,5.0827
18:40:05,1.331,3.836,35.9,5.105716
18:40:06,0.837,3.836,35.9,3.210732
18:40:07,0.872,3.836,35.9,3.344992
18:40:08,1.041,3.836,35.9,3.993276
18:40:09,0.996,3.836,35.9,3.820656
18:40:10,1.034,3.815,35.9,3.94471
18:40:12,1.001,3.815,35.9,3.818815
18:40:13,0.988,3.815,35.9,3.76922
18:40:14,1.025,3.815,35.9,3.910375
18:40:15,1.138,3.815,35.9,4.34147
18:40:16,1.058,3.815,35.9,4.03627
18:40:17,1.069,3.815,35.9,4.078235
18:40:18,1.064,3.815,35.9,4.05916
18:40:19,1.328,3.815,35.9,5.06632
18:40:20,1.33,3.815,35.9,5.07395
18:40:21,1.336,3.815,35.9,5.09684
18:40:22,1.316,3.815,35.9,5.02054
18:40:23,1.325,3.815,35.9,5.054875
18:40:24,1.334,3.815,35.9,5.08921
18:40:25,1.339,3.815,35.9,5.108285
18:40:26,1.253,3.815,35.9,4.780195
18:40:27,1.27,3.815,35.9,4.84505
18:40:28,1.345,3.815,35.9,5.131175
18:40:29,1.372,3.815,35.9,5.23418
18:40:30,1.365,3.815,35.9,5.207475
18:40:31,1.367,3.815,35.9,5.215105
18:40:32,1.363,3.815,35.9,5.199845
18:40:33,1.372,3.815,35.9,5.23418
18:40:34,1.326,3.815,35.9,5.05869
18:40:35,1.09,3.815,35.9,4.15835
18:40:36,1.264,3.815,35.9,4.82216
18:40:37,1.253,3.815,35.9,4.780195
18:40:38,1.329,3.815,35.9,5.070135
18:40:39,1.328,3.815,35.9,5.06632
18:40:40,1.33,3.815,35.9,5.07395
18:40:41,1.332,3.815,35.9,5.08158
18:40:42,1.328,3.815,35.9,5.06632
18:40:43,1.321,3.815,35.9,5.039615
18:40:44,1.332,3.815,35.9,5.08158
18:40:45,1.281,3.815,35.9,4.887015
18:40:46,1.366,3.815,35.9,5.21129
18:40:47,1.36,3.815,35.9,5.1884
18:40:48,1.367,3.815,35.9,5.215105
18:40:49,1.364,3.815,35.9,5.20366
18:40:50,1.361,3.815,35.9,5.192215
18:40:51,1.211,3.815,35.9,4.619965
18:40:52,1.079,3.815,35.9,4.116385
18:40:53,1.253,3.815,35.9,4.780195
18:40:54,1.262,3.815,35.9,4.81453
18:40:55,1.333,3.815,35.9,5.085395
18:40:56,1.322,3.815,35.9,5.04343
18:40:57,1.305,3.815,35.9,4.978575
18:40:58,1.049,3.815,35.9,4.001935
18:40:59,1.238,3.815,35.9,4.72297
18:41:00,1.282,3.815,35.9,4.89083
18:41:01,1.324,3.815,35.9,5.05106
18:41:02,1.297,3.815,35.9,4.948055
18:41:03,1.128,3.815,35.9,4.30332
18:41:04,1.306,3.815,35.9,4.98239
18:41:05,1.293,3.815,35.9,4.932795
18:41:06,1.023,3.815,35.9,3.902745
18:41:07,1.242,3.815,35.9,4.73823
18:41:08,1.197,3.815,35.9,4.566555
18:41:09,1.327,3.815,35.9,5.062505
18:41:10,1.312,3.841,35.9,5.039392
18:41:11,1.241,3.841,35.9,4.766681
18:41:12,1.297,3.841,35.9,4.981777
18:41:13,1.287,3.841,35.9,4.943367
18:41:14,1.266,3.841,35.9,4.862706
18:41:15,1.198,3.841,35.9,4.601518
18:41:16,1.207,3.841,35.9,4.636087
18:41:17,1.333,3.841,35.9,5.120053
18:41:18,1.322,3.841,35.9,5.077802
18:41:19,1.334,3.841,35.9,5.123894
18:41:20,1.328,3.841,35.9,5.100848
18:41:21,1.248,3.841,35.9,4.793568
18:41:22,1.323,3.841,35.9,5.081643
18:41:23,1.326,3.841,35.9,5.093166
18:41:24,1.335,3.841,35.9,5.127735
18:41:25,1.305,3.841,35.9,5.012505
18:41:26,1.332,3.841,35.9,5.116212
18:41:27,1.32,3.841,35.9,5.07012
18:41:28,1.348,3.841,35.9,5.177668
18:41:29,1.328,3.841,35.9,5.100848
18:41:30,1.339,3.841,35.9,5.143099
18:41:31,1.341,3.841,35.9,5.150781
18:41:32,1.351,3.841,35.9,5.189191
18:41:34,1.345,3.841,35.9,5.166145
18:41:35,1.019,3.841,35.9,3.913979
18:41:36,1.114,3.841,35.9,4.278874
18:41:37,1.243,3.841,35.9,4.774363
18:41:38,0.991,3.841,35.9,3.806431
18:41:39,1.033,3.841,35.9,3.967753
18:41:40,1.045,3.841,35.9,4.013845
18:41:41,1.232,3.841,35.9,4.732112
18:41:42,1.248,3.841,35.9,4.793568
18:41:43,1.323,3.841,35.9,5.081643
18:41:44,1.328,3.841,35.9,5.100848
18:41:45,1.322,3.841,35.9,5.077802
18:41:46,1.334,3.841,35.9,5.123894
18:41:47,1.332,3.841,35.9,5.116212
18:41:48,1.325,3.841,35.9,5.089325
18:41:49,1.317,3.841,35.9,5.058597
18:41:50,1.309,3.841,35.9,5.027869
18:41:51,1.3,3.841,35.9,4.9933
18:41:52,1.305,3.841,35.9,5.012505
18:41:53,1.364,3.841,35.9,5.239124
18:41:54,1.355,3.841,35.9,5.204555
18:41:55,1.371,3.841,35.9,5.266011
18:41:56,1.372,3.841,35.9,5.269852
18:41:57,1.368,3.841,35.9,5.254488
18:41:58,1.202,3.841,35.9,4.616882
18:41:59,1.03,3.841,35.9,3.95623
18:42:00,1.249,3.841,35.9,4.797409
18:42:01,1.231,3.841,35.9,4.728271
18:42:02,1.063,3.841,35.9,4.082983
18:42:03,1.243,3.841,35.9,4.774363
18:42:04,1.257,3.841,35.9,4.828137
18:42:05,1.327,3.841,35.9,5.097007
18:42:06,1.098,3.843,35.8,4.219614
18:42:07,1.082,3.843,35.8,4.158126
18:42:08,1.231,3.843,35.8,4.730733
18:42:09,1.332,3.843,35.8,5.118876
18:42:10,1.339,3.849,35.8,5.153811
18:42:11,1.328,3.849,35.8,5.111472
18:42:12,1.327,3.849,35.8,5.107623
18:42:13,1.212,3.849,35.8,4.664988
18:42:14,1.344,3.849,35.8,5.173056
18:42:15,1.325,3.849,35.8,5.099925
18:42:16,1.313,3.849,35.8,5.053737
18:42:17,1.336,3.849,35.8,5.142264
18:42:18,1.373,3.849,35.8,5.284677
18:42:19,1.367,3.849,35.8,5.261583
18:42:20,1.362,3.849,35.8,5.242338
18:42:21,1.368,3.849,35.8,5.265432
18:42:22,1.361,3.849,35.8,5.238489
18:42:23,1.366,3.849,35.8,5.257734
18:42:24,1.359,3.849,35.8,5.230791
18:42:25,1.034,3.849,35.8,3.979866
18:42:26,1.163,3.849,35.8,4.476387
18:42:27,1.25,3.849,35.8,4.81125
18:42:28,1.255,3.849,35.8,4.830495
18:42:29,1.012,3.849,35.8,3.895188
18:42:30,1.047,3.849,35.8,4.029903
18:42:31,1.266,3.849,35.8,4.872834
18:42:32,1.329,3.849,35.8,5.115321
18:42:33,1.332,3.849,35.8,5.126868
18:42:34,1.327,3.849,35.8,5.107623
18:42:35,1.328,3.849,35.8,5.111472
18:42:36,1.333,3.849,35.8,5.130717
18:42:37,1.327,3.849,35.8,5.107623
18:42:38,1.327,3.849,35.8,5.107623
18:42:39,1.016,3.849,35.8,3.910584
18:42:40,1.102,3.849,35.8,4.241598
18:42:41,1.233,3.849,35.8,4.745817
18:42:42,1.315,3.849,35.8,5.061435
18:42:43,1.319,3.849,35.8,5.076831
18:42:44,1.312,3.849,35.8,5.049888
18:42:45,1.322,3.849,35.8,5.088378
18:42:46,1.319,3.849,35.8,5.076831
18:42:47,1.3,3.849,35.8,5.0037
18:42:48,1.297,3.849,35.8,4.992153
18:42:49,1.22,3.849,35.8,4.69578
18:42:50,1.34,3.849,35.8,5.15766
18:42:51,1.348,3.849,35.8,5.188452
18:42:52,1.338,3.849,35.8,5.149962
18:42:53,0.999,3.849,35.8,3.845151
18:42:54,1.027,3.849,35.8,3.952923
18:42:55,1.057,3.849,35.8,4.068393
18:42:56,1.049,3.849,35.8,4.037601
