time,voltage,current,power
21:32:07,4.67,1.68,7.8455997
21:32:08,4.66,1.66,7.7355995
21:32:09,4.61,1.64,7.5604
21:32:10,4.66,1.7,7.922
21:32:11,4.64,1.66,7.7023997
21:32:12,4.62,1.68,7.7615995
21:32:13,4.65,1.67,7.7655
21:32:14,4.68,1.68,7.8623996
21:32:15,4.62,1.64,7.5768
21:32:16,4.63,1.65,7.6395
21:32:17,4.63,1.65,7.6395
21:32:18,4.64,1.7,7.888
21:32:19,4.61,1.63,7.5143003
21:32:20,4.65,1.68,7.812
21:32:21,4.64,1.67,7.7488
21:32:22,4.62,1.69,7.8078003
21:32:23,4.63,1.65,7.6395
21:32:24,4.66,1.66,7.7355995
21:32:25,4.67,1.7,7.939
21:32:26,4.66,1.67,7.7821994
21:32:27,4.64,1.68,7.7951994
21:32:28,4.62,1.65,7.6229997
21:32:29,4.63,1.69,7.8247004
21:32:30,4.69,1.72,8.0668
21:32:31,4.66,1.64,7.6424
21:32:32,4.66,1.7,7.922
21:32:33,4.66,1.7,7.922
21:32:34,4.62,1.7,7.854
21:32:35,4.65,1.65,7.6725
21:32:36,4.64,1.72,7.9807997
21:32:37,4.66,1.65,7.6889997
21:32:38,4.65,1.64,7.626
21:32:39,4.63,1.69,7.8247004
21:32:40,4.6,1.66,7.6359997
21:32:41,4.67,1.66,7.7522
21:32:42,4.67,1.67,7.7989
21:32:43,4.62,1.65,7.6229997
21:32:44,4.66,1.68,7.8287997
21:32:45,4.66,1.66,7.7355995
21:32:46,4.65,1.61,7.4865003
21:32:47,4.67,1.72,8.0324
21:32:48,4.67,1.69,7.8923006
21:32:49,4.7,1.64,7.7079997
21:32:50,4.65,1.69,7.8585005
21:32:51,4.66,1.68,7.8287997
21:32:52,4.65,1.68,7.812
21:32:53,4.58,1.71,7.8318
21:32:54,4.62,1.69,7.8078003
21:32:55,4.67,1.69,7.8923006
21:32:56,4.66,1.67,7.7821994
21:32:57,4.61,1.65,7.6065
21:32:58,4.63,1.63,7.5469003
21:32:59,4.65,1.66,7.719
21:33:00,4.6,1.66,7.6359997
21:33:01,4.59,1.68,7.7112
21:33:02,4.64,1.64,7.6095996
21:33:03,4.67,1.63,7.6121
21:33:04,4.7,1.66,7.8019996
21:33:05,4.61,1.69,7.7909007
21:33:06,4.63,1.65,7.6395
21:33:07,4.66,1.62,7.5491996
21:33:08,4.62,1.66,7.6691995
21:33:09,4.62,1.69,7.8078003
21:33:10,4.64,1.61,7.4704
21:33:11,4.61,1.68,7.7448
21:33:12,4.61,1.65,7.6065
21:33:13,4.62,1.64,7.5768
21:33:14,4.64,1.64,7.6095996
21:33:15,4.66,1.66,7.7355995
21:33:16,4.62,1.68,7.7615995
21:33:17,4.62,1.66,7.6691995
21:33:18,4.64,1.7,7.888
21:33:19,4.69,1.65,7.7385
21:33:20,4.64,1.69,7.8416
21:33:21,4.62,1.68,7.7615995
21:33:22,4.7,1.65,7.7549996
21:33:23,4.63,1.68,7.7784
21:33:24,4.6,1.7,7.82
21:33:25,4.66,1.65,7.6889997
21:33:26,4.67,1.67,7.7989
21:33:27,4.66,1.69,7.8754
21:33:28,4.66,1.7,7.922
21:33:29,4.66,1.7,7.922
21:33:30,4.65,1.7,7.905
21:33:31,4.59,1.67,7.6653
21:33:32,4.62,1.66,7.6691995
21:33:33,4.68,1.62,7.5815997
21:33:34,4.66,1.72,8.0152
21:33:35,4.68,1.66,7.7688
21:33:36,4.65,1.64,7.626
21:33:37,4.59,1.66,7.6194
21:33:38,4.7,1.65,7.7549996
21:33:39,4.63,1.64,7.5932
21:33:40,4.59,1.64,7.5276003
21:33:41,4.66,1.64,7.6424
21:33:42,4.66,1.69,7.8754
21:33:43,4.62,1.68,7.7615995
21:33:44,4.62,1.66,7.6691995
21:33:45,4.66,1.65,7.6889997
21:33:46,4.66,1.66,7.7355995
21:33:47,4.62,1.66,7.6691995
21:33:48,4.69,1.64,7.6916
21:33:49,4.62,1.68,7.7615995
21:33:50,4.69,1.7,7.9730005
21:33:51,4.65,1.65,7.6725
21:33:52,4.66,1.71,7.9686
21:33:53,4.62,1.66,7.6691995
21:33:54,4.63,1.65,7.6395
21:33:55,4.63,1.72,7.9636
21:33:56,4.71,1.64,7.7244
21:33:57,4.63,1.64,7.5932
21:33:58,4.63,1.65,7.6395
21:33:59,4.62,1.69,7.8078003
21:34:01,4.7,1.68,7.8959994
21:34:01,4.66,1.68,7.8287997
21:34:03,4.68,1.67,7.8155994
21:34:03,4.61,1.62,7.4682
21:34:05,4.64,1.7,7.888
21:34:06,4.62,1.62,7.4844
21:34:06,4.63,1.64,7.5932
21:34:08,4.59,1.7,7.8030005
21:34:08,4.61,1.67,7.6987
21:34:10,4.65,1.7,7.905
21:34:11,4.66,1.67,7.7821994
21:34:12,4.61,1.68,7.7448
21:34:13,4.65,1.66,7.719
21:34:14,4.67,1.69,7.8923006
21:34:15,4.57,1.66,7.5862
21:34:16,4.62,1.72,7.9464
21:34:17,4.65,1.66,7.719
21:34:18,4.65,1.68,7.812
21:34:19,4.66,1.66,7.7355995
21:34:20,4.62,1.67,7.7153997
21:34:21,4.62,1.66,7.6691995
21:34:22,4.62,1.64,7.5768
21:34:23,4.67,1.67,7.7989
21:34:24,4.65,1.64,7.626
21:34:25,4.7,1.65,7.7549996
21:34:26,4.72,1.67,7.8823996
21:34:27,4.68,1.65,7.7219996
21:34:28,4.65,1.64,7.626
21:34:29,4.65,1.69,7.8585005
21:34:30,4.6,1.63,7.4979997
21:34:31,4.59,1.63,7.4817004
21:34:32,4.68,1.69,7.9092
21:34:33,4.62,1.62,7.4844
21:34:34,4.6,1.68,7.7279997
21:34:35,4.58,1.62,7.4196
21:34:36,4.62,1.68,7.7615995
21:34:37,4.64,1.68,7.7951994
21:34:38,4.64,1.7,7.888
21:34:39,4.67,1.65,7.7055
21:34:40,4.62,1.7,7.854
21:34:41,4.62,1.66,7.6691995
21:34:42,4.6,1.64,7.5439997
21:34:43,4.66,1.66,7.7355995
21:34:44,4.69,1.68,7.8792
21:34:45,4.65,1.7,7.905
21:34:46,4.66,1.72,8.0152
21:34:47,4.68,1.67,7.8155994
21:34:48,4.62,1.69,7.8078003
21:34:49,4.61,1.72,7.9292
21:34:50,4.6,1.72,7.912
21:34:51,4.63,1.65,7.6395
21:34:52,4.66,1.69,7.8754
21:34:53,4.65,1.68,7.812
21:34:54,4.62,1.71,7.9002
21:34:55,4.64,1.67,7.7488
21:34:56,4.63,1.67,7.7321
21:34:57,4.63,1.66,7.6858
21:34:58,4.62,1.65,7.6229997
21:34:59,4.61,1.71,7.8831005
21:35:00,4.62,1.66,7.6691995
21:35:01,4.6,1.65,7.5899997
21:35:02,4.62,1.66,7.6691995
21:35:03,4.61,1.7,7.8370004
21:35:04,4.62,1.69,7.8078003
21:35:05,4.7,1.66,7.8019996
21:35:06,4.62,1.68,7.7615995
21:35:07,4.65,1.65,7.6725
21:35:08,4.66,1.65,7.6889997
21:35:09,4.66,1.7,7.922
21:35:10,4.66,1.7,7.922
21:35:11,4.65,1.66,7.719
21:35:12,4.66,1.64,7.6424
21:35:13,4.64,1.66,7.7023997
21:35:14,4.66,1.67,7.7821994
21:35:15,4.62,1.65,7.6229997
21:35:16,4.62,1.66,7.6691995
21:35:17,4.6,1.69,7.774
21:35:18,4.71,1.64,7.7244
21:35:19,4.62,1.64,7.5768
21:35:20,4.67,1.66,7.7522
21:35:21,4.67,1.65,7.7055
21:35:22,4.65,1.63,7.5795
21:35:23,4.64,1.66,7.7023997
21:35:24,4.64,1.66,7.7023997
21:35:25,4.62,1.7,7.854
21:35:26,4.62,1.68,7.7615995
21:35:27,4.62,1.67,7.7153997
21:35:28,4.62,1.7,7.854
21:35:29,4.62,1.65,7.6229997
21:35:30,4.62,1.68,7.7615995
21:35:31,4.69,1.71,8.0199
21:35:32,4.69,1.71,8.0199
21:35:33,4.58,1.67,7.6485996
21:35:34,4.61,1.66,7.6526003
21:35:35,4.64,1.69,7.8416
21:35:36,4.6,1.63,7.4979997
21:35:37,4.63,1.64,7.5932
21:35:38,4.63,1.64,7.5932
21:35:39,4.61,1.66,7.6526003
21:35:40,4.62,1.7,7.854
21:35:41,4.64,1.71,7.9344
21:35:42,4.62,1.67,7.7153997
21:35:43,4.65,1.67,7.7655
21:35:44,4.62,1.69,7.8078003
21:35:45,4.61,1.72,7.9292
21:35:46,4.63,1.73,8.0099
21:35:47,4.64,1.69,7.8416
21:35:48,4.64,1.67,7.7488
21:35:49,4.64,1.69,7.8416
21:35:50,4.57,1.68,7.6776
21:35:51,4.63,1.67,7.7321
21:35:52,4.64,1.66,7.7023997
21:35:53,4.66,1.68,7.8287997
21:35:54,4.57,1.62,7.4034004
21:35:55,4.67,1.69,7.8923006
21:35:56,4.66,1.68,7.8287997
21:35:57,4.58,1.66,7.6028
21:35:58,4.7,1.71,8.037
21:35:59,4.64,1.67,7.7488
21:36:00,4.64,1.69,7.8416
21:36:01,4.64,1.69,7.8416
21:36:02,4.62,1.65,7.6229997
21:36:03,4.59,1.66,7.6194
21:36:04,4.64,1.65,7.6559997
21:36:05,4.64,1.64,7.6095996
21:36:06,4.63,1.7,7.8710003
21:36:07,4.62,1.65,7.6229997
21:36:08,4.66,1.65,7.6889997
21:36:09,4.65,1.66,7.719
21:36:10,4.63,1.68,7.7784
21:36:11,4.66,1.65,7.6889997
21:36:12,4.62,1.65,7.6229997
21:36:13,4.59,1.62,7.4358
21:36:14,4.64,1.69,7.8416
21:36:15,4.64,1.64,7.6095996
21:36:16,4.62,1.65,7.6229997
21:36:17,4.63,1.69,7.8247004
21:36:18,4.61,1.69,7.7909007
21:36:19,4.6,1.65,7.5899997
21:36:20,4.62,1.7,7.854
21:36:21,4.6,1.67,7.6819997
21:36:22,4.57,1.68,7.6776
21:36:23,4.66,1.65,7.6889997
21:36:24,4.66,1.65,7.6889997
