voltage,current,power
5.03,1.7,8.551001
5.04,1.7,8.568
5.1,1.68,8.568
5.1,1.69,8.619
5.04,1.65,8.316
5.05,1.68,8.484
5.06,1.62,8.1972
5.08,1.67,8.4836
5.04,1.6,8.064
5.03,1.65,8.2995
5.05,1.67,8.4335
5.05,1.64,8.282001
5.07,1.64,8.3148
5.04,1.57,7.9128003
5.04,1.67,8.4168
5.08,1.67,8.4836
5.02,1.7,8.534
5.06,1.66,8.3996
5.08,1.61,8.1788
5.04,1.64,8.2656
5.1,1.72,8.772
5.08,1.65,8.382
5.04,1.67,8.4168
5.01,1.68,8.4168005
5.03,1.64,8.2492
5.08,1.66,8.432799
5.08,1.66,8.432799
5.06,1.69,8.5514
5.08,1.66,8.432799
5.06,1.68,8.500799
