voltage,current,power
5.08,1.09,5.5372
5.12,1.06,5.4271994
5.07,1.12,5.6784
5.04,1.07,5.3928003
5.09,1.12,5.7008004
5.08,1.05,5.3339996
5.06,1.09,5.5154
5.09,1.14,5.8026
5.1,1.08,5.508
5.06,1.04,5.2623997
5.06,1.12,5.6672
5.07,1.14,5.7798
5.08,1.07,5.4356003
5.1,1.12,5.712
5.09,1.07,5.4463005
5.04,1.12,5.6448
5.06,1.12,5.6672
5.07,1.07,5.4249005
5.04,1.08,5.4432
5.06,1.11,5.6166
5.09,1.09,5.5481005
5.08,1.14,5.7911997
5.07,1.12,5.6784
5.08,1.13,5.7404
5.09,1.14,5.8026
5.05,1.12,5.656
5.08,1.08,5.4864
5.07,1.13,5.7291
5.08,1.14,5.7911997
5.04,1.1,5.544
5.06,1.14,5.7683997
