time,voltage,current,power
17:42:30,5.1,0.86,4.386
17:42:31,5.1,0.94,4.7939997
17:42:32,5.08,0.9,4.572
17:42:33,5.09,0.98,4.9882
17:42:34,5.08,0.92,4.6736
17:42:35,5.09,0.93,4.7337003
17:42:36,5.08,0.95,4.8259997
17:42:37,5.12,0.93,4.7616
17:42:38,5.08,0.88,4.4704
17:42:39,5.08,0.93,4.7244
17:42:40,5.06,0.95,4.8069997
17:42:41,5.08,0.93,4.7244
17:42:42,5.12,0.88,4.5056
17:42:43,5.14,0.91,4.6774
17:42:44,5.09,0.9,4.581
17:42:45,5.04,0.5,2.52
17:42:46,5.1,0.95,4.845
17:42:47,5.16,0.86,4.4376
17:42:48,5.09,0.92,4.6828003
17:42:49,5.08,0.98,4.9784
17:42:50,5.09,0.95,4.8355002
17:42:51,5.08,0.94,4.7752
17:42:52,5.07,1	,5.07
17:42:53,5.09,0.95,4.8355002
17:42:54,5.09,0.98,4.9882
17:42:55,5.12,0.89,4.5568
17:42:56,5.06,0.95,4.8069997
17:42:57,5.1,0.93,4.743
17:42:58,5.08,0.95,4.8259997
17:42:59,5.12,0.97,4.9664
17:43:00,5.07,0.95,4.8165
