time,voltage,current,power
17:47:20,5.15,0.88,4.532
17:47:21,5.08,0.87,4.4196
17:47:22,5.08,0.95,4.8259997
17:47:23,5.1,0.95,4.845
17:47:24,5.07,0.99,5.0193
17:47:25,5.09,0.95,4.8355002
17:47:26,5.07,0.95,4.8165
17:47:27,5.1,0.93,4.743
17:47:28,5.09,0.93,4.7337003
17:47:29,5.1,0.96,4.896
17:47:30,5.1,0.93,4.743
17:47:31,5.08,0.9,4.572
17:47:32,5.08,0.96,4.8767996
17:47:33,5.09,0.93,4.7337003
17:47:34,5.08,0.97,4.9276
17:47:35,5.12,0.93,4.7616
17:47:36,5.09,0.99,5.0391
17:47:37,5.09,1.01,5.1409
17:47:38,5.09,0.93,4.7337003
17:47:39,5.09,0.85,4.3265004
17:47:40,5.1,0.94,4.7939997
17:47:41,5.07,1,5.07
17:47:42,5.08,0.99,5.0292
17:47:43,5.08,1,5.08
17:47:44,5.08,0.9,4.572
17:47:45,5.08,0.96,4.8767996
17:47:46,5.1,0.96,4.896
17:47:47,5.13,0.91,4.6683
17:47:48,5.13,0.91,4.6683
17:47:49,5.06,0.86,4.3516
17:47:50,5.09,0.97,4.9373
