time,voltage,current,power
17:45:30,5.08,0.98,4.9784
17:45:31,5.04,0.95,4.788
17:45:32,5.1,0.96,4.896
17:45:33,5.12,0.91,4.6592
17:45:34,5.1,0.9,4.5899997
17:45:35,5.13,0.95,4.8735
17:45:36,5.11,0.99,5.0589004
17:45:37,5.08,0.99,5.0292
17:45:38,5.1,0.95,4.845
17:45:39,5.08,0.98,4.9784
17:45:40,5.11,0.86,4.3946004
17:45:41,5.11,0.92,4.7012
17:45:42,5.12,1,5.12
17:45:43,5.08,0.94,4.7752
17:45:44,5.11,0.93,4.7523003
17:45:45,5.12,0.88,4.5056
17:45:46,5.09,0.93,4.7337003
17:45:47,5.12,0.97,4.9664
17:45:48,5.09,0.93,4.7337003
17:45:49,5.12,0.93,4.7616
17:45:50,5.11,0.97,4.9567003
17:45:51,5.12,0.9,4.608
17:45:52,5.09,0.93,4.7337003
17:45:53,5.1,0.9,4.5899997
17:45:54,5.09,0.9,4.581
17:45:55,5.1,0.9,4.5899997
17:45:56,5.08,0.98,4.9784
17:45:57,5.08,0.89,4.5211997
17:45:58,5.09,0.89,4.5301
17:45:59,5.11,0.95,4.8545003
17:46:00,5.1,0.91,4.6410003
