time,voltage,current,power
17:48:50,5.06,0.97,4.9082003
17:48:51,5.12,0.96,4.9151998
17:48:52,5.08,0.98,4.9784
17:48:53,5.08,0.89,4.5211997
17:48:54,5.04,0.97,4.8888
17:48:55,5.08,0.96,4.8767996
17:48:56,5.04,0.97,4.8888
17:48:57,5.11,0.97,4.9567003
17:48:58,5.09,0.95,4.8355002
17:48:59,5.09,0.96,4.8864
17:49:00,5.09,0.94,4.7846003
17:49:01,5.07,0.97,4.9179
17:49:02,5.1,0.93,4.743
17:49:03,5.08,0.89,4.5211997
17:49:04,5.08,0.97,4.9276
17:49:05,5.1,0.96,4.896
17:49:06,5.13,0.96,4.9248
17:49:07,5.18,0.85,4.403
17:49:08,5.12,0.87,4.4544
17:49:09,5.1,0.85,4.335
17:49:10,5.11,0.94,4.8034
17:49:11,5.09,0.98,4.9882
17:49:12,5.08,0.92,4.6736
17:49:13,5.07,0.97,4.9179
17:49:14,5.09,0.94,4.7846003
17:49:15,5.07,0.99,5.0193
17:49:16,5.08,0.94,4.7752
17:49:17,5.08,0.89,4.5211997
17:49:18,5.1,0.94,4.7939997
17:49:19,5.1,0.94,4.7939997
17:49:20,5.08,0.91,4.6228
