time,voltage,current,power
17:54:17,4.68,1.68,7.8623996
17:54:18,4.64,1.7,7.888
17:54:19,4.69,1.65,7.7385
17:54:20,4.67,1.64,7.6588
17:54:21,4.66,1.67,7.7821994
17:54:22,4.66,1.66,7.7355995
17:54:23,4.67,1.68,7.8455997
17:54:24,4.61,1.68,7.7448
17:54:25,4.61,1.67,7.6987
17:54:26,4.7,1.65,7.7549996
17:54:27,4.63,1.65,7.6395
17:54:28,4.59,1.66,7.6194
17:54:29,4.67,1.65,7.7055
17:54:30,4.69,1.68,7.8792
17:54:31,4.64,1.66,7.7023997
17:54:32,4.66,1.7,7.922
17:54:33,4.77,1.7,8.109
17:54:34,4.64,1.67,7.7488
17:54:35,4.63,1.63,7.5469003
17:54:36,4.64,1.65,7.6559997
17:54:37,4.66,1.64,7.6424
17:54:38,4.68,1.67,7.8155994
17:54:39,4.61,1.65,7.6065
17:54:40,4.62,1.65,7.6229997
17:54:41,4.7,1.69,7.943
17:54:42,4.65,1.66,7.719
17:54:43,4.66,1.69,7.8754
17:54:44,4.62,1.66,7.6691995
17:54:45,4.63,1.69,7.8247004
17:54:46,4.63,1.65,7.6395
17:54:47,4.65,1.67,7.7655
17:54:48,4.66,1.69,7.8754
17:54:49,4.64,1.71,7.9344
17:54:50,4.66,1.64,7.6424
17:54:51,4.63,1.69,7.8247004
17:54:52,4.68,1.66,7.7688
17:54:53,4.66,1.7,7.922
17:54:54,4.63,1.7,7.8710003
17:54:55,4.69,1.66,7.7854
17:54:56,4.71,1.68,7.9128
17:54:57,4.66,1.68,7.8287997
17:54:58,4.62,1.66,7.6691995
17:54:59,4.64,1.65,7.6559997
17:55:00,4.63,1.66,7.6858
17:55:01,4.64,1.69,7.8416
17:55:02,4.64,1.68,7.7951994
17:55:03,4.64,1.69,7.8416
17:55:04,4.62,1.68,7.7615995
17:55:05,4.64,1.65,7.6559997
17:55:06,4.66,1.67,7.7821994
17:55:07,4.66,1.7,7.922
17:55:08,4.66,1.66,7.7355995
17:55:09,4.67,1.65,7.7055
17:55:10,4.67,1.67,7.7989
17:55:11,4.62,1.72,7.9464
17:55:12,4.65,1.67,7.7655
17:55:13,4.66,1.65,7.6889997
17:55:14,4.7,1.71,8.037
17:55:15,4.69,1.7,7.9730005
17:55:16,4.61,1.65,7.6065
17:55:17,4.65,1.69,7.8585005
17:55:18,4.64,1.67,7.7488
17:55:19,4.65,1.64,7.626
17:55:20,4.62,1.68,7.7615995
17:55:21,4.68,1.64,7.6751995
17:55:22,4.66,1.66,7.7355995
17:55:23,4.63,1.64,7.5932
17:55:25,4.59,1.63,7.4817004
17:55:26,4.66,1.67,7.7821994
17:55:26,4.69,1.68,7.8792
17:55:28,4.61,1.66,7.6526003
17:55:28,4.62,1.69,7.8078003
17:55:30,4.69,1.66,7.7854
17:55:30,4.65,1.67,7.7655
17:55:32,4.67,1.65,7.7055
17:55:32,4.68,1.68,7.8623996
17:55:34,4.66,1.68,7.8287997
17:55:34,4.68,1.72,8.0496
17:55:36,4.66,1.65,7.6889997
17:55:36,4.67,1.62,7.5654
17:55:38,4.62,1.68,7.7615995
17:55:38,4.66,1.66,7.7355995
17:55:40,4.67,1.68,7.8455997
17:55:40,4.64,1.67,7.7488
17:55:42,4.69,1.7,7.9730005
17:55:43,4.62,1.67,7.7153997
17:55:43,4.65,1.67,7.7655
17:55:45,4.63,1.65,7.6395
17:55:45,4.65,1.65,7.6725
17:55:47,4.66,1.66,7.7355995
17:55:47,4.68,1.69,7.9092
17:55:49,4.64,1.73,8.0272
17:55:50,4.62,1.67,7.7153997
17:55:50,4.64,1.69,7.8416
17:55:52,4.66,1.65,7.6889997
17:55:52,4.66,1.64,7.6424
17:55:54,4.64,1.66,7.7023997
17:55:54,4.62,1.66,7.6691995
17:55:56,4.62,1.67,7.7153997
17:55:56,4.68,1.68,7.8623996
17:55:58,4.61,1.68,7.7448
17:55:58,4.62,1.64,7.5768
17:56:00,4.65,1.65,7.6725
17:56:00,4.68,1.65,7.7219996
17:56:02,4.61,1.66,7.6526003
17:56:02,4.63,1.67,7.7321
17:56:04,4.63,1.67,7.7321
17:56:05,4.67,1.72,8.0324
17:56:05,4.63,1.66,7.6858
17:56:07,4.66,1.72,8.0152
17:56:07,4.6,1.66,7.6359997
17:56:09,4.66,1.66,7.7355995
17:56:09,4.63,1.69,7.8247004
17:56:11,4.67,1.71,7.9857
17:56:11,4.7,1.65,7.7549996
17:56:13,4.65,1.67,7.7655
17:56:14,4.6,1.66,7.6359997
17:56:14,4.58,1.7,7.7860003
17:56:16,4.63,1.66,7.6858
17:56:16,4.62,1.67,7.7153997
17:56:18,4.6,1.67,7.6819997
17:56:18,4.62,1.65,7.6229997
17:56:20,4.62,1.64,7.5768
17:56:21,4.62,1.66,7.6691995
17:56:21,4.66,1.66,7.7355995
17:56:23,4.64,1.68,7.7951994
17:56:24,4.67,1.67,7.7989
17:56:24,4.63,1.68,7.7784
17:56:26,4.62,1.67,7.7153997
17:56:26,4.62,1.69,7.8078003
17:56:28,4.65,1.65,7.6725
17:56:28,4.68,1.67,7.8155994
17:56:30,4.65,1.68,7.812
17:56:30,4.65,1.67,7.7655
17:56:32,4.64,1.68,7.7951994
17:56:32,4.67,1.64,7.6588
17:56:34,4.66,1.73,8.0618
17:56:34,4.63,1.66,7.6858
17:56:36,4.64,1.67,7.7488
