voltage,current,power
4.71,1.7,8.007
4.74,1.66,7.8683996
4.7,1.65,7.7549996
4.74,1.68,7.963199
4.75,1.71,8.1225
4.7,1.66,7.8019996
4.74,1.66,7.8683996
4.71,1.66,7.8185997
4.71,1.66,7.8185997
4.76,1.67,7.9492
4.76,1.67,7.9492
4.7,1.69,7.943
4.7,1.62,7.614
4.7,1.69,7.943
4.71,1.69,7.9599004
4.74,1.68,7.963199
4.67,1.65,7.7055
4.7,1.65,7.7549996
4.72,1.68,7.9295993
4.68,1.67,7.8155994
4.7,1.68,7.8959994
4.74,1.66,7.8683996
4.76,1.68,7.9968
4.66,1.66,7.7355995
4.71,1.65,7.7715
4.69,1.68,7.8792
4.7,1.65,7.7549996
4.65,1.68,7.812
4.74,1.74,8.2476
4.74,1.66,7.8683996
4.72,1.68,7.9295993

