voltage,current,power
4.74,1.66,7.8683996
4.76,1.66,7.9016004
4.74,1.66,7.8683996
4.77,1.68,8.013599
4.75,1.66,7.8849998
4.75,1.68,7.9799995
4.75,1.67,7.9325
4.78,1.69,8.0782
4.76,1.66,7.9016004
4.74,1.71,8.1054
4.7,1.66,7.8019996
4.76,1.7,8.092001
4.72,1.63,7.6935997
4.76,1.64,7.8064003
4.78,1.66,7.9348
4.74,1.69,8.0106
4.77,1.66,7.9182
4.82,1.67,8.0494
4.74,1.66,7.8683996
4.74,1.65,7.8209996
4.78,1.7,8.126
4.78,1.68,8.0304
4.72,1.66,7.8351994
4.79,1.67,7.9992995
4.75,1.7,8.075
4.73,1.68,7.9463997
4.77,1.66,7.9182
4.7,1.68,7.8959994
4.74,1.66,7.8683996
4.78,1.67,7.9826
4.74,1.66,7.8683996
