batch_size,learning_rate,seq_len,final_acc,final_loss,precision,recall,f1_score,training_time_s
4,0.001,4,0.9930174563591022,0.03247836550881708,0.9922813100325782,0.9921875380309115,0.9922164901359308,483.45
4,0.001,8,0.994005994005994,0.016929796376197934,0.9935931685273791,0.9919039793381899,0.9927414597186248,251.24
4,0.001,10,0.9925187032418953,0.025315462607162876,0.9889100974563848,0.9891672695608502,0.9890114717789178,204.79
4,0.0001,4,0.9930174563591022,0.03301016577694245,0.9929133915481958,0.9936056346598515,0.993257151496012,468.56
4,0.0001,8,0.994005994005994,0.020219864628554976,0.9922190571568275,0.9927260514102619,0.9924666701794133,246.13
4,0.0001,10,0.9850374064837906,0.05823446286206007,0.979823579404386,0.9804969863790843,0.9801219595346222,203.85
8,0.001,4,0.9930174563591022,0.026748396410704388,0.9909725471903506,0.9916280272605574,0.9912958997551894,252.05
8,0.001,8,0.996003996003996,0.01282852832521137,0.996095898530109,0.996095898530109,0.996095898530109,139.91
8,0.001,10,0.9912718204488778,0.043024029700298436,0.9857327551409869,0.9867184475662989,0.9862202852089778,121.43
8,0.0001,4,0.9910224438902743,0.038419921328534286,0.9902854858833312,0.9909501642935378,0.9905935521254214,253.4
8,0.0001,8,0.994005994005994,0.02169381353499872,0.9938800483556608,0.9916076303576304,0.9927355259601536,141.02
8,0.0001,10,0.9900249376558603,0.054264623173267204,0.987478054560608,0.9867492510269237,0.987083639029708,115.62
16,0.001,4,0.9935162094763093,0.018370306881683462,0.9934496769716921,0.9927891363433532,0.9931038433187771,143.7
16,0.001,8,0.994005994005994,0.020632887185624726,0.9919039793381899,0.9919039793381899,0.9919039793381899,84.12
16,0.001,10,0.9925187032418953,0.03948867251942251,0.9877688677343661,0.9877688677343661,0.9877688677343661,72.9
16,0.0001,4,0.9910224438902743,0.04109730015107038,0.9905611489217407,0.9916567279217882,0.991088401001478,146.15
16,0.0001,8,0.994005994005994,0.029616202709249237,0.9946938552287897,0.9907855582855584,0.9927202880161468,85.25
16,0.0001,10,0.9887780548628429,0.05539767638468961,0.9853159040320849,0.9835846940648983,0.9844430613869891,74.98
