kernel,C,seq_len,final_acc,precision,recall,f1_score,training_time_s
rbf,1.0,4,0.9885286783042394,0.9912413150619874,0.987608413451787,0.9893943691074337,0.19
rbf,1.0,8,0.9920079920079921,0.9916142199166217,0.9893927180769286,0.9904911670892572,0.06
rbf,1.0,10,0.9900249376558603,0.9846420226799311,0.9850006028941836,0.984819752447562,0.06
rbf,10.0,4,0.9920199501246882,0.9927685729387021,0.9920573201898504,0.9924039232692337,0.15
rbf,10.0,8,0.995004995004995,0.9935651478282175,0.9927485739327845,0.993153385176092,0.05
rbf,10.0,10,0.9900249376558603,0.9856573922168672,0.9850006028941836,0.9853199037593696,0.05
linear,1.0,4,0.9685785536159601,0.9612504377274657,0.9598301285951889,0.9601039861106191,1.01
linear,1.0,8,0.987012987012987,0.9749228929878042,0.9777345826687932,0.9759361975245866,0.32
linear,1.0,10,0.9825436408977556,0.9675161095994118,0.9714193792654915,0.9692549031994009,0.36
linear,10.0,4,0.9730673316708229,0.9726463124880982,0.959969271023488,0.9656763597122828,2.99
linear,10.0,8,0.989010989010989,0.9823600598486182,0.9776335725677832,0.9798776480422311,0.92
linear,10.0,10,0.9875311720698254,0.9833322477150929,0.976509041712749,0.9794003640181681,0.69
