batch_size,learning_rate,seq_len,final_acc,final_loss,precision,recall,f1_score,training_time_s
4,0.01,4,0.9896193771626297,0.04501973582396447,0.9801653893757853,0.9838448835433371,0.9819648688648255,2283.13
4,0.01,8,0.9910802775024777,0.06307958383933797,0.9833167652333754,0.9842172339373797,0.9837609399494438,1166.82
4,0.01,10,0.992583436341162,0.026276656838683115,0.9851079452628897,0.9838760037661702,0.9844837477074873,946.11
4,0.01,20,0.9900497512437811,0.022406117958995563,0.9825238479363423,0.9788329424379915,0.9806601553678649,497.25
4,0.01,30,0.9925650557620818,0.02279639253308906,0.9824696831920208,0.9707559621081536,0.9764171975180156,346.47
4,0.01,40,0.9242424242424242,0.35068724775903143,0.9777291633972668,0.9764826750972071,0.9770084989309799,293.83
4,0.001,4,0.9876421156697973,0.05673273629063185,0.98499930314831,0.9859652886250825,0.985481110022925,2278.49
4,0.001,8,0.9920713577799801,0.04345592290636584,0.9872317040980508,0.9875740767009904,0.9874025638842406,1175.22
4,0.001,10,0.9913473423980222,0.035138723680452934,0.9912215109902576,0.9919477860576957,0.9915764806622955,942.0
4,0.001,20,0.9875621890547264,0.03233018853688692,0.9813162737434131,0.9871679959697448,0.98420295055215,492.07
4,0.001,30,0.9925650557620818,0.023359905676879456,0.9832748538011695,0.9854044508119859,0.9843106197359259,349.51
4,0.001,40,0.98989898989899,0.03986796624671152,0.9887267377732543,0.9872633131099879,0.987981516648919,295.33
4,0.0001,4,0.990608007909046,0.03972004224360861,0.9870081094247772,0.985946770106564,0.9864668888598521,2308.74
4,0.0001,8,0.9910802775024777,0.025527326768439315,0.9836393005126035,0.9850901937820756,0.9843493814289178,1169.27
4,0.0001,10,0.9888751545117429,0.039675931593320335,0.9822664539868942,0.9834019365488768,0.9828201067227562,944.62
4,0.0001,20,1.0,0.0076838832020117275,0.9811975273051942,0.9809952876155823,0.9810860718105617,501.95
4,0.0001,30,0.9888475836431226,0.029299236233363474,0.9652280169049569,0.9784147993105147,0.9713830539721857,347.91
4,0.0001,40,0.9848484848484849,0.05079517634279763,0.9715817525600134,0.9746805337861373,0.9731034681361397,295.29
8,0.01,4,0.9876421156697973,0.07084262406105903,0.9847529244794869,0.9859241730014926,0.9853343876576233,1177.94
8,0.01,8,0.9890981169474727,0.043517819719635205,0.983317919741436,0.9860326573693216,0.9846527875997804,602.78
8,0.01,10,0.9888751545117429,0.050715102569113685,0.985583833866676,0.9844911864080073,0.9850327941578588,501.51
8,0.01,20,0.9825870646766169,0.06202222536985228,0.9819875398385809,0.9781077929852502,0.9800211654929094,299.46
8,0.01,30,0.9888475836431226,0.06034014585074559,0.9713476557356298,0.9629250333922827,0.966357721332451,198.79
8,0.01,40,0.9848484848484849,0.10288871055878411,0.98497174140806,0.9901292903525047,0.9875070218009478,152.6
8,0.001,4,0.9876421156697973,0.04641134857793842,0.9870675718843184,0.9863970590787601,0.9867306158591984,1172.62
8,0.001,8,0.9930624380574826,0.02563704814214563,0.9892827357955719,0.9901195120969163,0.9896875470731769,598.51
8,0.001,10,0.9938195302843016,0.021859249071579254,0.9931534879606578,0.9937373111877316,0.993437499056798,486.12
8,0.001,20,0.9975124378109452,0.021392549457250335,0.9847007336996214,0.9825146535862911,0.9835670895425493,291.1
8,0.001,30,0.9925650557620818,0.02033776632894426,0.9773600232042222,0.9802028410179112,0.9787229639627317,199.92
8,0.001,40,0.9797979797979798,0.09849630230790794,0.9817751667960125,0.9848250271895592,0.9832898638692129,152.98
8,0.0001,4,0.9866534849233811,0.0420244078539482,0.9839589437428538,0.9854758408830574,0.9847145862514697,1189.55
8,0.0001,8,0.9910802775024777,0.02529107525671728,0.9837653906889382,0.9851092123221837,0.9844062078336271,600.05
8,0.0001,10,0.9938195302843016,0.03794446098546259,0.9785176218954935,0.9846760324274793,0.9814669285249205,493.55
8,0.0001,20,0.9825870646766169,0.04866339760920524,0.9686865620026804,0.9736109513028837,0.9711129333349596,291.96
8,0.0001,30,0.9776951672862454,0.07728964649487051,0.9628508388544416,0.9703647469524102,0.9665198413490899,201.23
8,0.0001,40,0.9646464646464646,0.1167759273525779,0.9686333607503229,0.9795683790757682,0.9739444004774542,152.85
16,0.01,4,0.9871478002965892,0.04999499419695028,0.9852329028898887,0.9856257549724045,0.9854267487564078,617.31
16,0.01,8,0.9900891972249752,0.03802531149502172,0.9897417011918561,0.9845275075503017,0.9870895092134748,329.19
16,0.01,10,0.9938195302843016,0.04535815467502982,0.9883209063103485,0.9874658158615444,0.9878681874951758,296.19
16,0.01,20,0.9825870646766169,0.04789866168857092,0.9838837353123067,0.9882816898516226,0.9860605762073308,155.49
16,0.01,30,0.9925650557620818,0.012040261854168779,0.9795818835205897,0.980984040105562,0.9802763717264258,108.54
16,0.01,40,0.98989898989899,0.1367341510485674,0.9925871215367607,0.9912646876932591,0.9918871887803846,65.05
16,0.001,4,0.9891250617894216,0.04560474362297921,0.9875808030520207,0.9868925422610989,0.9872231031935791,619.6
16,0.001,8,0.9940535183349851,0.018723901078993434,0.9875559159653813,0.9867606219910382,0.9871523373781332,331.34
16,0.001,10,0.992583436341162,0.03010565758435567,0.9865101710306997,0.9902903959371542,0.9883845607065003,294.14
16,0.001,20,0.9950248756218906,0.012141846918902912,0.9859829147329148,0.9874126534596056,0.9866934505950345,155.16
16,0.001,30,0.9925650557620818,0.027516146996283564,0.9757015241045517,0.9797996152114596,0.9776843053583177,109.75
16,0.001,40,0.98989898989899,0.09103839015799829,0.9779439133480377,0.9879767613680792,0.9828014849279021,71.76
16,0.0001,4,0.9841819080573406,0.04616754016390916,0.9809458164965439,0.9830767685445521,0.9819922322166981,645.16
16,0.0001,8,0.9900891972249752,0.03604440268764145,0.9810586377082802,0.9840018118331421,0.9824790390340735,330.97
16,0.0001,10,0.9913473423980222,0.05395574427836624,0.9737773647711667,0.9820452905031253,0.9777223481009538,296.24
16,0.0001,20,0.9800995024875622,0.06235865044838457,0.9652435359146965,0.9747619128018381,0.9698684052779646,157.43
16,0.0001,30,0.9776951672862454,0.06785347776619031,0.9624377450241864,0.9726896084708201,0.9674203086551232,108.99
16,0.0001,40,0.9848484848484849,0.08615466479136787,0.9705319869735318,0.982660525025057,0.976418683284982,65.17
32,0.01,4,0.9891250617894216,0.06025198048718856,0.9857156839823866,0.9859747735082787,0.985844923521416,393.11
32,0.01,8,0.9930624380574826,0.027450931910139507,0.9879508447343891,0.9898613133197562,0.9888965201658944,214.17
32,0.01,10,0.9913473423980222,0.02450102806830938,0.9893997887314593,0.9886647382928461,0.9890165109235269,175.48
32,0.01,20,0.8631840796019901,0.6485312812734599,0.962536180973071,0.9654165591690145,0.9634657222114932,93.84
32,0.01,30,0.9814126394052045,0.052461576615165935,0.9851539605280352,0.9821937175249168,0.9836587446370055,53.15
32,0.01,40,0.98989898989899,0.032551329760492374,0.9896131479714688,0.9910093190881368,0.9902978204810746,36.26
32,0.001,4,0.9871478002965892,0.04237201091806873,0.9836513550685119,0.986211613558263,0.9849207160230008,395.64
32,0.001,8,0.9930624380574826,0.021969248615406042,0.985206147873373,0.9884042583286011,0.9867777727506152,213.43
32,0.001,10,0.992583436341162,0.02144975628535757,0.987557683484273,0.9912566069245704,0.9893910251867393,174.77
32,0.001,20,0.9950248756218906,0.01590491724849229,0.9846925149410148,0.9852990306109333,0.9849917704138786,93.99
32,0.001,30,0.9851301115241635,0.030125196834465275,0.9625285428856858,0.9740100649439482,0.9677865647325696,71.36
32,0.001,40,0.9848484848484849,0.03692452950788794,0.9741212096925168,0.9786407352909816,0.9763309671694765,48.84
32,0.0001,4,0.9836875926841325,0.052665096854499174,0.9790027446137357,0.9818172489499808,0.9803578041417675,415.96
32,0.0001,8,0.9900891972249752,0.04144721423950493,0.972913811403967,0.981273365720461,0.9769049096578379,226.83
32,0.0001,10,0.9901112484548825,0.05040267449705798,0.9682081852322862,0.9813355595754445,0.9743732979745002,179.15
32,0.0001,20,0.9850746268656716,0.058625351433730245,0.9678563391957506,0.9722238417358482,0.9699957892059012,88.45
32,0.0001,30,0.9851301115241635,0.10910743156441083,0.963148410729056,0.9707812115242551,0.9667593381082488,56.58
32,0.0001,40,0.9848484848484849,0.10490387949076566,0.9204935596349264,0.8895334969149624,0.9009102929093282,41.36
