kernel,C,seq_len,final_acc,precision,recall,f1_score,training_time_s
rbf,1.0,4,0.980723800796766,0.9731361093124605,0.9808607856919713,0.9769380269041055,1.7
rbf,1.0,5,0.9807421877975034,0.9726783100781617,0.9800058033434126,0.9762994374430347,1.23
rbf,1.0,8,0.9817723655418069,0.9717889051244794,0.9821221652601909,0.9768717586467677,0.46
rbf,1.0,10,0.980233484411482,0.9712378031183864,0.979103525803218,0.9751478853076581,0.35
rbf,1.0,20,0.975649050035184,0.9693726194274348,0.9626513473403236,0.965429148404548,0.11
rbf,1.0,30,0.9702932672449401,0.9590127271404423,0.9521275516803096,0.9541541286518548,0.06
rbf,1.0,40,0.976838739150297,0.9710940780706416,0.9642622566267887,0.9662821848514473,0.04
rbf,10.0,4,0.9874456595007219,0.9819389352065657,0.9850958207504599,0.9835079680196614,1.11
rbf,10.0,5,0.9866677329190182,0.9813737711640228,0.9838999010576142,0.9826304487908096,0.79
rbf,10.0,8,0.9891028270319598,0.983500813669629,0.9867948024902508,0.9851392164689928,0.32
rbf,10.0,10,0.9878917731080896,0.9820670164687422,0.9854768958495103,0.9837405653653356,0.31
rbf,10.0,20,0.9855894226139771,0.9765872352016919,0.9830324131662485,0.9796539403905798,0.07
rbf,10.0,30,0.9829161503510946,0.9703431619384395,0.9817880448165477,0.975773076920086,0.05
rbf,10.0,40,0.986904218059997,0.9766180024560687,0.9897724607084213,0.982963651776334,0.03
linear,1.0,4,0.9357446675484887,0.9128915566748592,0.9029059929188795,0.9045892654268783,3.81
linear,1.0,5,0.9361801509508686,0.9142287508197007,0.903207002363297,0.9049269710968334,2.47
linear,1.0,8,0.9407567535742671,0.9199976009435421,0.9095085789855333,0.9107073665683453,0.99
linear,1.0,10,0.9374853881487585,0.9131018549922213,0.9027474775934703,0.9037502875573573,0.61
linear,1.0,20,0.9473217041344147,0.9310829263564313,0.918099808957289,0.9210100588657573,0.17
linear,1.0,30,0.9443095139749416,0.926360222576633,0.9143428342772717,0.916065217775804,0.08
linear,1.0,40,0.9566976295619511,0.9510003042614719,0.9352407453315704,0.940885021388121,0.05
linear,10.0,4,0.9664887880285804,0.945878997701327,0.9505049637266132,0.9477705974572765,6.66
linear,10.0,5,0.9677817381436548,0.9439049844170528,0.9524618673020978,0.9479860954946735,4.49
linear,10.0,8,0.9768183379289367,0.9574525334605841,0.9718954803521713,0.9643648867939246,1.9
linear,10.0,10,0.9747968075203346,0.9534277343651774,0.9683908771781584,0.960364641473577,1.27
linear,10.0,20,0.9816117921558462,0.9645601027213871,0.9787443251855616,0.9711661942608263,0.38
linear,10.0,30,0.9784606911744458,0.960386029992207,0.9744764220635311,0.967046253269689,0.2
linear,10.0,40,0.9768184356124054,0.965908206796992,0.9696943040539099,0.9669577830039412,0.11
