number,value,params_batch_size,params_dropout_rate,params_learning_rate,params_lstm_hidden,params_lstm_layers,params_seq_len,state
26,0.9914780367083554,8,0.5,0.001,64,2,45,COMPLETE
16,0.9895618125970271,8,0.5,0.001,64,2,30,COMPLETE
40,0.9893544313903455,8,0.5,0.001,64,2,30,COMPLETE
20,0.9892195170581081,8,0.5,0.001,64,2,30,COMPLETE
12,0.9890723188679696,8,0.2,0.001,64,2,30,COMPLETE
13,0.9887010427723565,8,0.2,0.001,64,2,30,COMPLETE
11,0.9885938597839294,8,0.2,0.001,64,2,30,COMPLETE
24,0.9880075544362702,8,0.5,0.001,64,2,30,COMPLETE
14,0.9878017547483549,8,0.2,0.001,64,2,30,COMPLETE
21,0.9877280415952682,8,0.5,0.001,64,2,30,COMPLETE
