experiment_id,config_name,repeat,batch_size,learning_rate,max_seq_len,stride,hidden_dim,num_layers,dropout,post_train_acc,precision,recall,f1_score
A_rep1_bs8_lr0.0005_seq45_stride1_hd64_nl3_do0.3,A,1,8,0.0005,45,1,64,3,0.3,0.9893739146428274,0.9891465600539793,0.9891758710030997,0.9891209699873571
A_rep2_bs8_lr0.0005_seq45_stride1_hd64_nl3_do0.3,A,2,8,0.0005,45,1,64,3,0.3,0.987336839896269,0.9873557343200291,0.9869253126365705,0.9870206459716109
A_rep3_bs8_lr0.0005_seq45_stride1_hd64_nl3_do0.3,A,3,8,0.0005,45,1,64,3,0.3,0.9902565364013339,0.99028902571459,0.9899127547045413,0.9900148220655032
B_rep1_bs8_lr0.0005_seq45_stride1_hd64_nl2_do0.3,B,1,8,0.0005,45,1,64,2,0.3,0.991512557328236,0.991455333512621,0.9913072068861208,0.9913072983586757
B_rep2_bs8_lr0.0005_seq45_stride1_hd64_nl2_do0.3,B,2,8,0.0005,45,1,64,2,0.3,0.989238292893425,0.9890107366230618,0.9889627512360718,0.9889775532844828
B_rep3_bs8_lr0.0005_seq45_stride1_hd64_nl2_do0.3,B,3,8,0.0005,45,1,64,2,0.3,0.9885930394472198,0.9883597997523035,0.988302486854642,0.9883170477461072
C_rep1_bs8_lr0.0005_seq45_stride1_hd64_nl4_do0.3,C,1,8,0.0005,45,1,64,4,0.3,0.9910375095520652,0.990900696368409,0.9907802179877564,0.9908218343098205
C_rep2_bs8_lr0.0005_seq45_stride1_hd64_nl4_do0.3,C,2,8,0.0005,45,1,64,4,0.3,0.9881856152786023,0.9881028814771552,0.9878465056107066,0.9878939271581746
C_rep3_bs8_lr0.0005_seq45_stride1_hd64_nl4_do0.3,C,3,8,0.0005,45,1,64,4,0.3,0.9894080260740404,0.9893989575670716,0.9890507481580861,0.9891474710120344
D_rep1_bs16_lr0.0005_seq45_stride1_hd64_nl4_do0.4,D,1,16,0.0005,45,1,64,4,0.4,0.984315310397314,0.9841837604512591,0.9838664530970146,0.9839272726629795
D_rep2_bs16_lr0.0005_seq45_stride1_hd64_nl4_do0.4,D,2,16,0.0005,45,1,64,4,0.4,0.9847910150490184,0.9846684781875469,0.984336300026229,0.9844137824196745
D_rep3_bs16_lr0.0005_seq45_stride1_hd64_nl4_do0.4,D,3,16,0.0005,45,1,64,4,0.4,0.9906300969075797,0.990592966474936,0.9903380067737972,0.9904013252995145
