trial_number,batch_size,learning_rate,seq_len,dropout_rate,hidden_dim,num_layers,cnn_channels1,cnn_channels2,cnn_kernel_size,tf_heads,final_acc,final_loss,precision,recall,f1_score,training_time_s
0,8,0.01,15,0.3,16,1,,,,,0.9413243922883487,0.13072401432095546,0.9434253159520749,0.9347851829123479,0.9348442155681236,437.81
1,16,0.01,15,0.0,16,1,,,,,0.9547359597652976,0.12077831415818915,0.9497334328897682,0.9476303919700146,0.9478487524812552,230.61
2,16,0.001,10,0.0,16,1,,,,,0.9297658862876255,0.15236440532257453,0.9380041835206249,0.9349645988025326,0.9351455965647893,226.44
3,16,0.0001,5,0.0,16,1,,,,,0.9006677796327212,0.20698867920597722,0.9143582425090553,0.8948226708084357,0.892841564252188,219.84
4,8,0.0001,15,0.0,16,1,,,,,0.914501257334451,0.1742291669621837,0.9252730372514046,0.9104163812269279,0.9095768728655953,424.84
5,8,0.0001,20,0.0,16,1,,,,,0.9177162048698573,0.18079432137246848,0.9248159992329311,0.9050320863673892,0.9034958833351352,434.36
6,8,0.0001,15,0.3,16,1,,,,,0.9103101424979044,0.20108010850371866,0.9245089369224158,0.9043487430419458,0.902757438254467,435.81
7,16,0.01,15,0.0,16,1,,,,,0.9438390611902766,0.13160636924453703,0.9501366979762509,0.9477882893881446,0.9480086977899692,229.92
8,16,0.01,5,0.3,16,1,,,,,0.9332220367278798,0.13781576987197858,0.9404383717711213,0.9390546598197478,0.9392248546283978,219.88
9,16,0.0001,5,0.3,16,1,,,,,0.8939899833055092,0.21734368351489486,0.9070194062802437,0.8852980065875203,0.8824913362799028,220.33
10,16,0.001,10,0.0,16,1,,,,,0.9306020066889632,0.14664270064383153,0.9420348629086439,0.9379720572691154,0.938166076050923,221.23
11,16,0.01,15,0.0,16,1,,,,,0.9547359597652976,0.11073922039733182,0.9523243465842683,0.9518223405920072,0.9519344536003118,229.37
12,16,0.01,15,0.0,16,1,,,,,0.9471919530595139,0.11196710430496926,0.9489516087213448,0.9471854492045353,0.9474141145029202,229.13
13,16,0.01,20,0.0,16,1,,,,,0.9529806884970613,0.12147475079922848,0.9501932292104431,0.9472767336252353,0.9475251695379643,235.68
14,16,0.01,15,0.0,16,1,,,,,0.9480301760268232,0.12512114333324426,0.9474072104545528,0.94427337071638,0.9445108743345542,230.21
15,16,0.01,15,0.0,16,1,,,,,0.9438390611902766,0.14491129836747063,0.9485086418081347,0.9474275540592425,0.9476024535826605,230.92
16,16,0.001,15,0.0,16,1,,,,,0.942162615255658,0.12513330730451108,0.9434808694213083,0.9384441903309828,0.9386315284357134,230.23
17,16,0.01,10,0.0,16,1,,,,,0.9381270903010034,0.12704802981545574,0.9452830597509494,0.9434944836272953,0.9436937553947942,221.85
18,8,0.01,20,0.3,16,1,,,,,0.8110831234256927,0.3112464687535985,0.9212750686278036,0.9120333356014471,0.9116609936185408,451.93
19,16,0.01,15,0.0,16,1,,,,,0.9547359597652976,0.0996225068361507,0.9507211181873648,0.9500902691390364,0.9502138349848575,229.38
20,16,0.001,15,0.0,16,1,,,,,0.9463537300922046,0.11598625979806498,0.9450129028328942,0.9426495239138931,0.9428758021242473,229.27
21,16,0.01,15,0.0,16,1,,,,,0.9480301760268232,0.10758599281130171,0.9435190970202112,0.9408807295739323,0.9410919686984138,228.7
22,16,0.01,15,0.0,16,1,,,,,0.9438390611902766,0.11545770552317086,0.9480415100275937,0.9457299703486935,0.945945030455405,228.64
23,16,0.01,15,0.0,16,1,,,,,0.9463537300922046,0.12931682142307355,0.9479232323643146,0.94479292695882,0.9450172156136263,228.61
24,16,0.01,15,0.0,16,1,,,,,0.9455155071248952,0.12261852422528675,0.954804720012342,0.9524077250492344,0.9526516437537782,229.38
25,16,0.01,15,0.0,16,1,,,,,0.9455155071248952,0.12204386245028,0.9443099273607748,0.9427101200686105,0.9428964568283453,228.65
26,8,0.01,10,0.3,16,1,,,,,0.9339464882943144,0.1453310633148838,0.9426333437360108,0.9386779793160284,0.9388741856134897,424.5
27,16,0.01,5,0.0,16,1,,,,,0.9449081803005008,0.13001698094130804,0.9440503239920996,0.9434541809335267,0.9435712150232831,213.66
28,16,0.01,20,0.0,16,1,,,,,0.927791771620487,0.1362319787761512,0.9413977129328821,0.939265103337187,0.939453660371433,236.73
29,8,0.001,15,0.3,16,1,,,,,0.9446772841575859,0.13514496312941407,0.9397639011063228,0.9370942125659106,0.9372847795125931,436.68
30,16,0.01,15,0.0,16,1,,,,,0.9513830678960603,0.12546806793488294,0.933122677055819,0.9317514770344959,0.9319038722826087,229.23
31,16,0.01,20,0.0,16,1,,,,,0.9529806884970613,0.08555302415485233,0.9508789087325517,0.9497289455264862,0.9498982835288379,236.74
32,16,0.01,20,0.0,16,1,,,,,0.9580184718723762,0.09131512378112529,0.9504625747765234,0.9480020753240568,0.9482305232785432,235.94
33,16,0.01,20,0.0,16,1,,,,,0.9655751469353484,0.08586345814893415,0.9536723433141343,0.9508953378922419,0.95114610561145,234.56
34,16,0.01,20,0.0,16,1,,,,,0.9479429051217464,0.12423397205005904,0.9452293795153458,0.9432541216012797,0.9434694502323537,235.87
35,16,0.0001,20,0.0,16,1,,,,,0.9252728799328296,0.17485179686123203,0.9195535542823057,0.9054220114445595,0.9044584740082179,240.02
36,8,0.01,20,0.0,16,1,,,,,0.947103274559194,0.12871605742981887,0.9450165160853761,0.9445086720044369,0.9446357330134945,436.56
37,16,0.0001,20,0.0,16,1,,,,,0.9210747271200672,0.18577383301965608,0.9255898808849292,0.9080447452833398,0.9068660550013915,235.6
38,16,0.001,20,0.3,16,1,,,,,0.9403862300587741,0.14222994057257338,0.9453797062006084,0.9380026632621147,0.9381344414007814,241.76
39,8,0.01,5,0.0,16,1,,,,,0.9424040066777963,0.11612015362606382,0.9460709129416067,0.9439169435915906,0.9441204359161903,397.88
