batch_size,learning_rate,seq_len,final_acc,final_loss,precision,recall,f1_score,training_time_s
8,0.1,10,0.777591973,0.307357465,0.827101352,0.827215582,0.827042354,157.76
8,0.01,10,0.908026756,0.246328829,0.928512779,0.923782488,0.923858657,133.31
8,0.001,10,0.918060201,0.199961819,0.936029602,0.933985413,0.934149009,129.62
8,0.0001,10,0.904682274,0.176879457,0.924656941,0.922697065,0.922830569,134.23
16,0.1,10,0.897993311,0.201641471,0.872093094,0.867605087,0.866984372,79.73
16,0.01,10,0.928093645,0.209979543,0.934106074,0.931149422,0.931313321,72.43
16,0.001,10,0.906354515,0.185722881,0.928437018,0.927673118,0.927785632,74.23
16,0.0001,10,0.904682274,0.184127874,0.925555056,0.918874459,0.918789772,80.45
32,0.1,10,0.906354515,0.191657533,0.912349212,0.891102498,0.888739784,47.02
32,0.01,10,0.906354515,0.236600455,0.928471207,0.9276434,0.927780838,44.51
32,0.001,10,0.914715719,0.186618276,0.933282842,0.931636419,0.931796311,46.09
32,0.0001,10,0.906354515,0.195856871,0.919940765,0.90759359,0.906864008,47.85
8,0.1,20,0.899328859,0.415099563,0.869191454,0.864138433,0.863382943,82.01
8,0.01,20,0.926174497,0.253856368,0.91707756,0.912258966,0.912199985,69.86
8,0.001,20,0.929530201,0.198498371,0.922502369,0.921705112,0.921885467,65.22
8,0.0001,20,0.919463087,0.158328115,0.920787941,0.914920857,0.914854677,65.76
16,0.1,20,0.919463087,0.20323446,0.916968641,0.884934222,0.880745172,38.7
16,0.01,20,0.94295302,0.236394396,0.927207546,0.924077912,0.924211536,37.55
16,0.001,20,0.936241611,0.153994753,0.92070657,0.920361026,0.920408482,37.05
16,0.0001,20,0.946308725,0.162163344,0.919890826,0.909848621,0.909391923,40.73
32,0.1,20,0.922818792,0.313199636,0.923296045,0.903248333,0.901732484,25.1
32,0.01,20,0.946308725,0.190334739,0.917947716,0.91295729,0.912814806,22.06
32,0.001,20,0.932885906,0.163778822,0.929727748,0.926094041,0.926208515,21.6
32,0.0001,20,0.926174497,0.181411967,0.910884587,0.89440665,0.892797242,21.51
8,0.1,30,0.869346734,4.568018405,0.907449768,0.883221942,0.879875614,47.31
8,0.01,30,0.884422111,0.391744077,0.888596709,0.886040708,0.887090003,62.07
8,0.001,30,0.894472362,0.286120619,0.912797215,0.912375282,0.912444311,45.92
8,0.0001,30,0.894472362,0.235852976,0.912457912,0.904477157,0.90398227,47.31
16,0.1,30,0.768844221,0.717221312,0.854963062,0.855037945,0.854974456,25.8
16,0.01,30,0.924623116,0.267668056,0.928406727,0.924317754,0.924358783,24.43
16,0.001,30,0.91959799,0.226628617,0.920663826,0.918278759,0.918347816,24.05
16,0.0001,30,0.869346734,0.245858292,0.915521461,0.898942117,0.897354497,24.14
32,0.1,30,0.869346734,0.355403657,0.912141647,0.905590941,0.905251792,15.27
32,0.01,30,0.894472362,0.458277512,0.881889006,0.871604107,0.872145604,15.59
32,0.001,30,0.924623116,0.209523641,0.919438386,0.918448156,0.918541841,14.98
32,0.0001,30,0.864321608,0.264300841,0.908868165,0.8916877,0.889709348,14.75
8,0.1,40,0.878378378,4.052093229,0.906675384,0.884133983,0.881572292,37.27
8,0.01,40,0.945945946,0.28797495,0.899983982,0.899650774,0.899685481,33.11
8,0.001,40,0.939189189,0.239390068,0.923086874,0.92267689,0.922765957,32.66
8,0.0001,40,0.898648649,0.205012453,0.921682812,0.913612208,0.91338516,32.48
16,0.1,40,0.871621622,0.245693542,0.892242606,0.868721531,0.86495739,19.65
16,0.01,40,0.898648649,0.440551365,0.919938419,0.918357121,0.918459989,18.95
16,0.001,40,0.925675676,0.204133706,0.914837013,0.913695718,0.913128205,18.86
16,0.0001,40,0.878378378,0.227447507,0.910773109,0.895247495,0.893792571,18.76
32,0.1,40,0.945945946,0.646649664,0.882209279,0.882099364,0.881175265,12.03
32,0.01,40,0.925675676,0.348510853,0.91598082,0.915936291,0.915883497,11.83
32,0.001,40,0.912162162,0.219689236,0.919127195,0.918463407,0.918500425,11.93
32,0.0001,40,0.864864865,0.264486255,0.903232417,0.886926814,0.88501242,12.12
