batch_size,learning_rate,seq_len,final_acc,final_loss,precision,recall,f1_score,training_time_s
8,0.1,10,0.879598662,0.295919909,0.911432124,0.860776059,0.851025972,123.95
8,0.01,10,0.908026756,0.208979272,0.927920558,0.924609536,0.924730673,118.61
8,0.001,10,0.919732441,0.195377101,0.939405198,0.935524906,0.935723292,118.35
8,0.0001,10,0.903010033,0.185285435,0.930371876,0.9251288,0.925179851,117.54
16,0.1,10,0.892976589,0.213391316,0.9106472,0.864991289,0.856591334,67.55
16,0.01,10,0.911371237,0.219027893,0.915657378,0.915042039,0.915136891,66.1
16,0.001,10,0.921404682,0.180903317,0.932477153,0.929820209,0.929979024,65.7
16,0.0001,10,0.908026756,0.182199608,0.923598693,0.918279032,0.918268163,65.75
32,0.1,10,0.887959866,0.228549432,0.91811878,0.889495218,0.886099131,39.93
32,0.01,10,0.919732441,0.207460645,0.931988773,0.930256281,0.930413749,38.42
32,0.001,10,0.914715719,0.18742964,0.934474894,0.931111565,0.931271112,38.49
32,0.0001,10,0.906354515,0.196385561,0.920856112,0.911151198,0.910733446,38.34
8,0.1,20,0.906040268,0.204875202,0.918334165,0.879242506,0.873561055,65.91
8,0.01,20,0.919463087,0.336136584,0.927731405,0.925553403,0.925706187,62.32
8,0.001,20,0.953020134,0.176467843,0.929964257,0.92837298,0.928503868,60.83
8,0.0001,20,0.929530201,0.162040256,0.920711416,0.917173515,0.917249197,61.25
16,0.1,20,0.88590604,0.303120485,0.88661093,0.87460203,0.872336591,35.47
16,0.01,20,0.953020134,0.216327056,0.933708079,0.930982309,0.931157534,33.72
16,0.001,20,0.94295302,0.152437955,0.92273612,0.921573707,0.921672276,33.87
16,0.0001,20,0.936241611,0.166921946,0.914064994,0.904367153,0.903816042,33.76
32,0.1,20,0.899328859,0.247727086,0.914100248,0.886435994,0.882941696,20.72
32,0.01,20,0.895973154,0.209553765,0.914090367,0.913430348,0.91349084,20.31
32,0.001,20,0.946308725,0.154802211,0.932352161,0.929611942,0.929758836,20.11
32,0.0001,20,0.926174497,0.186181811,0.910578156,0.892983721,0.891174717,20.12
8,0.1,30,0.768844221,1.501341447,0.863849141,0.860450781,0.85980368,45.99
8,0.01,30,0.904522613,0.293029642,0.91787448,0.9140269,0.913996972,42.24
8,0.001,30,0.91959799,0.263160918,0.924713124,0.923576644,0.9236822,41.35
8,0.0001,30,0.889447236,0.250040728,0.913627214,0.90008978,0.89889043,41.56
16,0.1,30,0.859296482,0.414518011,0.909672619,0.886322057,0.883207591,24.83
16,0.01,30,0.899497487,0.272008874,0.915768031,0.911968729,0.91192461,23.17
16,0.001,30,0.894472362,0.241452025,0.902508475,0.902423221,0.90225965,23.23
16,0.0001,30,0.879396985,0.237057404,0.910252053,0.89377975,0.891986822,23.19
32,0.1,30,0.91959799,1.57333369,0.886353888,0.880930851,0.880297452,14.89
32,0.01,30,0.924623116,0.290943401,0.922069596,0.919345196,0.919386032,14.57
32,0.001,30,0.91959799,0.230609477,0.91679865,0.914128538,0.914163876,14.3
32,0.0001,30,0.859296482,0.261993751,0.907491639,0.88959565,0.887421329,14.28
8,0.1,40,0.891891892,5.416026836,0.892856216,0.887564531,0.88701165,36.55
8,0.01,40,0.905405405,0.411432976,0.919792038,0.912367142,0.912421959,32.94
8,0.001,40,0.918918919,0.238763107,0.921539162,0.921591254,0.92148522,31.79
8,0.0001,40,0.885135135,0.202145028,0.918469811,0.907941087,0.907403686,31.71
16,0.1,40,0.905405405,19.27418724,0.899547804,0.887086244,0.885709732,19.14
16,0.01,40,0.959459459,0.214625802,0.915395083,0.914249924,0.914365944,18.26
16,0.001,40,0.925675676,0.230438339,0.93791239,0.937966899,0.937929249,18.16
16,0.0001,40,0.885135135,0.245279306,0.91322314,0.895141209,0.893379963,18.05
32,0.1,40,0.912162162,0.607335186,0.897999039,0.88870331,0.887550996,11.28
32,0.01,40,0.945945946,0.207475181,0.928358896,0.926571515,0.926728111,11.24
32,0.001,40,0.918918919,0.194083853,0.924547697,0.924028242,0.924129571,11.14
32,0.0001,40,0.871621622,0.262223108,0.907024793,0.889629517,0.887693561,11.08
