trial_number,batch_size,learning_rate,seq_len,dropout_rate,hidden_dim,num_layers,cnn_channels1,cnn_channels2,cnn_kernel_size,tf_heads,final_acc,final_loss,precision,recall,f1_score,training_time_s
0,16,0.01,10,0.0,,,16,32,3,,0.9434404283801874,0.11131965439328757,0.9506242560317754,0.9497623815430603,0.9499149684735284,714.98
1,16,0.01,15,0.3,,,16,32,3,,0.9483568075117371,0.11401699422157013,0.9547340878975895,0.9501604056321037,0.9504349056870723,748.81
2,16,0.01,15,0.3,,,16,32,3,,0.9496981891348089,0.10632162194329699,0.9550034063469698,0.947133052071979,0.9473695254326544,741.17
3,8,0.001,10,0.3,,,16,32,3,,0.964190093708166,0.09070757676369476,0.9627057137246859,0.961266430687233,0.9614827224194278,1352.24
4,16,0.001,20,0.3,,,16,32,3,,0.9747983870967742,0.06619968241378996,0.9690220569229203,0.9670207692699628,0.9672900613454445,760.46
5,8,0.01,15,0.0,,,16,32,3,,0.9490274983232729,0.17633176006270224,0.9519018384773198,0.9463126257098026,0.9465574245114042,1342.52
6,16,0.0001,15,0.3,,,16,32,3,,0.926224010731053,0.1605979847919187,0.9398870488676572,0.9365776676154035,0.936766726145019,760.7
7,16,0.01,20,0.3,,,16,32,3,,0.9596774193548387,0.09852916420409577,0.9581181149527944,0.9559870496504512,0.9562343745062435,758.71
8,16,0.0001,10,0.0,,,16,32,3,,0.9464524765729585,0.13681134421482974,0.9421161778270148,0.9366734605428072,0.936839499362772,701.18
9,16,0.0001,15,0.0,,,16,32,3,,0.9362843729040912,0.13957852980616858,0.9406988772788961,0.9378593105008199,0.9380545230567661,708.6
10,8,0.001,20,0.3,,,16,32,3,,0.9737903225806451,0.06631822103151232,0.9710184616267877,0.96917287076807,0.9694365340867755,1394.07
11,8,0.001,20,0.3,,,16,32,3,,0.9737903225806451,0.06457812514104472,0.9690671658175369,0.9675602851505621,0.9677951020674693,1400.1
12,8,0.001,20,0.3,,,16,32,3,,0.9704301075268817,0.066258926589774,0.9693482072421349,0.9682322526057074,0.9684332598837118,1449.01
13,8,0.001,5,0.3,,,16,32,3,,0.9498997995991983,0.11389549419090639,0.9489343874479933,0.9445045270639782,0.9447452732458115,1354.05
14,8,0.001,20,0.3,,,16,32,3,,0.969758064516129,0.06851742169031692,0.9695498727775821,0.9685203224777552,0.9687128791408527,1382.67
15,8,0.001,20,0.3,,,16,32,3,,0.9758064516129032,0.061987438251328644,0.969585448392555,0.9681158322520302,0.968348593387485,1386.81
16,16,0.001,5,0.3,,,16,32,3,,0.9472277889111557,0.12261144006383036,0.9475267946284349,0.9419451730072304,0.9421644763049951,711.35
17,8,0.001,20,0.3,,,16,32,3,,0.9704301075268817,0.06066198860723046,0.9666952405384787,0.9653818561102725,0.9655969891066157,1379.23
18,8,0.001,20,0.0,,,16,32,3,,0.9761424731182796,0.05580135962178448,0.9715934386262456,0.9715766453994636,0.9715846043182816,1335.69
19,8,0.001,20,0.0,,,16,32,3,,0.9768145161290323,0.06046593251931822,0.9709176646937724,0.9698988939101121,0.9700919035221178,1334.4
20,8,0.0001,5,0.0,,,16,32,3,,0.9338677354709419,0.1485094773527116,0.9340257872179648,0.9312761959955881,0.9314346552226711,1311.65
