trial_number,batch_size,learning_rate,seq_len,dropout_rate,hidden_dim,num_layers,cnn_channels1,cnn_channels2,cnn_kernel_size,tf_heads,final_acc,final_loss,precision,recall,f1_score,training_time_s
0,16,0.0001,5,0.0,16,1,,,,,0.8904475617902472,0.22690961173563873,0.9105760820848419,0.8863641470274758,0.88328123105699,386.44
1,8,0.0001,20,0.0,16,1,,,,,0.8978494623655914,0.21123405709721937,0.9227346091526534,0.8993246064410432,0.8971725686714069,1694.33
2,16,0.01,10,0.0,16,1,,,,,0.9491298527443106,0.10138110897840218,0.941996267494088,0.9413292465755403,0.9414520788593366,546.21
3,8,0.001,20,0.0,16,1,,,,,0.9428763440860215,0.12454708369851412,0.9505656745513764,0.9445251047509542,0.9447620825369046,1694.51
4,16,0.01,15,0.0,16,1,,,,,0.9631120053655265,0.09308077214938408,0.9471987445574503,0.9460522858327548,0.9462232873195486,716.24
5,16,0.001,5,0.3,16,1,,,,,0.9338677354709419,0.17121163542582923,0.9385111090032181,0.9350904721227851,0.9352671695153705,388.58
6,16,0.01,15,0.0,16,1,,,,,0.95439302481556,0.08635973426289864,0.9575394721481798,0.9557183184833757,0.9559486809386171,706.62
7,16,0.01,10,0.3,16,1,,,,,0.9364123159303882,0.15755764517376034,0.9378795312233801,0.9313139198803461,0.9314036377621571,551.63
8,8,0.001,20,0.3,16,1,,,,,0.9422043010752689,0.13294818242535303,0.9455055195907464,0.9415026783836287,0.9417274827055157,1714.8
9,16,0.001,20,0.3,16,1,,,,,0.928763440860215,0.16353006055886307,0.9309469261865928,0.9225945892938431,0.9224782230566407,889.09
10,8,0.01,15,0.0,16,1,,,,,0.9550637156270959,0.10287403438725724,0.9475210245698895,0.9449147332793335,0.9451396632829534,1363.67
11,8,0.01,15,0.0,16,1,,,,,0.9490274983232729,0.1077900758099414,0.9460071139000532,0.9451298889146031,0.9452694973661603,1366.63
12,8,0.01,15,0.0,16,1,,,,,0.9537223340040242,0.10013663057177272,0.9479400645636286,0.9472326170895894,0.9473747639404089,1353.68
13,8,0.01,15,0.0,16,1,,,,,0.937625754527163,0.14739627640968814,0.9401404806063819,0.9381082459339022,0.9383004202643538,1364.25
14,16,0.01,15,0.0,16,1,,,,,0.9624413145539906,0.0878357924864991,0.9501692782895842,0.9467646498688574,0.9470110560253748,713.79
15,16,0.01,15,0.0,16,1,,,,,0.9570757880617036,0.09641743007072012,0.9565191807596226,0.9558977598388624,0.9560344860637024,714.7
16,16,0.0001,15,0.0,16,1,,,,,0.8799463447350772,0.23178495027677073,0.9197117360407139,0.8935267326846543,0.8906884272897895,707.05
17,16,0.01,15,0.0,16,1,,,,,0.9537223340040242,0.08408882099195956,0.9510958482841778,0.9494146199760858,0.9496225765121113,710.44
18,16,0.01,5,0.3,16,1,,,,,0.9438877755511023,0.17263601175363485,0.9403532724911603,0.9352473772231253,0.9353995260350115,387.35
19,16,0.0001,10,0.0,16,1,,,,,0.893574297188755,0.22432985898701582,0.922660952247562,0.8962464056346223,0.893570770444127,544.57
20,16,0.01,15,0.0,16,1,,,,,0.9429912810194501,0.13588712714193876,0.9504531366838365,0.9481119549071527,0.9483391308525544,711.12
21,16,0.01,15,0.0,16,1,,,,,0.9590878604963112,0.09096794468557633,0.949683308155725,0.9483626475352928,0.9485487166399631,708.66
22,16,0.01,15,0.0,16,1,,,,,0.9409792085848424,0.12647260754253395,0.954360606722322,0.9516378948738718,0.9518920310579875,711.04
23,16,0.01,15,0.0,16,1,,,,,0.9664654594232059,0.08245989302828331,0.9471699640071874,0.9471268586554039,0.9471439076459631,713.37
24,16,0.01,15,0.0,16,1,,,,,0.9590878604963112,0.09403513079488716,0.9491012292661198,0.9481565529940152,0.9483193203355882,710.21
25,16,0.01,15,0.0,16,1,,,,,0.9329309188464118,0.12394770376603143,0.94702423661076,0.9449814740639647,0.9451978006193896,707.24
26,16,0.01,15,0.3,16,1,,,,,0.9510395707578806,0.10043263054112235,0.9277621382701926,0.9240527727956491,0.9241553205062512,766.91
27,16,0.01,5,0.0,16,1,,,,,0.9398797595190381,0.13598557843800926,0.9425641790329206,0.9407592217043572,0.9409407092419084,519.35
28,16,0.001,10,0.0,16,1,,,,,0.9444444444444444,0.12622197982899286,0.939075650701638,0.934588758041417,0.9347540438375057,745.96
29,16,0.0001,5,0.0,16,1,,,,,0.8837675350701403,0.23957234021273824,0.9056426271518884,0.8846847276222729,0.8819468091969628,428.71
30,16,0.0001,15,0.0,16,1,,,,,0.8940308517773307,0.19977876010967235,0.914695618979055,0.8915525083184715,0.8889616271211096,767.29
31,16,0.01,15,0.0,16,1,,,,,0.95439302481556,0.09734979191309552,0.9493195742030976,0.9485946781223482,0.9487342657791045,720.02
32,16,0.01,15,0.0,16,1,,,,,0.9470154258886653,0.11193753441427402,0.9442940298074693,0.9438443791946309,0.9439484037220548,711.59
33,16,0.01,15,0.0,16,1,,,,,0.9423205902079141,0.11603116591786779,0.9483794597078417,0.9458936254756749,0.9461208776084593,713.47
34,16,0.01,20,0.0,16,1,,,,,0.9663978494623656,0.0866075869347896,0.9498710814807291,0.9493529360132424,0.9494721227115346,885.11
35,16,0.01,20,0.0,16,1,,,,,0.9502688172043011,0.11362107429966209,0.9544046244077746,0.9530655260583638,0.9532618433217397,885.49
36,16,0.01,20,0.0,16,1,,,,,0.9650537634408602,0.08310861834920272,0.9553213759703933,0.9546944764598204,0.9548259730787249,884.94
37,16,0.001,20,0.3,16,1,,,,,0.9381720430107527,0.13610656020320078,0.942868075325488,0.9372469709149726,0.937414357519647,887.47
38,8,0.0001,20,0.0,16,1,,,,,0.8790322580645161,0.22387277261099303,0.9210625485107151,0.8975290208262918,0.8952645114149183,1690.42
39,16,0.01,20,0.0,16,1,,,,,0.9711021505376344,0.06720760900355394,0.9506546974933747,0.9478035868670036,0.9480500319382292,869.13
