trial_number,batch_size,learning_rate,seq_len,dropout_rate,hidden_dim,num_layers,cnn_channels1,cnn_channels2,cnn_kernel_size,tf_heads,final_acc,final_loss,precision,recall,f1_score,training_time_s
0,8,0.01,20,0.3,16,1,,,,,0.8733198924731183,0.24573595261789002,0.917790512363045,0.9107925369513296,0.9107175761954067,1200.74
1,16,0.001,20,0.3,16,1,,,,,0.9680779569892473,0.07352605902838115,0.9568784922482605,0.9545930337361239,0.9548429741541851,615.44
2,8,0.01,5,0.3,16,1,,,,,0.9555778223112893,0.10499021015525557,0.9511213934359378,0.948483917570355,0.9487219436390087,1043.32
3,16,0.001,15,0.0,16,1,,,,,0.9587525150905433,0.08860596105019407,0.9587809670195189,0.9561706218309992,0.9564359170756677,571.79
4,8,0.001,15,0.0,16,1,,,,,0.9567404426559356,0.08566076654042028,0.9596046995443228,0.9594190475898093,0.9594795764974147,1050.18
5,16,0.001,5,0.0,16,1,,,,,0.9532398129592519,0.10688042800196983,0.950348411350066,0.9478024115787428,0.9480309028335427,533.13
6,16,0.01,10,0.3,16,1,,,,,0.9521419009370816,0.10025753990438425,0.946501335616441,0.9419607685263033,0.9421796874004221,577.57
7,8,0.01,15,0.3,16,1,,,,,0.9218645204560697,0.16370061233122984,0.9243463365578298,0.9164354442378262,0.9162433572598027,1140.0
8,8,0.0001,5,0.3,16,1,,,,,0.9124916499665998,0.18355302874328006,0.9193213282096694,0.906440122826101,0.9056145323189151,1068.59
9,16,0.001,10,0.3,16,1,,,,,0.9538152610441767,0.1116301445862247,0.953647638124929,0.9509717774889936,0.9512200906686581,570.09
10,16,0.0001,20,0.0,16,1,,,,,0.9129704301075269,0.19274240502311693,0.9309698631832047,0.9209702220256903,0.9207290545503435,588.51
11,16,0.001,15,0.0,16,1,,,,,0.9396378269617707,0.13846862721736514,0.9550721110508812,0.9529157634818012,0.9531523801064833,574.68
12,16,0.001,20,0.0,16,1,,,,,0.9680779569892473,0.07529405423414823,0.9598010761435745,0.9578717649558525,0.958117312209998,593.44
13,16,0.001,20,0.0,16,1,,,,,0.9603494623655914,0.08972623181314845,0.9464809537367491,0.9452949598877003,0.9454693141008248,589.09
14,16,0.001,20,0.3,16,1,,,,,0.957997311827957,0.09695587671990225,0.9527632274338429,0.9505351285878042,0.9507700270913912,606.45
15,16,0.001,20,0.0,16,1,,,,,0.9674059139784946,0.0745195671156844,0.9594104429852552,0.9591959123344148,0.9592616149156341,593.77
16,16,0.0001,20,0.3,16,1,,,,,0.9200268817204301,0.1783134362288702,0.9416218373472611,0.9350985770559652,0.9352262201061154,613.02
17,16,0.001,20,0.0,16,1,,,,,0.9506048387096774,0.0867080187489632,0.9595995679680503,0.9585362178491693,0.9587183009143081,607.14
18,16,0.001,20,0.3,16,1,,,,,0.9512768817204301,0.10048563844192025,0.9580847972885804,0.9551491675764905,0.9554245299833881,605.83
19,16,0.0001,10,0.0,16,1,,,,,0.9350736278447122,0.16158280148863088,0.9338556113060249,0.9290336320970408,0.9291451270107879,566.04
20,16,0.001,20,0.3,16,1,,,,,0.9576612903225806,0.09147893704387061,0.9562212285915839,0.9520899825514266,0.9523752384094047,607.21
21,16,0.001,20,0.0,16,1,,,,,0.949260752688172,0.13419442314938795,0.9571021250831387,0.9559755798513407,0.9561586194159846,592.87
22,16,0.001,20,0.0,16,1,,,,,0.9435483870967742,0.11061432138470947,0.9532609347192968,0.95101544062085,0.9512525072673619,592.51
23,16,0.001,20,0.0,16,1,,,,,0.9633736559139785,0.0943533666962122,0.95621843257853,0.9542923921783053,0.9545238711097714,591.91
24,16,0.001,20,0.0,16,1,,,,,0.9640456989247311,0.077746193659482,0.9596560495066571,0.9582069626918668,0.9584190032577103,591.25
25,16,0.001,20,0.0,16,1,,,,,0.9623655913978495,0.07806492111749627,0.9572149595417702,0.9555607933043022,0.9557801217116539,588.44
26,8,0.001,20,0.0,16,1,,,,,0.9653897849462365,0.07898669284894817,0.9642584173295282,0.9637166154083994,0.9638453939529208,1089.71
27,16,0.001,10,0.0,16,1,,,,,0.9591700133868809,0.08568772896381276,0.9567641999745091,0.9545133707580705,0.9547590201453113,557.99
28,16,0.0001,5,0.3,16,1,,,,,0.9121576486305946,0.17957510779555985,0.9170376346228372,0.9003032995785933,0.8988708687497609,552.3
29,8,0.01,20,0.3,16,1,,,,,0.925739247311828,0.1561269539875048,0.915477558221218,0.909246536801172,0.9088553922974174,1127.99
30,16,0.001,20,0.0,16,1,,,,,0.9529569892473119,0.11393982814773855,0.9583575702722782,0.9572114033878381,0.9574000689964027,589.93
31,8,0.001,20,0.0,16,1,,,,,0.967741935483871,0.07743850835268672,0.9621734532890369,0.9618400120965691,0.9619307194836738,1086.8
32,8,0.001,20,0.0,16,1,,,,,0.9616935483870968,0.08234343020035939,0.9633273741051387,0.9628312264107304,0.9629526869346989,1090.0
33,8,0.01,20,0.0,16,1,,,,,0.9546370967741935,0.09878258707377628,0.9433055480665319,0.9422496891268588,0.9424087971529019,1098.74
34,8,0.001,20,0.0,16,1,,,,,0.9711021505376344,0.06331476181470529,0.9624501781963621,0.9612693085361577,0.9614660404295831,1101.85
35,8,0.001,5,0.0,16,1,,,,,0.9595858383433534,0.09110048901942051,0.954481730429475,0.9524463478999657,0.9526726566672497,1008.24
