trial_number,batch_size,learning_rate,seq_len,dropout_rate,hidden_dim,num_layers,cnn_channels1,cnn_channels2,cnn_kernel_size,tf_heads,final_acc,final_loss,precision,recall,f1_score,training_time_s
0,16,0.001,5,0.0,16,,,,,,0.9323873121869783,0.14760019100077507,0.9389250854880932,0.935777991577488,0.9359580205808634,126.22
1,16,0.01,15,0.3,16,,,,,,0.9170854271356784,0.16982498154756465,0.9166454187643166,0.9120639157558253,0.9120339739913519,45.39
2,8,0.01,10,0.3,16,,,,,,0.9096989966555183,0.2051199814656803,0.9268084041935121,0.914065900089028,0.9134817261483409,121.39
3,8,0.0001,20,0.3,16,,,,,,0.8624161073825504,0.26224182956932496,0.8658055401576743,0.8638868865261007,0.8638252294537627,62.51
4,8,0.01,10,0.3,16,,,,,,0.9096989966555183,0.21258637329115376,0.9228036908086852,0.919445309709338,0.91953850952868,121.13
5,16,0.01,10,0.3,16,,,,,,0.9080267558528428,0.19491595780962837,0.9297231447951072,0.9207698315915238,0.9205936117564878,67.43
6,8,0.0001,20,0.3,16,,,,,,0.8825503355704698,0.24388619329063096,0.864161939592974,0.862569081516189,0.8625501006428873,62.6
7,8,0.0001,10,0.0,16,,,,,,0.8862876254180602,0.22320652298368798,0.8994146601575558,0.888074885706824,0.8868694245832747,116.47
8,8,0.0001,5,0.0,16,,,,,,0.9006677796327212,0.2065523377609919,0.9109577205998663,0.9012582921915709,0.900632897429234,226.94
9,16,0.001,10,0.3,16,,,,,,0.9063545150501672,0.19915033914933314,0.9141109619724691,0.894915032435363,0.8929601631933193,67.56
10,16,0.001,5,0.0,16,,,,,,0.9340567612687813,0.1505220921312591,0.9387985512476473,0.9361700446614756,0.9363514940083197,125.66
11,16,0.001,5,0.0,16,,,,,,0.9323873121869783,0.14267302430248577,0.9406478173472017,0.9372996476097147,0.9374873473018386,126.09
12,16,0.001,5,0.0,16,,,,,,0.9323873121869783,0.15233156638572004,0.9377857023963397,0.9359103094933339,0.9360817666401128,126.08
13,16,0.001,5,0.0,16,,,,,,0.9365609348914858,0.1476740487754459,0.9351122100327571,0.9335779555114129,0.9337437278960041,126.45
14,16,0.001,5,0.0,16,,,,,,0.8889816360601002,0.21998545791764204,0.9250687686011991,0.9246929034191229,0.9247756441996342,126.29
15,16,0.001,15,0.0,16,,,,,,0.9296482412060302,0.1703355072519395,0.9343678869230861,0.9329454431099895,0.9330910804622452,43.8
16,16,0.001,5,0.0,16,,,,,,0.9298831385642737,0.15732362815846843,0.9367101232625851,0.933918752599102,0.934093637454982,126.19
17,16,0.001,5,0.0,16,,,,,,0.9332220367278798,0.1408880092177319,0.9391140132132306,0.9365162034567076,0.9367207593701112,125.59
18,16,0.001,5,0.0,16,,,,,,0.9415692821368948,0.13964564506589874,0.9360721983513819,0.9338228514328921,0.9340059782620402,125.78
19,16,0.001,20,0.0,16,,,,,,0.9429530201342282,0.13653831776669878,0.9202066697687831,0.9188672608167434,0.9189988787176224,33.4
20,16,0.001,20,0.0,16,,,,,,0.9362416107382551,0.1397282172492149,0.9232067957506079,0.9223851619400689,0.9225071218080054,33.21
21,16,0.001,20,0.0,16,,,,,,0.959731543624161,0.11971667688017658,0.9238410314498008,0.9230834859624153,0.92320268223977,33.64
22,16,0.001,20,0.0,16,,,,,,0.9463087248322147,0.1195303108673661,0.9272697473417519,0.9256928149706449,0.925846335156275,33.32
23,16,0.001,20,0.0,16,,,,,,0.9664429530201343,0.11196650629104295,0.9299384126390693,0.9268449270138763,0.9270166755726246,33.78
24,16,0.001,20,0.0,16,,,,,,0.9530201342281879,0.13725648414972222,0.9335775276457585,0.9318463261137939,0.9320205223272395,34.18
25,16,0.001,20,0.0,16,,,,,,0.9463087248322147,0.12500280996727386,0.9279664176753057,0.9247762359584308,0.9249345626881964,33.65
26,16,0.001,20,0.0,16,,,,,,0.9496644295302014,0.1211662227740942,0.9270213740573501,0.9256848080735267,0.9258476076992601,34.21
27,16,0.001,20,0.0,16,,,,,,0.9530201342281879,0.14333345998398275,0.9232516655284864,0.9207782658026267,0.9209133250686571,33.23
28,16,0.0001,20,0.0,16,,,,,,0.8758389261744967,0.26686745847031573,0.855803052197692,0.8554897202167946,0.8555106897214719,33.16
29,16,0.01,20,0.0,16,,,,,,0.9798657718120806,0.06033030421499553,0.9593756622771114,0.9579015738571515,0.9581375043293385,33.47
30,16,0.01,15,0.0,16,,,,,,0.9422110552763819,0.16232767479020202,0.9452746407616388,0.9420390323482127,0.9422988833895865,43.85
31,16,0.01,20,0.0,16,,,,,,0.9798657718120806,0.058758309768148706,0.9539459268462054,0.9516772265763397,0.9519291842227704,33.26
32,16,0.01,20,0.0,16,,,,,,0.9697986577181208,0.07043775359981945,0.9523333083444491,0.9519663177038702,0.9520644626757488,33.11
33,16,0.01,20,0.0,16,,,,,,0.9630872483221476,0.076944798485987,0.9495876262116935,0.949225583637672,0.9493217721338983,33.15
34,16,0.01,20,0.0,16,,,,,,0.9664429530201343,0.06734099968828143,0.9599320958537971,0.9563552466400148,0.9566708577022572,33.09
35,8,0.01,20,0.3,16,,,,,,0.9395973154362416,0.13222648931059666,0.9271213557675765,0.9181759476181894,0.9179989439200766,62.8
36,16,0.01,15,0.0,16,,,,,,0.9371859296482412,0.13662207426043968,0.9399043429300169,0.9380826954606436,0.9383219244313128,43.64
37,8,0.01,20,0.3,16,,,,,,0.9530201342281879,0.1343353439301029,0.9244091628221522,0.9183599146993452,0.9183531626310468,62.39
38,16,0.01,20,0.0,16,,,,,,0.9395973154362416,0.13437352434576366,0.9487889804433643,0.9486403905588185,0.9486833215084174,33.37
39,8,0.01,20,0.3,16,,,,,,0.9194630872483222,0.14569027826821532,0.9166810466295643,0.9115606415570373,0.9115280431674958,62.36
