trial_number,C,kernel,seq_len,final_acc,f1_score,precision,recall,training_time_s
0,0.1,linear,5,0.8733314211481188,0.8690361169960805,0.8738458454088973,0.8696201455174166,0.48
1,0.1,linear,10,0.8790939190735954,0.8747932707112135,0.8801902074728628,0.8754746351973925,0.17
2,0.1,rbf,20,0.8587843146057328,0.8516323166533674,0.8620799155328479,0.8545721451312549,0.14
3,1.0,rbf,10,0.9044723368378735,0.8994050112672994,0.9171265773052284,0.9008986966963899,0.29
4,1.0,linear,20,0.8781890417723508,0.8748499305620646,0.8757430940499887,0.8750943587923545,0.07
5,0.1,rbf,5,0.8868472753449244,0.8792720621173917,0.9063137914345958,0.8824944126503717,1.36
6,0.1,linear,10,0.8790939190735954,0.8747932707112135,0.8801902074728628,0.8754746351973925,0.15
7,0.1,linear,20,0.8701533074453996,0.8664609705933725,0.8676268971614087,0.8667933135589792,0.06
8,0.1,rbf,10,0.8787589125688857,0.87175722804961,0.8922068810911927,0.87451850535554,0.42
9,1.0,linear,10,0.8790933607294209,0.8748591965817347,0.8794089076316987,0.8755201809650222,0.19
10,1.0,linear,5,0.87266405922576,0.8684660453519699,0.8726862533794786,0.8689490429378421,0.64
11,0.1,linear,15,0.8625785569451265,0.8587010089975349,0.8601221789467383,0.858922295586707,0.08
12,0.1,linear,5,0.8733314211481188,0.8690361169960805,0.8738458454088973,0.8696201455174166,0.47
13,0.1,linear,15,0.8625785569451265,0.8587010089975349,0.8601221789467383,0.858922295586707,0.08
14,0.1,linear,5,0.8733314211481188,0.8690361169960805,0.8738458454088973,0.8696201455174166,0.47
15,0.1,linear,10,0.8790939190735954,0.8747932707112135,0.8801902074728628,0.8754746351973925,0.18
16,0.1,linear,5,0.8733314211481188,0.8690361169960805,0.8738458454088973,0.8696201455174166,0.48
17,0.1,linear,15,0.8625785569451265,0.8587010089975349,0.8601221789467383,0.858922295586707,0.09
18,1.0,rbf,10,0.9044723368378735,0.8994050112672994,0.9171265773052284,0.9008986966963899,0.3
19,0.1,linear,5,0.8733314211481188,0.8690361169960805,0.8738458454088973,0.8696201455174166,0.48
20,0.1,linear,10,0.8790939190735954,0.8747932707112135,0.8801902074728628,0.8754746351973925,0.15
21,0.1,rbf,20,0.8587843146057328,0.8516323166533674,0.8620799155328479,0.8545721451312549,0.14
22,0.1,rbf,20,0.8587843146057328,0.8516323166533674,0.8620799155328479,0.8545721451312549,0.14
23,0.1,rbf,20,0.8587843146057328,0.8516323166533674,0.8620799155328479,0.8545721451312549,0.14
24,0.1,rbf,20,0.8587843146057328,0.8516323166533674,0.8620799155328479,0.8545721451312549,0.14
25,0.1,rbf,20,0.8587843146057328,0.8516323166533674,0.8620799155328479,0.8545721451312549,0.17
26,1.0,rbf,5,0.9075431529613576,0.9025324587626417,0.9225293455964897,0.9039534936285565,0.99
27,0.1,linear,15,0.8625785569451265,0.8587010089975349,0.8601221789467383,0.858922295586707,0.08
28,0.1,rbf,10,0.8787589125688857,0.87175722804961,0.8922068810911927,0.87451850535554,0.43
29,1.0,rbf,20,0.9049695854189579,0.9015041134048708,0.9072970204863742,0.9019680723253438,0.1
30,0.1,linear,5,0.8733314211481188,0.8690361169960805,0.8738458454088973,0.8696201455174166,0.47
31,1.0,rbf,10,0.9044723368378735,0.8994050112672994,0.9171265773052284,0.9008986966963899,0.32
32,1.0,rbf,10,0.9044723368378735,0.8994050112672994,0.9171265773052284,0.9008986966963899,0.34
33,1.0,rbf,10,0.9044723368378735,0.8994050112672994,0.9171265773052284,0.9008986966963899,0.29
34,1.0,rbf,10,0.9044723368378735,0.8994050112672994,0.9171265773052284,0.9008986966963899,0.29
35,1.0,rbf,20,0.9049695854189579,0.9015041134048708,0.9072970204863742,0.9019680723253438,0.1
36,0.1,linear,10,0.8790939190735954,0.8747932707112135,0.8801902074728628,0.8754746351973925,0.15
37,1.0,linear,10,0.8790933607294209,0.8748591965817347,0.8794089076316987,0.8755201809650222,0.21
38,0.1,rbf,5,0.8868472753449244,0.8792720621173917,0.9063137914345958,0.8824944126503717,1.42
39,1.0,linear,20,0.8781890417723508,0.8748499305620646,0.8757430940499887,0.8750943587923545,0.07
