trial_number,batch_size,learning_rate,seq_len,dropout_rate,hidden_dim,num_layers,cnn_channels1,cnn_channels2,cnn_kernel_size,tf_heads,final_acc,final_loss,precision,recall,f1_score,training_time_s
0,16,0.01,20,,16,1,,,,2,0.9303106633081444,0.14901688997798224,0.9340345203241589,0.9295920530002544,0.9297358288731776,450.26
1,8,0.001,5,,16,1,,,,2,0.9223706176961602,0.1920474503209404,0.924017926455392,0.9190503876414826,0.9190711121697466,706.8
2,16,0.001,20,,16,1,,,,2,0.927791771620487,0.17394023085196766,0.928934081141224,0.9238527891486592,0.9239188533087997,450.31
3,16,0.001,20,,16,1,,,,2,0.9345088161209067,0.14620531343251908,0.9306737125889273,0.925029507457894,0.9250820014390353,449.19
4,8,0.0001,5,,16,1,,,,2,0.8831385642737897,0.22993228932923657,0.9065345771636117,0.8860236167604689,0.8834823720252002,692.92
5,16,0.0001,15,,16,1,,,,2,0.8952221290863369,0.22156693002042982,0.9065208507289495,0.8876906821346836,0.8854657395462505,416.63
6,8,0.0001,20,,16,1,,,,2,0.8950461796809404,0.22807765843345765,0.9063164965192279,0.8858269264469977,0.8832386872199893,772.52
7,8,0.001,5,,16,1,,,,2,0.8898163606010017,0.20926800727816627,0.9094417291685735,0.8955437566246469,0.8942477884573067,692.85
8,16,0.0001,15,,16,1,,,,2,0.8901927912824812,0.2236853625587754,0.9054396432534111,0.8848550641143045,0.8822254323226342,417.52
9,16,0.001,15,,16,1,,,,2,0.911986588432523,0.20250764981702815,0.9296407325305507,0.9174172070956784,0.9169783223614393,416.67
10,16,0.01,10,,16,1,,,,2,0.9322742474916388,0.16570099276688333,0.9343097253973295,0.9247557604603265,0.924641389751443,391.22
11,16,0.01,10,,16,1,,,,2,0.9122073578595318,0.2122250657730408,0.9256158146687097,0.9125817062060222,0.91192928003017,392.43
12,16,0.01,10,,16,1,,,,2,0.9155518394648829,0.21014311665053936,0.909501761309007,0.899129236600559,0.8983873713755752,391.41
13,16,0.01,10,,16,1,,,,2,0.8787625418060201,0.23946718221482807,0.9235180888831743,0.9136309520786188,0.9132483655109419,392.2
14,16,0.001,10,,16,1,,,,2,0.8862876254180602,0.22804282781420096,0.9148170726348128,0.9059096450040276,0.905451813437895,392.89
15,16,0.01,20,,16,1,,,,2,0.9571788413098237,0.09773658068495962,0.9333297364315045,0.9306181883980293,0.9307779346605434,447.09
16,16,0.001,20,,16,1,,,,2,0.9109991603694374,0.2135969299968702,0.9196242088839106,0.9083126662168954,0.9077014018885423,448.24
17,16,0.01,20,,16,1,,,,2,0.9496221662468514,0.1358425992235617,0.9399526765915561,0.9350735462621378,0.9352523529664519,449.92
18,8,0.01,20,,16,1,,,,2,0.9429051217464316,0.12419220850250119,0.9287120381738818,0.9244221980290092,0.9245107801623689,777.24
19,16,0.01,20,,16,1,,,,2,0.945424013434089,0.12332348902308204,0.9296566008850569,0.922136819359934,0.9220651300453822,445.97
20,16,0.01,20,,16,1,,,,2,0.9403862300587741,0.1459240457878756,0.9343542650718457,0.9295533238885654,0.9296750253040639,447.79
21,16,0.01,20,,16,1,,,,2,0.9429051217464316,0.1388217246066148,0.930525809965166,0.9261412303061931,0.9262466072548247,446.73
22,16,0.01,20,,16,1,,,,2,0.9387069689336692,0.162334162797866,0.9342784382596194,0.9258933559673965,0.9258585474088931,448.83
23,16,0.01,20,,16,1,,,,2,0.9479429051217464,0.1417073280289395,0.9273807356554158,0.9228661596790576,0.9229589618787278,451.07
24,16,0.01,20,,16,1,,,,2,0.9345088161209067,0.14075730230273117,0.9307569669858616,0.9250468386881144,0.9251055923425976,450.7
25,16,0.01,20,,16,1,,,,2,0.8816120906801007,0.22265071827073746,0.9293090940948895,0.9129211897882672,0.9120188635726796,448.0
26,8,0.01,20,,16,1,,,,2,0.9387069689336692,0.16639025451977896,0.9374895854115923,0.9308310514058863,0.9309083138788639,775.07
27,16,0.01,20,,16,1,,,,2,0.9521410579345088,0.12203185709928419,0.9419546403077872,0.9345570956974952,0.9346677154250873,447.87
28,16,0.01,15,,16,1,,,,2,0.9304274937133278,0.15289046380294877,0.9362066853969618,0.9292493182277425,0.9292913186645371,416.92
29,16,0.01,20,,16,1,,,,2,0.9387069689336692,0.1371399676974118,0.9253735088955033,0.9187520480362673,0.9186681145267981,446.8
30,16,0.01,5,,16,1,,,,2,0.8747913188647746,0.23501915148948035,0.9096398839663673,0.8968146651058432,0.8957103230281249,366.94
31,16,0.01,20,,16,1,,,,2,0.9336691855583543,0.1486288506084984,0.9329565122763344,0.9304736624325414,0.9306471477444146,456.48
32,16,0.01,20,,16,1,,,,2,0.9403862300587741,0.1476441246990368,0.9304460447639604,0.9278640338573745,0.928028759023561,454.6
33,16,0.01,20,,16,1,,,,2,0.9387069689336692,0.13894571473911524,0.9286556198384346,0.9236970836764925,0.9237639084372858,448.88
34,16,0.01,20,,16,1,,,,2,0.9118387909319899,0.1793785736791235,0.9318768925548153,0.9191128861597347,0.9186824365373679,446.36
35,8,0.0001,20,,16,1,,,,2,0.8950461796809404,0.22314204566312715,0.9062501375276706,0.8842127944295127,0.8812919726971046,773.83
36,16,0.01,5,,16,1,,,,2,0.8914858096828047,0.2280161942322036,0.9124641103060243,0.9004471942942468,0.8995558443934594,367.02
37,16,0.01,20,,16,1,,,,2,0.9403862300587741,0.15079406229873402,0.9434156491102563,0.937215041466896,0.9373867123396208,446.41
38,8,0.0001,20,,16,1,,,,2,0.8967254408060453,0.22088368962113733,0.9060321499252797,0.886909014617993,0.8845567170851951,778.39
39,16,0.01,5,,16,1,,,,2,0.8948247078464107,0.20205238262852906,0.9213100114391058,0.9040142271639743,0.9026971650467097,367.24
