Trial_No,Model,Train_Time_Sec,Best_Fold,Best_F1,Best_Loss,Avg_F1,Avg_Loss,Params
0,LSTM,600.31,4,0.9471990759838297,0.1854363751068299,0.8914776713472679,0.637610172673394,"{""seq_len"": 5, ""batch_size"": 128, ""lr"": 0.029113933104224696, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
1,LSTM,570.54,4,0.9468193737593229,0.23128832749477246,0.9196799415357584,0.2879961025562049,"{""seq_len"": 5, ""batch_size"": 128, ""lr"": 0.040805624532292924, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.5}"
2,LSTM,997.61,4,0.9304631072086107,0.2380984738982986,0.8910150658768622,0.4424940409503882,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.05850450163715013, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.5}"
3,LSTM,583.77,4,0.9266593647316539,0.1795203341040595,0.8821832648109,0.4377682356848654,"{""seq_len"": 5, ""batch_size"": 128, ""lr"": 0.0466665425930645, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
4,LSTM,1463.75,4,0.9260730602827053,0.22201877722064153,0.894761710885153,0.36890369724540684,"{""seq_len"": 10, ""batch_size"": 64, ""lr"": 0.0811046967617444, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.5}"
5,LSTM,596.57,4,0.9145007498829234,0.1954975325946407,0.835487990681975,0.4570947673667233,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.022452021887785955, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
6,LSTM,1111.58,4,0.9234078642273225,0.3122432627394738,0.8824803263599355,0.5102783991419738,"{""seq_len"": 5, ""batch_size"": 64, ""lr"": 0.0266742061107215, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
7,LSTM,850.39,1,0.9704011912755073,0.1281716819715629,0.8923717436786524,0.5563901193912024,"{""seq_len"": 10, ""batch_size"": 64, ""lr"": 0.010488828919360083, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
8,LSTM,875.07,4,0.9427428829055345,0.1617058437615242,0.9015555434936822,0.33611304544198284,"{""seq_len"": 10, ""batch_size"": 64, ""lr"": 0.035891084140761205, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
9,LSTM,738.09,2,0.9371200676489708,0.2629408448893545,0.8890911310796137,0.45287785067527475,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.01154785264515934, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.5}"
10,LSTM,393.35,4,0.9435459402912129,0.20077464087522162,0.8929222136967654,0.37079717315073146,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.0921796497399305, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
11,LSTM,394.51,1,0.9414492527801899,0.28843951900893217,0.8881791921395401,0.34617383348516045,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.01981288972469257, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.5}"
12,LSTM,394.07,2,0.9431320134488541,0.4628251040228033,0.9019069273174001,0.2980164412687447,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.056005201527960534, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
13,LSTM,709.14,4,0.9331289678298694,0.2086285267460891,0.8867517871949421,0.3834403565749401,"{""seq_len"": 10, ""batch_size"": 64, ""lr"": 0.018101462896387633, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.5}"
14,LSTM,631.99,4,0.9195791856613558,0.1966467842780342,0.8787299452766604,0.5491043431337077,"{""seq_len"": 5, ""batch_size"": 128, ""lr"": 0.010011969334337912, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.3}"
15,LSTM,698.64,4,0.9245050829874992,0.2589632395765454,0.8824286433081714,0.500955618975157,"{""seq_len"": 5, ""batch_size"": 64, ""lr"": 0.04088710902345069, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
16,LSTM,698.48,4,0.9432290704992914,0.22536621161734896,0.8803913686638831,0.5414340275854206,"{""seq_len"": 5, ""batch_size"": 64, ""lr"": 0.021521979399974366, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
17,LSTM,404.3,2,0.9307365598537816,0.27175519811680715,0.8873198010659149,0.39913672884051804,"{""seq_len"": 5, ""batch_size"": 128, ""lr"": 0.03478579234740828, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0}"
18,LSTM,403.31,4,0.9310923902767622,0.24701101773506368,0.8836780737188634,0.3617348668686534,"{""seq_len"": 5, ""batch_size"": 128, ""lr"": 0.06118380885562723, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0}"
19,LSTM,389.69,4,0.9582397768252024,0.15539857799521997,0.8894243263701027,0.46532174378394664,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.019638360722477145, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0}"
20,LSTM,885.85,4,0.9276281545060288,0.19097296654109852,0.8913321037178623,0.38815644165506,"{""seq_len"": 5, ""batch_size"": 64, ""lr"": 0.027634901608503504, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.5}"
21,LSTM,416.7,1,0.9281182068011089,0.16229259746297553,0.8934385172936894,0.29877423105580836,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.022661080062679285, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.5}"
22,LSTM,772.74,2,0.9619876133551646,0.32859076220483985,0.8960115543769145,0.5679562955777968,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.012251870615334923, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.5}"
23,LSTM,794.9,4,0.9300684914164177,0.161304045290143,0.8813173087382168,0.39025489639457506,"{""seq_len"": 10, ""batch_size"": 64, ""lr"": 0.022905263088745628, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0}"
24,LSTM,667.07,4,0.9402593898749302,0.19074969765775987,0.8773939221734386,0.5279197847070164,"{""seq_len"": 5, ""batch_size"": 128, ""lr"": 0.021425164318230744, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0}"
25,LSTM,450.16,4,0.9434135887764523,0.19279193058523275,0.8933950710730354,0.47306133548416157,"{""seq_len"": 10, ""batch_size"": 128, ""lr"": 0.02191533597700606, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.5}"
26,LSTM,911.13,4,0.9370437234410588,0.2757050094231225,0.892586656456355,0.5671511245381837,"{""seq_len"": 5, ""batch_size"": 64, ""lr"": 0.04465941261883709, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.3}"
27,LSTM,633.87,4,0.9305298541670204,0.16160435958898056,0.8872687479962067,0.47482246265144157,"{""seq_len"": 5, ""batch_size"": 128, ""lr"": 0.02470805317745818, ""hidden_dim"": 128, ""num_layers"": 3, ""dropout"": 0.3}"
28,LSTM,709.29,4,0.9259798220730535,0.24304684435846866,0.8905206483466188,0.49780414515540805,"{""seq_len"": 10, ""batch_size"": 64, ""lr"": 0.04783322593612162, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0.3}"
29,LSTM,689.36,2,0.9527580112797288,0.19217961145565451,0.8978529383007702,0.36431419499201556,"{""seq_len"": 5, ""batch_size"": 64, ""lr"": 0.04190575116806104, ""hidden_dim"": 64, ""num_layers"": 3, ""dropout"": 0}"
