Trial_No,Model,Train_Time_Sec,Best_Fold,Best_F1,Best_Loss,Avg_F1,Avg_Loss,Params
0,GRU,426.44,4,0.9459128500525715,0.17939959990326315,0.8972657416242207,0.5525550460449049,"{""seq_len"": 15, ""batch_size"": 128, ""lr"": 0.02437141357412758, ""hidden_dim"": 64, ""num_layers"": 2, ""dropout"": 0.4}"
1,GRU,715.66,1,0.9569178540702001,0.26603740900666856,0.8994972691008009,0.5605838978151504,"{""seq_len"": 15, ""batch_size"": 64, ""lr"": 0.008337771918523152, ""hidden_dim"": 64, ""num_layers"": 2, ""dropout"": 0.5}"
2,GRU,410.63,4,0.9265682108077612,0.20787477776909724,0.8969084176876414,0.31836796465250106,"{""seq_len"": 25, ""batch_size"": 128, ""lr"": 0.04630930265428058, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5}"
3,GRU,402.96,4,0.9429673696908778,0.18845993902605188,0.9004351340536954,0.3236958298768279,"{""seq_len"": 15, ""batch_size"": 128, ""lr"": 0.027493848517677683, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.4}"
4,GRU,797.13,1,0.9772540210196804,0.16077957302117096,0.9035208307045777,0.4684226086190928,"{""seq_len"": 15, ""batch_size"": 64, ""lr"": 0.010148716518230636, ""hidden_dim"": 32, ""num_layers"": 2, ""dropout"": 0.5}"
5,GRU,538.52,4,0.936740890688259,0.16444574399685336,0.8933963852902587,0.3910108873082445,"{""seq_len"": 15, ""batch_size"": 64, ""lr"": 0.028539342376263606, ""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.5}"
6,GRU,323.07,1,0.9701001430615164,0.22207567769412978,0.9118481859116315,0.4970397751695388,"{""seq_len"": 20, ""batch_size"": 128, ""lr"": 0.011783164913847781, ""hidden_dim"": 64, ""num_layers"": 2, ""dropout"": 0.4}"
7,GRU,457.45,1,0.9838637677398043,0.10627128653712516,0.9124553196135097,0.43329271673848513,"{""seq_len"": 25, ""batch_size"": 64, ""lr"": 0.006330419157897984, ""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.4}"
8,GRU,308.93,1,0.9225146310340693,0.214147536264621,0.8893450077936281,0.4905781774261352,"{""seq_len"": 25, ""batch_size"": 128, ""lr"": 0.0075449063433644225, ""hidden_dim"": 32, ""num_layers"": 2, ""dropout"": 0.4}"
9,GRU,281.45,1,0.9424913721396133,0.1710224874810158,0.8944615305256007,0.6200046162050008,"{""seq_len"": 15, ""batch_size"": 128, ""lr"": 0.007271537617283135, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.4}"
10,GRU,457.74,1,0.9376114598844184,0.2392935720325434,0.8909181468208163,0.3864695022614077,"{""seq_len"": 25, ""batch_size"": 64, ""lr"": 0.039841430822262894, ""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.5}"
11,GRU,311.42,1,0.9400760371240076,0.4842837970023097,0.8999429980537907,0.43867696843379933,"{""seq_len"": 20, ""batch_size"": 128, ""lr"": 0.01834611037034439, ""hidden_dim"": 32, ""num_layers"": 2, ""dropout"": 0.4}"
12,GRU,282.85,1,0.964837891509368,0.1933184526014057,0.9069290825128158,0.420100276435205,"{""seq_len"": 15, ""batch_size"": 128, ""lr"": 0.010106661384054222, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5}"
13,GRU,571.18,1,0.978196512122501,0.17528143309744898,0.8985148181811272,0.41477747604842075,"{""seq_len"": 20, ""batch_size"": 64, ""lr"": 0.013454600708477095, ""hidden_dim"": 32, ""num_layers"": 2, ""dropout"": 0.5}"
14,GRU,523.05,1,0.9436058792466115,0.2904032030823556,0.8970881159228987,0.49825327279623516,"{""seq_len"": 20, ""batch_size"": 64, ""lr"": 0.006449148759759215, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.4}"
15,GRU,311.66,4,0.9110678693405079,0.18669055048391497,0.8846075239673834,0.6253871538483461,"{""seq_len"": 15, ""batch_size"": 128, ""lr"": 0.007999940867024692, ""hidden_dim"": 32, ""num_layers"": 2, ""dropout"": 0.5}"
16,GRU,467.77,2,0.9662983726624609,0.20353343549354844,0.9203909695271975,0.28257010575214525,"{""seq_len"": 20, ""batch_size"": 64, ""lr"": 0.012156855177268248, ""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.5}"
17,GRU,281.07,1,0.9514533847891339,0.22791215659816028,0.9081166292176368,0.36412427483836024,"{""seq_len"": 15, ""batch_size"": 128, ""lr"": 0.029368135009597097, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.4}"
18,GRU,486.83,1,0.944986040842038,0.26987195872234043,0.9006865927663332,0.30763407920109503,"{""seq_len"": 15, ""batch_size"": 64, ""lr"": 0.02408807712998447, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5}"
19,GRU,322.28,2,0.9634399841487973,0.2574513245036901,0.9100782852141224,0.33949787988547886,"{""seq_len"": 20, ""batch_size"": 128, ""lr"": 0.006249927842790342, ""hidden_dim"": 64, ""num_layers"": 2, ""dropout"": 0.4}"
20,GRU,286.34,1,0.9761595512386115,0.14857018407335174,0.9025499680474274,0.44166991967654506,"{""seq_len"": 25, ""batch_size"": 128, ""lr"": 0.006056747760081083, ""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.5}"
21,GRU,292.52,1,0.9625378463594412,0.20321350221296525,0.9079878780619011,0.23463188147634825,"{""seq_len"": 20, ""batch_size"": 128, ""lr"": 0.01449864591983577, ""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.4}"
22,GRU,322.31,1,0.9687877833970189,0.19025065971066565,0.9181068557494365,0.39319355228995045,"{""seq_len"": 20, ""batch_size"": 128, ""lr"": 0.012862199052134931, ""hidden_dim"": 64, ""num_layers"": 2, ""dropout"": 0.5}"
23,GRU,345.43,1,0.9337631163372697,0.369419550345951,0.8955214229196329,0.45240349241885613,"{""seq_len"": 15, ""batch_size"": 128, ""lr"": 0.016754408951096433, ""hidden_dim"": 64, ""num_layers"": 2, ""dropout"": 0.5}"
24,GRU,714.03,1,0.9414296125496149,0.25654188570186454,0.8970184007316219,0.4602972237974729,"{""seq_len"": 15, ""batch_size"": 64, ""lr"": 0.01996029021300334, ""hidden_dim"": 32, ""num_layers"": 2, ""dropout"": 0.5}"
25,GRU,590.4,1,0.9434567705348952,0.3196669653186203,0.9010059762285552,0.4042979736264053,"{""seq_len"": 25, ""batch_size"": 64, ""lr"": 0.01077298268723862, ""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.5}"
26,GRU,383.64,2,0.9656044395421967,0.27205159298758846,0.9072327257273518,0.36675480162950924,"{""seq_len"": 15, ""batch_size"": 128, ""lr"": 0.020728060411896426, ""hidden_dim"": 32, ""num_layers"": 2, ""dropout"": 0.5}"
27,GRU,684.49,4,0.930532822068334,0.17196060502762198,0.8919404622194206,0.4789218291564423,"{""seq_len"": 25, ""batch_size"": 64, ""lr"": 0.02565668873151267, ""hidden_dim"": 32, ""num_layers"": 2, ""dropout"": 0.5}"
28,GRU,343.47,2,0.9497924373217453,0.22177124186131297,0.901071092224021,0.3861240179081512,"{""seq_len"": 20, ""batch_size"": 128, ""lr"": 0.008183915085381632, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.4}"
29,GRU,667.28,1,0.9653777442522528,0.26714171643031903,0.9018139778961343,0.5217023642081581,"{""seq_len"": 15, ""batch_size"": 64, ""lr"": 0.010147416097215128, ""hidden_dim"": 64, ""num_layers"": 2, ""dropout"": 0.4}"
30,GRU,681.46,4,0.9487125814814976,0.2005689700285302,0.8923137131907805,0.6701874137099026,"{""seq_len"": 15, ""batch_size"": 64, ""lr"": 0.0450520048947284, ""hidden_dim"": 64, ""num_layers"": 2, ""dropout"": 0.4}"
31,GRU,386.69,1,0.9599403074205797,0.26959082420126007,0.9088996223906258,0.37430082450143465,"{""seq_len"": 25, ""batch_size"": 128, ""lr"": 0.0218449676062501, ""hidden_dim"": 64, ""num_layers"": 2, ""dropout"": 0.5}"
32,GRU,347.29,4,0.9415837384631377,0.22667513021687186,0.8977308598766449,0.4523344249682162,"{""seq_len"": 20, ""batch_size"": 128, ""lr"": 0.0050262860926605125, ""hidden_dim"": 32, ""num_layers"": 1, ""dropout"": 0.5}"
33,GRU,367.21,4,0.9611510791366907,0.21498055405171437,0.9081125733952847,0.6194849773896942,"{""seq_len"": 15, ""batch_size"": 128, ""lr"": 0.026927297523509884, ""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.5}"
34,GRU,377.88,4,0.9363257207644963,0.22009896769901763,0.8949396003166216,0.36224926867702634,"{""seq_len"": 25, ""batch_size"": 128, ""lr"": 0.01439472082442749, ""hidden_dim"": 64, ""num_layers"": 2, ""dropout"": 0.5}"
35,GRU,292.42,1,0.9694720474143533,0.11695674975812596,0.9160419858116292,0.28755986323597094,"{""seq_len"": 25, ""batch_size"": 128, ""lr"": 0.014188062828107247, ""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.5}"
36,GRU,591.53,1,0.9315755255639989,0.2008216976450144,0.8862112748321476,0.4275384062168673,"{""seq_len"": 15, ""batch_size"": 64, ""lr"": 0.007781332679481559, ""hidden_dim"": 32, ""num_layers"": 2, ""dropout"": 0.4}"
37,GRU,315.94,1,0.9620477302607506,0.26165779101227604,0.9018454208069826,0.4636395533999414,"{""seq_len"": 25, ""batch_size"": 128, ""lr"": 0.006732106866091885, ""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.5}"
38,GRU,588.51,4,0.9152351354120419,0.20395832101348788,0.8837209271520885,0.6181653763487643,"{""seq_len"": 25, ""batch_size"": 64, ""lr"": 0.012833060092132881, ""hidden_dim"": 64, ""num_layers"": 2, ""dropout"": 0.4}"
39,GRU,458.65,4,0.9217210101090785,0.21487362884496902,0.8871908901249326,0.4064585776595006,"{""seq_len"": 25, ""batch_size"": 64, ""lr"": 0.02535209949826959, ""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.4}"
