experiment_id,batch_size,learning_rate,max_seq_len,pre_train_loss,pre_train_acc,post_train_loss,post_train_acc,precision,recall,f1_score
bs_8_lr_0.01_seq_10,8,0.01,10,1.395223329,0.246156638,0.227369167,0.89345844,0.901622331,0.890277538,0.888989735
bs_8_lr_0.01_seq_20,8,0.01,20,1.393219706,0.249657696,0.291289354,0.827934278,0.84266258,0.82319456,0.784953483
bs_8_lr_0.01_seq_30,8,0.01,30,1.3932024,0.245226131,0.462063209,0.728643216,0.608396836,0.725,0.639995737
bs_8_lr_0.01_seq_40,8,0.01,40,1.393029789,0.248993289,0.359627069,0.775331036,0.720814316,0.770617761,0.705186205
bs_8_lr_0.001_seq_10,8,0.001,10,1.39191875,0.251836115,0.179130132,0.918510226,0.929693802,0.915495825,0.91405956
bs_8_lr_0.001_seq_20,8,0.001,20,1.393484489,0.256353393,0.226970684,0.886222531,0.896773249,0.882325719,0.87995185
bs_8_lr_0.001_seq_30,8,0.001,30,1.392655719,0.253266332,0.266956941,0.870351759,0.884019703,0.866371635,0.862518307
bs_8_lr_0.001_seq_40,8,0.001,40,1.396029141,0.253056412,0.279309727,0.859949211,0.854687372,0.856754859,0.836177059
bs_8_lr_0.1_seq_10,8,0.1,10,1.391005621,0.252508361,1.052433549,0.398159698,0.172889906,0.4,0.238558915
bs_8_lr_0.1_seq_20,8,0.1,20,1.396005431,0.248319903,1.29377824,0.307867388,0.102190539,0.3,0.149252196
bs_8_lr_0.1_seq_30,8,0.1,30,1.393815073,0.24120603,0.966764668,0.449246231,0.249285366,0.45,0.305948217
bs_8_lr_0.1_seq_40,8,0.1,40,1.395718876,0.259767822,1.302720662,0.304380555,0.101771802,0.3,0.148387625
bs_8_lr_0.0001_seq_10,8,0.0001,10,1.399686921,0.25517948,0.216238056,0.893787863,0.913183898,0.889680952,0.886824546
bs_8_lr_0.0001_seq_20,8,0.0001,20,1.389154259,0.248328882,0.237564317,0.892247088,0.90320988,0.888391797,0.885636683
bs_8_lr_0.0001_seq_30,8,0.0001,30,1.401671691,0.247236181,0.277859003,0.860301508,0.847520488,0.855269682,0.836415552
bs_8_lr_0.0001_seq_40,8,0.0001,40,1.394837033,0.25033557,0.308467412,0.823635044,0.78186976,0.816446804,0.781346102
bs_16_lr_0.01_seq_10,16,0.01,10,1.398078058,0.250166666,0.223151725,0.884105058,0.864011553,0.879802421,0.863362024
bs_16_lr_0.01_seq_20,16,0.01,20,1.394264565,0.248993289,0.446738476,0.738414401,0.645452417,0.734461604,0.667690553
bs_16_lr_0.01_seq_30,16,0.01,30,1.394043918,0.248241206,0.410425276,0.712562814,0.603073353,0.703061224,0.608479653
bs_16_lr_0.01_seq_40,16,0.01,40,1.396251739,0.248993289,0.479493227,0.71186287,0.667815631,0.709026829,0.622773676
bs_16_lr_0.001_seq_10,16,0.001,10,1.397562635,0.290901223,0.205425782,0.901144606,0.915532853,0.897546688,0.895484377
bs_16_lr_0.001_seq_20,16,0.001,20,1.398540645,0.245651052,0.226715707,0.894933896,0.917364116,0.890712208,0.887339321
bs_16_lr_0.001_seq_30,16,0.001,30,1.39162163,0.297487437,0.273090923,0.848241206,0.837450732,0.842796696,0.821905144
bs_16_lr_0.001_seq_40,16,0.001,40,1.395715705,0.251677852,0.289177982,0.842644658,0.846756385,0.836536894,0.810928785
bs_16_lr_0.1_seq_10,16,0.1,10,1.402817785,0.250497205,0.89474863,0.450918197,0.228523576,0.444665071,0.29327027
bs_16_lr_0.1_seq_20,16,0.1,20,1.396598896,0.248988799,1.045624196,0.434282059,0.34268522,0.435020732,0.312138073
bs_16_lr_0.1_seq_30,16,0.1,30,1.39612877,0.246231156,0.925732632,0.457286432,0.252356461,0.45,0.308983971
bs_16_lr_0.1_seq_40,16,0.1,40,1.395079518,0.248993289,0.798473534,0.503355705,0.299588843,0.5,0.357762041
bs_16_lr_0.0001_seq_10,16,0.0001,10,1.391858777,0.246832234,0.238387971,0.888782307,0.903007442,0.88486083,0.882518776
bs_16_lr_0.0001_seq_20,16,0.0001,20,1.397192937,0.249004512,0.251485415,0.890247132,0.901616189,0.886303197,0.883918394
bs_16_lr_0.0001_seq_30,16,0.0001,30,1.395181415,0.250251256,0.275273703,0.860301508,0.844530015,0.855252479,0.836960636
bs_16_lr_0.0001_seq_40,16,0.0001,40,1.395280119,0.250353709,0.302164093,0.839814983,0.795314651,0.833159588,0.799227257
bs_32_lr_0.01_seq_10,32,0.01,10,1.392893674,0.247826087,0.294275435,0.836981368,0.793604202,0.83229003,0.797533888
bs_32_lr_0.01_seq_20,32,0.01,20,1.392971084,0.254355682,0.316679229,0.790476084,0.725120452,0.783721408,0.725447194
bs_32_lr_0.01_seq_30,32,0.01,30,1.393840656,0.253266332,0.351284,0.753768844,0.6235464,0.749,0.665219292
bs_32_lr_0.01_seq_40,32,0.01,40,1.395875407,0.254398694,0.429542191,0.735080718,0.653298875,0.728415503,0.665920301
bs_32_lr_0.001_seq_10,32,0.001,10,1.389937526,0.256848929,0.183142145,0.914499082,0.92288636,0.911477612,0.910656664
bs_32_lr_0.001_seq_20,32,0.001,20,1.398752526,0.252333281,0.238858639,0.888902606,0.90596511,0.884643795,0.881647125
bs_32_lr_0.001_seq_30,32,0.001,30,1.395769038,0.19798995,0.320163653,0.8,0.732741377,0.791836735,0.739058563
bs_32_lr_0.001_seq_40,32,0.001,40,1.395405596,0.247651007,0.301467856,0.814130238,0.739421518,0.805812543,0.756455984
